Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,4.0769228,1.1463421599999999,0.22439005,0.11382112,0.0
3,3,DiscoveredLabels,17.666656,46.999995,30.666657,4.666662,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,17.5,46.63,30.38,4.62,0.0
3,3,FrequencyRecall,13.25,14.1,11.5,14.0,0.0
3,3,Lift,1.00625,1.07249,0.873425,1.0626,0.0
3,3,OracleLift,0.8349,0.89562,0.246675,8.5008,0.0
6,1,Recall,5.5384605,1.87804874,0.5902437700000001,0.44715475999999993,0.0
6,4,DiscoveredLabels,12.000012,38.499994,40.333335000000005,9.166673999999999,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,6.27,29.7,49.61,13.53,0.0
6,4,FrequencyRecall,4.75,5.0000013999999995,5.5555539,5.857137,0.0
6,4,Lift,0.8778,0.9240017,1.02894796,1.0824,0.0
6,4,OracleLift,0.7854000000000001,1.2217350999999999,0.34906644,2.9832,0.0
9,1,Recall,6.2307673999999995,2.54471448,0.94877978,0.8780495,0.6428572
9,5,DiscoveredLabels,8.999991,34.777757,43.222212,11.999988,0.999999
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,2.97,27.06,48.71,17.5,2.97
9,5,FrequencyRecall,2.999997,3.0370357,2.4915279999999997,2.65,2.9999979999999997
9,5,Lift,1.1088,1.1224897999999999,0.92466519,0.98,1.1088
9,5,OracleLift,1.1088,1.7932459,0.25684081000000003,2.05128,0.9856
12,1,Recall,6.3076904,2.97560878,1.36585237,1.3983744200000001,1.4285716
12,6,DiscoveredLabels,6.8333362,30.500003799999998,46.666669,14.333342700000001,1.6666667999999998
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.33,17.49,56.66,21.14,3.63
12,6,FrequencyRecall,1.0,1.4722234,1.4741393600000001,1.5609739000000002,1.571427
12,6,Lift,0.6633,0.9765250000000001,0.981781,1.0363737,1.0423281
12,6,OracleLift,0.6633,2.0820250000000002,0.3602403,1.828116,0.9475709999999999
15,1,Recall,6.3846135,3.2276415,1.8756092000000002,1.85365848,1.6428574
15,7,DiscoveredLabels,5.5333305,26.4666605,51.266668,15.199994199999999,1.5333332999999998
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.33,10.23,69.28,18.49,0.99
15,7,FrequencyRecall,1.0,0.96875,1.045,1.0370361,0.75
15,7,Lift,0.9603,0.9302912999999999,1.008024,0.9964042999999999,0.7202250000000001
15,7,OracleLift,0.9603,3.1209771,0.35531100000000004,2.0984313,0.7202250000000001
