Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,4.0769234999999995,1.13008216,0.24878029000000002,0.048780479999999994,0.0
3,3,DiscoveredLabels,17.666653,46.333331,33.999991,1.999998,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,17.49,45.96,33.71,1.98,0.0
3,3,FrequencyRecall,13.25,13.9,12.75,6.0,0.0
3,3,Lift,1.0056749999999999,1.05708,0.9691625,0.45539999999999997,0.0
3,3,OracleLift,1.25235,0.96577,0.836625,1.1384999999999998,1.32
6,1,Recall,5.5384613,1.8780484000000002,0.61707298,0.35772368,0.0
6,4,DiscoveredLabels,12.000014999999998,38.500001000000005,42.166669,7.333342,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,6.27,30.4,49.95,12.55,0.0
6,4,FrequencyRecall,4.75,5.1111122,5.5925905,5.428566000000001,0.0
6,4,Lift,0.8778,0.9457785,1.0359997,1.004,0.0
6,4,OracleLift,1.7094,0.9034671999999999,0.8507848,1.0032,4.29
9,1,Recall,5.9999991999999995,2.47154318,1.04146253,0.69105736,0.4285714
9,5,DiscoveredLabels,8.666658,33.777758,47.444438,9.444435,0.666666
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,1.98,24.09,57.58,13.53,1.98
9,5,FrequencyRecall,1.999998,2.7037024,2.9491548,2.05,1.9999990000000003
9,5,Lift,0.7392,0.9992897,1.09304438,0.75768,0.7392
9,5,OracleLift,3.3264,1.0544601,0.71509163,1.20176,2.0944
12,1,Recall,5.9999991999999995,3.00812936,1.4463403099999999,1.14634162,1.2857144
12,6,DiscoveredLabels,6.500001600000001,30.8333361,49.4166643,11.7500052,1.5000002000000001
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.0,21.82,54.96,18.48,3.96
12,6,FrequencyRecall,0.0,1.8333344,1.4310359,1.3658523,1.7142840000000001
12,6,Lift,0.0,1.2182832000000001,0.9523240000000002,0.9059691,1.137085
12,6,OracleLift,11.939400000000001,1.0692083,0.7965489000000001,0.9545031,2.4636839999999998
15,1,Recall,6.0769223,3.29268258,1.92438954,1.68292646,1.4285713999999998
15,7,DiscoveredLabels,5.2666651,26.9999982,52.600004,13.799994400000001,1.3333328
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.33,11.55,64.99,21.8,0.66
15,7,FrequencyRecall,1.0,1.09375,0.98,1.2222212000000001,0.5
15,7,Lift,0.9603,1.0503285,0.9456045000000001,1.1747769,0.48015
15,7,OracleLift,11.523600000000002,1.2603942000000001,0.717897,1.4593107,3.601125
18,1,Recall,6.153845199999999,3.78048752,2.3439018,2.1626008,2.0
18,6,DiscoveredLabels,4.4444462,25.8333324,53.388887000000004,14.777783,1.555556
18,6,Easiness,0.50505,17.848489,57.747493000000006,20.424255000000002,3.474744
18,6,Efficiency,0.33,19.8,56.95,19.48,2.64
18,6,FrequencyRecall,1.0,3.5000020999999997,2.91379442,2.8048765,2.85714
18,6,Lift,0.6534,1.1113128,0.9861683800000001,0.9569074000000001,0.7623003
18,6,OracleLift,9.1476,1.1468889,0.75036598,1.0868954000000002,2.4735869
21,1,Recall,6.6153827000000005,4.31707314,2.7463409000000003,2.5772355800000004,2.8571434
21,5,DiscoveredLabels,4.0952355,25.285689400000003,53.619058,15.0952256,1.9047603999999998
21,5,Easiness,2.6972442,24.100898,52.532108,17.972466,2.69724421
21,5,Efficiency,1.98,21.8,54.59,16.83,3.96
21,5,FrequencyRecall,3.999996,5.1481452999999995,5.7457650000000005,4.6,5.999995
21,5,Lift,0.7193999999999999,0.9025637000000001,1.04033185,0.9345892,1.6786
21,5,OracleLift,2.5179,0.7530736,0.90912687,1.1423107000000001,2.398
24,1,Recall,8.3846119,4.97561076,3.1121945999999996,2.95121896,2.8571434
