Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,4.4615381,1.0975621599999998,0.2268291,0.11382112,0.0
3,3,DiscoveredLabels,19.333322,45.000001000000005,30.999993,4.666662,0.0
3,3,Easiness,1.0,1.0,4.34783,1.0,95.6522
3,3,Efficiency,19.15,44.61,30.71,4.62,0.0
3,3,FrequencyRecall,,,93.0,,0.0
3,3,Lift,19.15,44.61,7.063300000000001,4.62,0.0
3,3,OracleLift,19.15,44.61,7.063300000000001,4.62,0.0
6,1,Recall,6.461536300000001,1.8536582000000001,0.57317063,0.43089468,0.0
6,4,DiscoveredLabels,14.00001,37.999997,39.166664,8.83334,0.0
6,4,Easiness,1.0,1.0,1.0,1.78571,98.21430000000001
6,4,Efficiency,8.58,30.74,46.95,12.87,0.0
6,4,FrequencyRecall,,,,39.0,0.0
6,4,Lift,8.58,30.74,46.95,7.2072,0.0
6,4,OracleLift,8.58,30.74,46.95,7.2072,0.0
9,1,Recall,7.3076891,2.36585282,0.9609748899999999,0.9430901199999999,0.2857144
9,5,DiscoveredLabels,10.555545,32.333315,43.77776800000001,12.888876,0.444444
9,5,Easiness,1.0,1.78571,1.0,1.0,98.21430000000001
9,5,Efficiency,3.63,20.79,52.6,20.8,1.32
9,5,FrequencyRecall,,31.5,,,0.03636364
9,5,Lift,3.63,11.6424,52.6,20.8,0.01344
9,5,OracleLift,3.63,11.6424,52.6,20.8,0.01344
12,1,Recall,7.461535199999999,2.79674722,1.38780416,1.4471546599999998,0.857143
12,6,DiscoveredLabels,8.0833366,28.6666707,47.416664,14.833340100000001,1.0
12,6,Easiness,1.0,2.98507,1.0,1.0,97.0149
12,6,Efficiency,0.66,17.49,57.93,20.46,2.64
12,6,FrequencyRecall,,8.833343,,,0.04102565999999999
12,6,Lift,0.66,5.85915,57.93,20.46,0.02721232
12,6,OracleLift,0.66,5.85915,57.27,20.46,0.0340154
15,1,Recall,7.6153811,3.1219504999999996,1.8390236000000002,2.01625992,1.0714287999999998
15,7,DiscoveredLabels,6.5999967,25.5999985,50.266670000000005,16.5333283,1.0000001
15,7,Easiness,1.0,1.3745699999999998,0.343643,0.343643,97.93810000000002
15,7,Efficiency,0.66,13.21,61.25,23.11,0.99
