Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,14.181808499999999,3.8918927,0.0,0.0
3,3,DiscoveredLabels,0.0,52.000001000000005,47.99999900000001,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,51.53,47.54,0.0,0.0
3,3,FrequencyRecall,0.0,52.000001000000005,47.99999900000001,0.0,0.0
3,3,Lift,0.0,1.0306,0.9508,0.0,0.0
3,3,OracleLift,0.0,1.0306,0.9508,0.0,0.0
6,1,Recall,19.0,22.272706600000003,7.7297284,2.3333323999999998,7.3333260000000005
6,4,DiscoveredLabels,3.1666729999999994,40.833329,47.666666000000006,4.666676,3.666674
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,6.27,29.38,46.9,9.24,7.26
6,4,FrequencyRecall,19.0,29.666652000000003,28.4,28.0,22.0
6,4,Lift,0.6897,1.0772667,1.0317999999999998,1.0164,0.7986
6,4,OracleLift,0.6897,1.0772667,1.0317999999999998,1.0164,0.7986
9,1,Recall,19.0,26.2727029,12.378367800000001,9.3333402,7.3333260000000005
9,5,DiscoveredLabels,2.1111090000000003,32.111086,50.888885,12.444432,2.4444420000000004
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,14.52,56.88,27.73,0.0
9,5,FrequencyRecall,0.0,22.0,24.571404,27.999987,0.0
9,5,Lift,0.0,0.8712000000000001,0.97508692,1.1092,0.0
9,5,OracleLift,0.0,0.8712000000000001,0.97508692,1.1092,0.0
12,1,Recall,19.0,28.0908877,17.9729552,14.083340900000001,12.666660000000002
12,6,DiscoveredLabels,1.5833327,25.7500041,55.416665,14.083340900000001,3.1666678000000004
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,6.6,68.58,18.82,5.28
12,6,FrequencyRecall,0.0,20.0,20.7,18.999989,16.0
12,6,Lift,0.0,0.99,1.0287,0.941,0.792
12,6,OracleLift,0.0,0.99,1.0287,0.941,0.792
15,1,Recall,19.0,31.3636125,22.621599,20.8333366,16.333324
15,7,DiscoveredLabels,1.2666673,22.9999965,55.799997999999995,16.6666634,3.2666654999999998
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,11.88,56.96,26.73,3.63
15,7,FrequencyRecall,0.0,18.0,14.333345999999999,16.2,11.0
15,7,Lift,0.0,1.188,0.949334,1.0692,0.726
15,7,OracleLift,0.0,1.188,0.949334,1.0692,0.726
18,1,Recall,19.0,33.181793400000004,27.972945,25.833334599999997,23.666659
18,6,DiscoveredLabels,1.0555564,20.2777834,57.500009,17.2222242,3.9444444
18,6,Easiness,1.0,6.866664000000001,66.083342,20.2600131,7.1599972
18,6,Efficiency,0.0,6.6,65.6,19.8,7.26
18,6,FrequencyRecall,0.0,40.0,40.5,38.999994,38.0
18,6,Lift,0.0,0.792,0.99508928,0.924,0.8712000000000001
18,6,OracleLift,0.0,0.792,0.99508928,0.924,0.8712000000000001
21,1,Recall,19.0,37.5454351,33.054021000000006,31.1666692,23.666659
21,5,DiscoveredLabels,0.904761,19.6666483,58.238121,17.809507699999997,3.3809506
21,5,Easiness,1.0,17.363316,58.666696,24.009976,1.0
21,5,Efficiency,0.0,15.84,62.26,21.12,0.0
21,5,FrequencyRecall,0.0,46.0,51.428574,49.333335000000005,0.0
21,5,Lift,0.0,0.90585,1.06215843,0.8712000000000001,0.0
21,5,OracleLift,0.0,0.90585,1.06215843,0.8712000000000001,0.0
24,1,Recall,48.0,45.272716,36.702666,32.6666712,34.66666
24,4,DiscoveredLabels,2.0000016,20.7499975,56.58333400000001,16.333333,4.333334
24,4,Easiness,10.315,26.385,44.75,9.28,9.97
24,4,Efficiency,9.57,28.06,44.6,5.94,10.89
24,4,FrequencyRecall,48.0,58.000007000000004,55.4,46.0,55.0
24,4,Lift,0.7656000000000001,1.0650667,0.9887600000000001,0.4752,0.8712000000000001
24,4,OracleLift,0.7656000000000001,1.0650667,0.9887600000000001,0.4752,0.8712000000000001
27,1,Recall,48.0,58.363655,40.918879000000004,32.6666712,34.66666
27,3,DiscoveredLabels,1.777776,23.777754,56.074099000000004,14.518505399999999,3.8518507
27,3,Easiness,1.0,48.04999900000001,52.020001,1.0,1.0
27,3,Efficiency,0.0,47.54,51.53,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,100.0,0.0,0.0
27,3,Lift,0.0,0.9407,0.9706999999999999,0.0,0.0
27,3,OracleLift,0.0,0.9407,0.9706999999999999,0.0,0.0
30,1,Recall,81.0,65.181846,44.513478000000006,35.5000009,42.999993
30,4,DiscoveredLabels,2.6999973,23.899998999999998,54.9,14.1999994,4.2999993
30,4,Easiness,10.88,25.34,44.6,11.26,9.55
30,4,Efficiency,10.89,24.75,43.94,11.22,8.25
30,4,FrequencyRecall,81.0,83.000011,82.0,80.0,80.0
30,4,Lift,0.5445,0.86075,0.9852500999999999,0.5609999999999999,0.4125
30,4,OracleLift,0.5445,0.86075,0.9852500999999999,0.5609999999999999,0.4125
33,1,Recall,81.0,69.727298,48.918904000000005,42.750002,42.999993
