Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,13.7272632,4.0270278,0.0,0.0
3,3,DiscoveredLabels,0.0,50.333335000000005,49.666665,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,49.88,49.23,0.0,0.0
3,3,FrequencyRecall,0.0,54.266665,52.333330000000004,0.0,0.0
3,3,Lift,0.0,0.9976,0.9846,0.0,0.0
3,3,OracleLift,0.0,0.9976,0.9846,0.0,0.0
6,1,Recall,29.0,20.3636175,7.756755399999999,2.1666658,11.333322
6,4,DiscoveredLabels,4.833343,37.333325,47.833335,4.333341999999999,5.666677999999999
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,9.57,24.09,45.6,8.58,11.22
6,4,FrequencyRecall,29.0,25.999989,32.023808,26.0,34.0
6,4,Lift,1.0527,0.8833,1.0031999999999999,0.9438,1.2342
6,4,OracleLift,1.0527,0.8833,1.08306,0.7623000000000001,1.0164
9,1,Recall,29.0,24.909067,12.243232800000001,9.166673099999999,11.333322
9,5,DiscoveredLabels,3.222219,30.444419000000003,50.333337,12.22221,3.777774
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,16.5,54.95,27.73,0.0
9,5,FrequencyRecall,0.0,26.166669000000002,26.376965,28.499991,10.0
9,5,Lift,0.0,0.99,0.9420012200000001,1.1092,0.0
9,5,OracleLift,0.0,0.99,0.93617258,0.9768000000000001,3.63
12,1,Recall,29.0,27.2727011,17.4053883,13.7500098,20.666654000000005
12,6,DiscoveredLabels,2.4166657000000002,25.0000003,53.666666000000006,13.7500098,5.1666678
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,8.58,63.22,18.15,9.24
12,6,FrequencyRecall,0.0,26.0,21.016661,18.666654,31.666667000000004
12,6,Lift,0.0,1.2870000000000001,0.9483,0.9075,1.386
12,6,OracleLift,0.0,1.2870000000000001,0.91815,0.858,1.8315000000000001
15,1,Recall,29.0,30.1817897,22.513491,19.583340699999997,23.666651
15,7,DiscoveredLabels,1.9333342999999998,22.133331899999998,55.533337,15.6666593,4.733333099999999
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,10.56,62.57,23.11,2.97
15,7,FrequencyRecall,0.0,17.000002,18.0421269,14.433333,15.666667
15,7,Lift,0.0,1.056,1.042834,0.9244,0.594
15,7,OracleLift,0.0,1.056,1.0266674,0.8188000000000001,1.32
18,1,Recall,29.0,31.545426499999998,28.405377,23.8333352,28.999982
18,6,DiscoveredLabels,1.6111124000000001,19.277783,58.388889,15.8888914,4.8333357999999995
18,6,Easiness,1.0,6.4266642,67.416678,20.4166815,6.279997600000001
18,6,Efficiency,0.0,4.95,72.26,16.83,5.28
18,6,FrequencyRecall,0.0,41.0,41.77121,35.416658000000005,49.0
18,6,Lift,0.0,0.594,1.0752981,0.8448,0.6335999999999999
18,6,OracleLift,0.0,0.594,1.01787862,0.8184,2.64
21,1,Recall,29.0,35.7272503,33.405372,29.583336199999998,28.999982
21,5,DiscoveredLabels,1.380951,18.7142682,58.857169000000006,16.9047466,4.1428539
21,5,Easiness,1.0,16.71665,59.33335700000001,24.009976,1.0
21,5,Efficiency,0.0,15.18,61.2,22.78,0.0
21,5,FrequencyRecall,0.0,49.66667,52.414687,51.250002,21.0
21,5,Lift,0.0,0.8316000000000001,1.0329191,0.9408,0.0
21,5,OracleLift,0.0,0.8316000000000001,0.9695913199999999,0.76755,7.26
24,1,Recall,54.0,44.090900000000005,37.270233000000005,31.5833339,34.333321
24,4,DiscoveredLabels,2.2500018,20.2083378,57.45833400000001,15.7916697,4.2916679
24,4,Easiness,9.165,28.375,45.25,9.51,8.59
24,4,Efficiency,8.25,30.37,47.26,7.92,5.28
24,4,FrequencyRecall,54.0,56.249998000000005,58.576192,50.0,50.0
24,4,Lift,0.66,1.0870667,1.0608267,0.6335999999999999,0.4224
24,4,OracleLift,0.66,1.0870667,1.1094934,0.528,0.3696
27,1,Recall,54.0,57.636382999999995,41.351312,31.5833339,34.333321
27,3,DiscoveredLabels,1.999998,23.481457999999996,56.666696,14.037024200000001,3.8148129999999996
27,3,Easiness,1.0,49.716665000000006,50.39333500000001,1.0,1.0
27,3,Efficiency,0.0,49.23,49.88,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,100.0,0.0,0.0
27,3,Lift,0.0,0.9411,0.9311,0.0,0.0
27,3,OracleLift,0.0,0.9411,0.9311,0.0,0.0
30,1,Recall,85.0,64.818213,44.891856,33.9999996,44.33332600000001
30,4,DiscoveredLabels,2.8333305,23.766664000000002,55.366669,13.599997499999999,4.4333326
30,4,Easiness,9.74,27.16,43.82,10.5,10.5
30,4,Efficiency,10.23,26.08,43.28,9.57,9.9
30,4,FrequencyRecall,85.0,82.08334500000001,83.39047199999999,79.0,80.0
30,4,Lift,0.5115,0.7949167,0.9455834,0.4784999999999999,0.495
30,4,OracleLift,0.5115,0.7949167,1.0174168000000001,0.4125,0.44549999999999995
33,1,Recall,85.0,69.272756,49.567564000000004,40.499997,44.33332600000001
33,5,DiscoveredLabels,2.5757549999999996,23.090886,55.57579,14.7272593,4.0303027
33,5,Easiness,1.0,17.493347999999997,58.166674,24.610001999999998,1.0
33,5,Efficiency,0.0,16.17,57.22,25.74,0.0
33,5,FrequencyRecall,0.0,72.666667,75.734146,77.000011,21.0
33,5,Lift,0.0,0.792,0.9803400000000001,0.9636,0.0
33,5,OracleLift,0.0,0.792,0.92239,0.8514,6.93
36,1,Recall,85.0,71.18184600000001,54.783819,46.0,51.0
36,6,DiscoveredLabels,2.361113,21.749985000000002,56.305563,15.3333368,4.2500029
36,6,Easiness,1.0,6.965548999999999,65.66669800000001,21.575534,6.662216000000001
36,6,Efficiency,0.0,6.93,63.9,21.79,6.6
36,6,FrequencyRecall,0.0,62.0,62.016679999999994,57.91667100000001,69.666667
36,6,Lift,0.0,0.6237,0.96676242,0.9408,0.5940000000000001
36,6,OracleLift,0.0,0.6237,0.95982394,0.7474500000000001,2.6301
39,1,Recall,85.0,73.727298,59.891932,51.583330000000004,56.333332
39,7,DiscoveredLabels,2.179485,20.794850999999998,56.820552,15.871779299999998,4.333334499999999
39,7,Easiness,1.0,9.892348,59.470579,25.294132,5.4429385
39,7,Efficiency,0.0,9.24,62.61,22.13,5.28
39,7,FrequencyRecall,0.0,31.166669000000002,33.717938,27.6,29.5
39,7,Lift,0.0,0.8415,1.0534162500000002,0.8815350000000001,0.8976000000000001
39,7,OracleLift,0.0,0.8415,1.0523019200000001,0.73338,1.5147
42,1,Recall,85.0,75.45457,65.108143,57.083333,63.666679
42,6,DiscoveredLabels,2.0238074999999998,19.761909,57.357159,16.3095352,4.5476162
42,6,Easiness,1.0,6.953345999999999,66.33333999999999,21.453339,6.640012
42,6,Efficiency,0.0,6.27,63.9,21.78,7.26
42,6,FrequencyRecall,0.0,81.0,80.134853,79.333347,87.5
42,6,Lift,0.0,0.3762,0.94747,0.8909999999999999,0.43560000000000004
42,6,OracleLift,0.0,0.3762,0.92001,0.8151,4.4352
45,1,Recall,85.0,80.454565,69.864895,62.833331,63.666679
45,5,DiscoveredLabels,1.888887,19.66667,57.444455,16.755569,4.2444419
45,5,Easiness,1.0,18.823319,58.686671000000004,23.429989,1.0
45,5,Efficiency,0.0,18.15,58.23,22.77,0.0
45,5,FrequencyRecall,0.0,100.0,100.0,100.0,12.0
45,5,Lift,0.0,0.5049,0.9717,0.5643,0.0
45,5,OracleLift,0.0,0.5049,0.9804999999999999,0.45539999999999997,3.96
