Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,13.6363545,4.054055,0.0,0.0
3,3,DiscoveredLabels,0.0,50.0,50.0,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,49.55,49.55,0.0,0.0
3,3,FrequencyRecall,0.0,50.0,50.0,0.0,0.0
3,3,Lift,0.0,0.9910000000000001,0.9910000000000001,0.0,0.0
3,3,OracleLift,11.55,0.8593999999999999,0.7136,5.61,3.3
6,1,Recall,28.0,21.545434500000002,7.864863000000001,1.5833327,8.333325
6,4,DiscoveredLabels,4.666676,39.499996,48.50000300000001,3.1666729999999994,4.166675
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,9.24,28.72,46.61,6.27,8.25
6,4,FrequencyRecall,28.0,28.999989,28.2,19.0,25.0
6,4,Lift,1.0164,1.0530667,1.02542,0.6897,0.9075
6,4,OracleLift,1.3431,1.0651666999999998,0.82192,1.0164,1.2342
9,1,Recall,28.0,26.454522,12.7026917,7.1666693,8.333325
9,5,DiscoveredLabels,3.111108,32.333310000000004,52.222225,9.555546,2.777775
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,17.82,59.23,22.11,0.0
9,5,FrequencyRecall,0.0,27.0,25.571403,22.333318,0.0
9,5,Lift,0.0,1.0692,1.01537272,0.8844,0.0
9,5,OracleLift,7.59,1.1484,0.7762292000000001,0.8316,6.27
12,1,Recall,28.0,27.7272479,18.297279200000002,12.083342199999999,14.99999
12,6,DiscoveredLabels,2.3333323999999998,25.4166687,56.416672,12.083342199999999,3.7500005
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,4.62,68.59,19.47,6.6
12,6,FrequencyRecall,0.0,14.0,20.7,19.666655000000002,20.0
12,6,Lift,0.0,0.693,1.02885,0.9734999999999999,0.99
12,6,OracleLift,4.62,1.7820000000000003,0.8392499999999999,0.99,1.0395
15,1,Recall,28.0,29.9999756,23.4324091,17.7500084,20.666656000000003
15,7,DiscoveredLabels,1.8666676000000002,21.9999982,57.799997000000005,14.1999916,4.1333317
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,8.25,62.95,22.46,5.61
15,7,FrequencyRecall,0.0,12.5,15.8333475,13.6,17.0
15,7,Lift,0.0,0.825,1.0491675,0.8984000000000001,1.1219999999999999
15,7,OracleLift,3.96,1.551,0.8220005,0.806,2.046
18,1,Recall,28.0,31.9090655,28.837809000000004,22.5000088,27.999990000000004
18,6,DiscoveredLabels,1.5555568,19.500006,59.277786,15.0000046,4.6666672
18,6,Easiness,1.0,7.3066638,66.083341,20.0833474,6.866664000000001
18,6,Efficiency,0.0,6.93,66.25,18.83,7.26
18,6,FrequencyRecall,0.0,35.0,40.7,38.666661000000005,42.0
18,6,Lift,0.0,0.8316,1.00805034,0.9512,0.8712000000000001
18,6,OracleLift,5.94,3.0888,0.70839292,1.2214,2.508
21,1,Recall,28.0,36.8181581,33.405372,28.9166714,27.999990000000004
21,5,DiscoveredLabels,1.333332,19.2856959,58.857165,16.523795,3.9999976999999998
21,5,Easiness,1.0,16.272206,57.888915,25.888863,1.0
21,5,Efficiency,0.0,17.82,55.87,25.43,0.0
21,5,FrequencyRecall,0.0,54.0,49.714282000000004,47.999998999999995,0.0
21,5,Lift,0.0,1.0692,0.96413996,1.0302,0.0
21,5,OracleLift,7.92,1.47345,0.73089642,1.089,5.94
24,1,Recall,61.0,43.454530000000005,36.999963,31.4166702,38.333329000000006
24,4,DiscoveredLabels,2.5416687,19.9166679,57.041669,15.7083358,4.791667100000001
24,4,Easiness,9.28,26.635,44.875,10.315,9.625
24,4,Efficiency,10.89,24.1,43.96,9.9,10.23
24,4,FrequencyRecall,61.0,53.333336,54.8,49.0,56.0
24,4,Lift,0.8712000000000001,0.8978667,0.9887467000000001,0.792,0.8184
24,4,OracleLift,3.9732,1.0076,0.7116934,3.7488,1.0428
27,1,Recall,61.0,57.090928999999996,41.054016000000004,31.4166702,38.333329000000006
27,3,DiscoveredLabels,2.259257,23.259236,56.259286,13.962951,4.2592581
27,3,Easiness,1.0,50.05,50.05,1.0,1.0
27,3,Efficiency,0.0,49.55,49.55,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,100.0,0.0,0.0
27,3,Lift,0.0,0.941,0.941,0.0,0.0
27,3,OracleLift,9.24,1.87935,0.9933999999999998,7.26,2.97
30,1,Recall,88.0,64.727306,44.72969700000001,33.5833363,47.333329000000006
30,4,DiscoveredLabels,2.9333304,23.733328999999998,55.16667,13.4333315,4.7333329
30,4,Easiness,8.41,28.13,45.23,10.69,9.36
30,4,Efficiency,8.91,27.72,44.96,8.58,8.91
30,4,FrequencyRecall,88.0,81.333345,82.0,75.0,83.0
30,4,Lift,0.44549999999999995,0.847,0.9556668,0.429,0.44549999999999995
30,4,OracleLift,5.016,1.9140000000000001,1.0283751,4.422,2.7555
33,1,Recall,88.0,69.636394,49.540538,39.2499963,47.333329000000006
33,5,DiscoveredLabels,2.666664,23.212098,55.545483999999995,14.272714599999999,4.3030303
33,5,Easiness,1.0,15.573348,58.666679,26.089999,1.0
33,5,Efficiency,0.0,17.82,58.88,22.45,0.0
33,5,FrequencyRecall,0.0,81.0,75.142882,70.66668,0.0
33,5,Lift,0.0,0.8909999999999999,0.99929,0.7691,0.0
33,5,OracleLift,5.61,1.6632,0.83429,1.0826,6.93
36,1,Recall,88.0,71.272756,54.918949000000005,44.333338299999994,54.66667100000001
36,6,DiscoveredLabels,2.4444464,21.777765,56.444447,14.777783,4.5555583
36,6,Easiness,1.0,7.572215,65.888914,20.494424,6.864438
36,6,Efficiency,0.0,5.94,65.96,20.13,7.26
36,6,FrequencyRecall,0.0,53.0,60.6,59.00000800000001,64.0
36,6,Lift,0.0,0.5346,0.99193596,0.9009,0.6534
36,6,OracleLift,2.97,2.1516,0.68141766,2.1993,3.9204000000000003
39,1,Recall,88.0,74.090935,60.081121,49.8333353,58.666672
39,7,DiscoveredLabels,2.256408,20.897415000000002,57.000033,15.3333181,4.5128224
39,7,Easiness,1.0,10.294112499999999,59.41176,25.411779000000003,5.0523505
39,7,Efficiency,0.0,10.23,63.27,21.78,3.96
39,7,FrequencyRecall,0.0,28.0,31.749995,26.8,29.0
39,7,Lift,0.0,0.9817500000000001,1.0593164,0.83589,0.6732
39,7,OracleLift,4.95,1.0939500000000002,0.88607883,0.89896,2.9402999999999997
42,1,Recall,88.0,76.36366,65.270305,55.416668,64.00001300000001
42,6,DiscoveredLabels,2.095236,20.000001,57.500017,15.833346299999999,4.5714258
42,6,Easiness,1.0,8.363349,65.666672,20.640007999999998,6.640012
42,6,Efficiency,0.0,8.25,63.56,22.11,5.28
42,6,FrequencyRecall,0.0,78.0,79.8,81.333342,80.0
42,6,Lift,0.0,0.495,0.9689,1.0031999999999999,0.31679999999999997
42,6,OracleLift,3.63,5.755199999999999,0.7313500000000001,2.4194999999999998,4.6266
45,1,Recall,88.0,79.818202,69.973003,62.750001000000005,64.00001300000001
45,5,DiscoveredLabels,1.9555536,19.511114,57.533344,16.733345,4.2666642
45,5,Easiness,1.0,13.316657,58.05000700000001,29.623320000000003,1.0
45,5,Efficiency,0.0,12.54,57.56,29.05,0.0
45,5,FrequencyRecall,0.0,100.0,100.0,100.0,0.0
45,5,Lift,0.0,0.3465,0.9419,0.703,0.0
45,5,OracleLift,3.63,3.2871000000000006,1.4482,2.3001,5.28
48,1,Recall,100.0,84.909106,72.405433,64.83333400000001,69.666684
48,4,DiscoveredLabels,2.12766,19.872328,56.999991,16.553190999999998,4.4468094
48,4,Easiness,6.88,28.51,45.26,13.25,9.33
48,4,Efficiency,6.0,28.0,45.0,12.5,8.5
48,4,FrequencyRecall,100.0,100.0,100.0,100.0,100.0
48,4,Lift,0.12,0.49,0.74,0.25,0.17
48,4,OracleLift,8.11,5.395,2.52,4.71,2.65
51,1,Recall,100.0,86.90910400000001,77.864887,69.500006,76.333357
51,6,DiscoveredLabels,2.0,19.12,57.62,16.68,4.58
51,6,Easiness,1.0,8.113326,67.34334000000001,19.206658,7.466660000000001
51,6,Efficiency,0.0,7.26,66.95,18.48,6.6
51,6,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
51,6,Lift,0.0,0.21780000000000002,0.983,0.45539999999999997,0.198
51,6,OracleLift,3.63,5.778300000000001,0.75715,6.691050000000001,4.8081
54,1,Recall,100.0,89.818192,82.216234,76.916663,82.33335100000001
54,7,DiscoveredLabels,1.88679,18.641484000000002,57.396256,17.415064,4.660376
54,7,Easiness,1.0,10.355708199999999,58.500015000000005,26.142855,5.3614306
54,7,Efficiency,0.0,10.56,53.22,29.39,5.94
54,7,FrequencyRecall,0.0,44.0,45.166669,44.6,47.0
