Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,13.6363547,4.0540551,0.0,0.0
3,3,DiscoveredLabels,0.0,49.99999900000001,50.000001000000005,0.0,0.0
3,3,Easiness,1.0,1.0,33.3333,1.0,66.6667
3,3,Efficiency,0.0,49.55,49.54,0.0,0.0
3,3,FrequencyRecall,0.0,,75.0,0.0,0.0
3,3,Lift,0.0,49.55,1.4862,0.0,0.0
3,3,OracleLift,0.0,49.55,1.4862,0.0,0.0
6,1,Recall,23.0,20.363618,7.8378365,2.9999988,8.999991
6,4,DiscoveredLabels,3.833341,37.333329,48.333332,6.000011999999999,4.5000089999999995
6,4,Easiness,1.0,1.0,1.0,9.09091,90.9091
6,4,Efficiency,7.59,24.43,46.27,11.88,8.91
6,4,FrequencyRecall,,,,36.0,2.7
6,4,Lift,7.59,24.43,46.27,1.3068,0.09801
6,4,OracleLift,7.59,14.19,46.27,1.3068,0.21053999999999998
9,1,Recall,23.0,25.090886,12.270260200000001,10.000008399999999,8.999991
9,5,DiscoveredLabels,2.555553,30.666646,50.44444000000001,13.33332,2.999997
9,5,Easiness,1.0,1.0,1.0,8.33333,91.6667
9,5,Efficiency,0.0,17.16,54.23,27.72,0.0
9,5,FrequencyRecall,0.0,,,84.0,0.0
9,5,Lift,0.0,17.16,54.23,3.3264,0.0
9,5,OracleLift,0.0,17.16,54.23,3.3264,0.0
12,1,Recall,23.0,26.5454297,17.6756581,15.5833421,14.666659
12,6,DiscoveredLabels,1.9166659000000001,24.3333421,54.500002,15.5833421,3.6666679999999996
12,6,Easiness,1.0,6.66667,13.3333,1.0,80.0
12,6,Efficiency,0.0,5.28,66.22,22.11,5.61
12,6,FrequencyRecall,0.0,16.0,100.0,,1.4166660999999998
12,6,Lift,0.0,0.792,4.9665,22.11,0.07012499999999999
12,6,OracleLift,0.0,0.792,4.9665,22.11,0.07012499999999999
15,1,Recall,23.0,29.090886599999997,22.918896,21.083339000000002,18.666656
15,7,DiscoveredLabels,1.5333340999999998,21.3333282,56.533332,16.866661,3.733332
15,7,Easiness,1.0,15.0,1.0,1.0,85.0
15,7,Efficiency,0.0,9.24,64.28,21.79,3.96
15,7,FrequencyRecall,0.0,9.333324,,,0.705882
15,7,Lift,0.0,0.6160000000000001,64.28,21.79,0.0465882
15,7,OracleLift,0.0,0.6160000000000001,58.26,21.79,0.11647051
18,1,Recall,23.0,30.9090664,28.351323,26.0000033,25.333323
18,6,DiscoveredLabels,1.2777787999999999,18.8888904,58.277783,17.3333346,4.2222226
18,6,Easiness,1.0,6.5733308,12.7466856,1.0,80.99998799999999
18,6,Efficiency,0.0,6.6,66.62,19.48,6.6
18,6,FrequencyRecall,0.0,44.0,124.5,,20.6666777
18,6,Lift,0.0,2.8248,10.0616,19.48,0.08032
18,6,OracleLift,0.0,2.8248,10.0616,19.48,0.08032
21,1,Recall,23.0,35.2727042,33.081048,32.4166669,25.333323
21,5,DiscoveredLabels,1.095237,18.4761734,58.285738,18.5237921,3.6190455
21,5,Easiness,1.0,1.0,1.0,8.785547000000001,91.44445300000001
21,5,Efficiency,0.0,15.84,57.93,25.41,0.0
21,5,FrequencyRecall,0.0,,,100.0,25.181793
21,5,Lift,0.0,15.84,57.93,5.590199999999999,0.0
21,5,OracleLift,0.0,15.84,57.93,5.590199999999999,0.0
24,1,Recall,50.0,43.545443999999996,36.810774,34.0000013,33.66666
24,4,DiscoveredLabels,2.083335,19.9583382,56.749995,17.000002300000002,4.208334
24,4,Easiness,1.0,1.0,1.0,9.625,90.625
24,4,Efficiency,8.91,30.04,45.61,6.27,8.25
24,4,FrequencyRecall,,,,44.0,30.0
24,4,Lift,8.91,30.04,45.61,2.6268000000000002,0.09240003
24,4,OracleLift,8.91,21.12,45.61,2.6268000000000002,0.19187149
27,1,Recall,50.0,57.181833,40.864828,34.0000013,33.66666
27,3,DiscoveredLabels,1.85185,23.296273,56.000027,15.1110972,3.7407394999999997
27,3,Easiness,1.0,1.0,35.80665200000001,1.0,64.333348
27,3,Efficiency,0.0,49.54,49.55,0.0,0.0
27,3,FrequencyRecall,0.0,,121.5,0.0,51.75
27,3,Lift,0.0,49.54,9.0303,0.0,0.0
27,3,OracleLift,0.0,49.54,9.0303,0.0,0.0
30,1,Recall,85.0,64.545483,44.432398000000006,35.833334,43.666661000000005
30,4,DiscoveredLabels,2.8333305,23.666666,54.800002000000006,14.3333307,4.3666661
30,4,Easiness,1.0,1.0,1.0,10.69,89.8
30,4,Efficiency,11.55,26.74,43.63,7.26,9.9
30,4,FrequencyRecall,,,,71.0,58.1
30,4,Lift,11.55,26.74,43.63,3.1845,0.10725
30,4,OracleLift,11.55,16.83,43.63,3.1845,0.220275
33,1,Recall,85.0,69.000029,48.972964000000005,42.749998999999995,43.666661000000005
33,5,DiscoveredLabels,2.5757549999999996,22.999976999999998,54.909118,15.545440300000001,3.9696968
33,5,Easiness,1.0,1.0,1.0,8.050015,92.499985
33,5,Efficiency,0.0,16.17,55.58,27.39,0.0
33,5,FrequencyRecall,0.0,,,138.0,49.54545
33,5,Lift,0.0,16.17,55.58,12.810599999999999,0.0
33,5,OracleLift,0.0,16.17,55.58,12.810599999999999,0.0
36,1,Recall,85.0,70.454573,54.567600999999996,47.999995,48.33333400000001
36,6,DiscoveredLabels,2.361113,21.527763,56.08334,15.999997800000001,4.0277805
36,6,Easiness,1.0,6.864438,13.271098,1.0,80.444464
36,6,Efficiency,0.0,5.28,68.63,20.8,4.62
36,6,FrequencyRecall,0.0,58.0,144.5,,40.83334
36,6,Lift,0.0,1.6764000000000001,15.088099999999999,20.8,0.056276799999999995
36,6,OracleLift,0.0,1.6764000000000001,15.088099999999999,20.8,0.056276799999999995
39,1,Recall,85.0,73.27275300000001,59.270309,54.416663,54.333339
39,7,DiscoveredLabels,2.179485,20.666646,56.23080300000001,16.7435732,4.179489
39,7,Easiness,1.0,15.1176695,1.0,1.0,84.88232900000001
39,7,Efficiency,0.0,10.23,57.6,25.41,5.94
39,7,FrequencyRecall,0.0,24.666657,,,16.1764915
39,7,Lift,0.0,0.7293000000000001,57.6,25.41,0.06999140000000001
39,7,OracleLift,0.0,0.7293000000000001,51.6,25.41,0.13924817
42,1,Recall,85.0,75.909115,64.675711,58.750004,60.666679
42,6,DiscoveredLabels,2.0238074999999998,19.880958,56.976206000000005,16.7857197,4.3333303999999995
42,6,Easiness,1.0,6.796678999999999,13.076675,1.0,81.166658
42,6,Efficiency,0.0,9.57,66.25,17.16,6.27
42,6,FrequencyRecall,0.0,92.0,162.0,,60.999995
42,6,Lift,0.0,6.468,30.1473,17.16,0.0759
42,6,OracleLift,0.0,6.468,30.1473,17.16,0.0759
45,1,Recall,85.0,80.545474,69.89192200000001,63.416666000000006,60.666679
45,5,DiscoveredLabels,1.888887,19.688892,57.466674000000005,16.91113,4.0444418
45,5,Easiness,1.0,1.0,1.0,6.173328000000001,94.666672
45,5,Efficiency,0.0,16.83,63.93,18.48,0.0
45,5,FrequencyRecall,0.0,,,140.0,74.181844
45,5,Lift,0.0,16.83,63.93,11.7579,0.0
45,5,OracleLift,0.0,16.83,63.93,11.7579,0.0
48,1,Recall,100.0,85.45456,72.324352,65.333337,66.666683
48,4,DiscoveredLabels,2.12766,19.999991,56.936165,16.680853,4.25532
48,4,Easiness,1.0,1.0,1.0,11.78,89.0
48,4,Efficiency,7.5,27.0,45.0,11.5,9.0
48,4,FrequencyRecall,,,,101.0,84.0
48,4,Lift,7.5,27.0,45.0,10.52,0.095
48,4,OracleLift,7.5,21.0,45.0,10.52,0.165
51,1,Recall,100.0,87.181831,77.513536,70.250005,76.66669
51,6,DiscoveredLabels,2.0,19.18,57.36,16.86,4.6
51,6,Easiness,1.0,7.466660000000001,12.993324,1.0,81.00001200000001
51,6,Efficiency,0.0,6.27,63.58,19.47,9.9
51,6,FrequencyRecall,0.0,99.0,177.5,,82.24998599999999
51,6,Lift,0.0,5.6298,42.3366,19.47,0.1254
51,6,OracleLift,0.0,5.6298,42.3366,19.47,0.1254
54,1,Recall,100.0,90.454555,82.216234,76.749996,80.666686
54,7,DiscoveredLabels,1.88679,18.77356,57.396256,17.377328,4.5660359999999995
54,7,Easiness,1.0,15.6428612,1.0,1.0,84.35713200000001
54,7,Efficiency,0.0,11.88,57.61,25.75,3.96
54,7,FrequencyRecall,0.0,38.999985,,,31.235301
54,7,Lift,0.0,0.9163000000000001,57.61,25.75,0.046011550000000005
54,7,OracleLift,0.0,0.9163000000000001,52.93,25.75,0.09972308999999999
57,1,Recall,100.0,92.636371,87.13514800000002,83.166659,86.33334699999999
57,7,DiscoveredLabels,1.78571,18.19642,57.571444,17.821411,4.6249989
57,7,Easiness,1.0,15.545442899999998,1.0,1.0,84.454561
57,7,Efficiency,0.0,7.92,60.32,25.43,5.61
57,7,FrequencyRecall,0.0,50.99999900000001,,,46.352942000000006
57,7,Lift,0.0,0.62315,60.32,25.43,0.06584414
57,7,OracleLift,0.0,0.62315,54.95,25.43,0.12886495
60,1,Recall,100.0,95.545459,91.972981,89.16667100000001,92.000008
60,7,DiscoveredLabels,1.69492,17.813593,57.677947999999994,18.135624,4.6779692
60,7,Easiness,1.0,16.34,1.0,1.0,83.75
60,7,Efficiency,0.0,10.56,59.22,23.76,5.61
60,7,FrequencyRecall,0.0,67.333327,,,61.588225
60,7,Lift,0.0,1.6368,59.22,23.76,0.07090287
60,7,OracleLift,0.0,1.6368,55.54,23.76,0.11603431
63,1,Recall,100.0,98.09091099999999,96.675679,96.16667699999999,96.66667
63,7,DiscoveredLabels,1.6129,17.403191000000003,57.693532999999995,18.612866,4.67742
63,7,Easiness,1.0,17.33,1.0,1.0,83.0
63,7,Efficiency,0.0,9.24,57.59,27.72,4.62
63,7,FrequencyRecall,0.0,80.999973,,,76.411754
63,7,Lift,0.0,3.5557499999999997,57.59,27.72,0.051699999999999996
63,7,OracleLift,0.0,3.5557499999999997,53.95,27.72,0.09515000000000001
66,1,Recall,100.0,100.0,100.0,100.0,100.0
66,7,DiscoveredLabels,1.5625,17.1875,57.8125,18.75,4.6875
66,7,Easiness,1.0,16.21,1.0,1.0,84.52
66,7,Efficiency,0.0,10.5,61.5,23.0,5.0
66,7,FrequencyRecall,0.0,96.66664,,,90.64704599999999
66,7,Lift,0.0,8.05,61.5,23.0,0.055
66,7,OracleLift,0.0,8.05,55.5,23.0,0.125
