Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.65,0.36413054,0.26143789,0.29347832,0.28571399999999997
3,3,DiscoveredLabels,4.333329,22.33332,53.333331,17.999987,1.999998
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,4.29,22.12,52.93,17.82,1.98
3,3,FrequencyRecall,13.0,11.16668,12.3076845,13.5,6.0
3,3,Lift,1.0725,0.9216667,1.01788455,1.11375,0.495
3,3,OracleLift,1.0725,0.9216667,1.01788455,1.11375,0.495
6,1,Recall,0.65,0.8586957599999999,0.54575155,0.47826135999999997,0.333333
6,4,DiscoveredLabels,2.1666709999999996,26.333336,55.666667,14.666674,1.166669
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,0.0,30.08,57.58,11.22,0.33
6,4,FrequencyRecall,0.0,4.3333305,4.7027047,4.857138,1.0
6,4,Lift,0.0,0.9596961,1.04266732,1.0739138,0.2211
6,4,OracleLift,0.0,0.9596961,1.04266732,1.0739138,0.2211
9,1,Recall,0.85,1.29347774,0.83169912,0.64130454,0.8571420999999999
9,5,DiscoveredLabels,1.888887,26.444423999999998,56.555567,13.111098,1.999998
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,1.32,26.46,57.97,9.9,3.63
9,5,FrequencyRecall,1.333332,2.2857136,2.0114963,1.764705,2.75
9,5,Lift,0.6424,1.1037592,0.9728311700000001,0.850236,1.32495
9,5,OracleLift,0.6424,1.1037592,0.9728311700000001,0.850236,1.32495
12,1,Recall,1.25,1.61956448,1.1127451800000001,0.9402168999999999,1.0952370999999999
12,6,DiscoveredLabels,2.083333,24.833339799999997,56.750002,14.416672,1.9166664
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,2.64,19.81,56.99,18.15,1.65
12,6,FrequencyRecall,1.142856,1.0344839000000001,0.9555561200000001,1.1,0.833334
12,6,Lift,1.1352,1.028072,0.9529999100000001,1.09263,0.8277500000000001
12,6,OracleLift,1.1352,1.028072,0.9529999100000001,1.09263,0.8277500000000001
15,1,Recall,1.5,1.85325988,1.3986937600000002,1.3260862799999997,1.3809512999999998
15,7,DiscoveredLabels,2.0000001,22.7333297,57.06667,16.2666617,1.9333333
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,1.65,14.2,57.88,23.43,1.98
15,7,FrequencyRecall,0.625,0.671875,0.59322038,0.6698109999999999,0.666666
15,7,Lift,0.9941249999999999,1.0694365000000001,0.9456988,1.0654039,1.0603980000000002
15,7,OracleLift,0.9941249999999999,1.0694365000000001,0.9456988,1.0654039,1.0603980000000002
18,1,Recall,2.0,2.21195584,1.69607897,1.5054338200000001,1.8095225
18,6,DiscoveredLabels,2.2222236,22.611110800000002,57.666673,15.3888944,2.1111114
18,6,Easiness,2.3221444000000004,19.261741,59.825491,16.593965,1.9966415
18,6,Efficiency,3.3,21.79,60.29,10.89,2.97
18,6,FrequencyRecall,2.571426,2.1724151000000003,1.96666696,1.76,2.3333369999999998
18,6,Lift,1.40486,1.1312304,1.00775554,0.6542956000000001,1.4750999999999999
18,6,OracleLift,1.40486,1.1312304,1.00775554,0.6542956000000001,1.4750999999999999
21,1,Recall,2.35,2.61956474,1.98692763,1.6956512999999998,2.0476175999999997
21,5,DiscoveredLabels,2.2380934,22.9523601,57.904782999999995,14.8571305,2.0476175999999997
21,5,Easiness,2.069928,23.916059999999998,59.615425,11.67831,2.7202770000000003
21,5,Efficiency,2.31,24.75,58.93,11.55,1.65
21,5,FrequencyRecall,3.6666630000000002,4.4285737,4.0574725,3.8235285,4.0
21,5,Lift,1.1011,1.0322292,0.9885736299999999,0.9911047,0.5898749999999999
21,5,OracleLift,1.1011,1.0322292,0.9885736299999999,0.9911047,0.5898749999999999
24,1,Recall,2.65,3.07608678,2.2679736,1.8695642999999997,2.3333315
24,4,DiscoveredLabels,2.2083342999999998,23.5833375,57.833337,14.3333376,2.0416678
24,4,Easiness,1.5625,31.390625,55.09375,10.40625,1.556875
24,4,Efficiency,1.98,27.75,56.96,10.56,1.98
24,4,FrequencyRecall,6.0,8.3333281,9.351346600000001,9.428562000000001,7.0
24,4,Lift,1.2671999999999999,0.8838731,1.03249792,1.0057139,1.2671999999999999
24,4,OracleLift,1.2671999999999999,0.8838731,1.03249792,1.0057139,1.2671999999999999
27,1,Recall,3.05,3.44021778,2.5294119,2.15217268,2.9523787999999995
27,3,DiscoveredLabels,2.2592579,23.444422399999997,57.333352000000005,14.6666534,2.2962948
27,3,Easiness,4.084541499999999,24.227273,51.818196,15.7272795,4.332723
27,3,Efficiency,2.64,22.12,52.94,17.16,4.29
27,3,FrequencyRecall,21.0,22.333335,24.6153605,26.5,19.0
27,3,Lift,0.5808,0.90684,1.01940582,1.1011,0.9438
27,3,OracleLift,0.5808,0.90684,1.01940582,1.1011,0.9438
30,1,Recall,3.2,3.9076089,2.8202621,2.30978152,3.1428549999999995
30,4,DiscoveredLabels,2.1333324,23.9666718,57.533334999999994,14.1666616,2.1999986000000002
30,4,Easiness,1.6009796,31.557370000000002,54.983607,10.393439599999999,1.5945862
30,4,Efficiency,0.99,28.41,58.92,9.57,1.32
30,4,FrequencyRecall,9.0,12.4285629,14.162149200000002,13.571415,11.0
