Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.6,0.35326082,0.26143783,0.26630438,0.666666
3,3,DiscoveredLabels,3.999996,21.66665,53.333337,16.333321,4.666662
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,3.96,21.46,52.88,16.17,4.62
3,3,FrequencyRecall,12.0,11.904774,14.9340638,13.35,14.0
3,3,Lift,0.99,0.8941667,1.0169228000000001,1.010625,1.155
3,3,OracleLift,0.7425,0.88,1.0746152,0.969375,0.9075
6,1,Recall,1.0,0.8913044999999999,0.5179738,0.45652223999999997,0.714285
6,4,DiscoveredLabels,3.3333389999999996,27.333336,52.833336,14.000008000000001,2.500005
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,2.64,32.7,51.93,11.55,0.33
6,4,FrequencyRecall,9.0,5.221530799999999,5.338969099999999,5.821424,3.0
6,4,Lift,1.7688,1.0432863,0.9403562000000001,1.1054995,0.2211
6,4,OracleLift,2.211,0.9485293,0.9944996400000001,0.947571,0.8844
9,1,Recall,1.2,1.3315209199999998,0.79738538,0.63587006,1.2380942
9,5,DiscoveredLabels,2.666664,27.222203,54.222232999999996,12.999987,2.888886
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,1.32,26.75,56.6,10.89,3.63
9,5,FrequencyRecall,2.499999,2.7152079,2.3428838,2.2091492,2.95
9,5,Lift,0.6424,1.1158561,0.9498406800000001,0.9352596,1.32495
9,5,OracleLift,1.2848,1.0466104,0.96108435,0.8785772000000001,1.4454
12,1,Recall,1.35,1.67391206,1.08496743,0.9293476599999999,1.4285702999999998
12,6,DiscoveredLabels,2.2500003,25.6666696,55.333338000000005,14.2500056,2.5000002
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,0.99,20.8,58.32,17.82,1.32
12,6,FrequencyRecall,0.42857100000000004,1.2372893999999999,1.20145154,1.2164704,0.952382
12,6,Lift,0.4257,1.0794493,0.97524056,1.072764,0.6622
12,6,OracleLift,0.2838,1.130308,0.9580168499999999,1.052898,0.9933
15,1,Recall,1.45,1.91304244,1.3986941899999998,1.24456456,1.6190466
15,7,DiscoveredLabels,1.9333322999999998,23.4666626,57.066669000000005,15.2666659,2.2666654
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,0.66,14.53,63.62,19.15,1.32
15,7,FrequencyRecall,0.25,0.8379805,0.8083488799999999,0.66787139,0.744444
15,7,Lift,0.39765,1.0942896,1.03948514,0.8707841999999999,0.706932
15,7,OracleLift,0.39765,1.0942896,1.01187206,0.9007957999999999,1.2371310000000002
18,1,Recall,1.8,2.16304236,1.6895427699999999,1.5869555199999998,1.9047606
18,6,DiscoveredLabels,2.0000008,22.1111132,57.444449000000006,16.2222244,2.222223
18,6,Easiness,2.3389229,19.251673,59.812068,16.597323000000003,1.9999972
18,6,Efficiency,2.31,15.19,58.98,20.8,1.98
18,6,FrequencyRecall,1.42857,2.2092745,2.16133518,2.4356862,1.952384
18,6,Lift,0.9834020000000001,0.7903636,0.98591583,1.2534111000000001,0.9834
18,6,OracleLift,0.561944,0.961936,0.952036,1.2128375,1.1473
21,1,Recall,2.05,2.52173812,1.9950977,1.76630358,2.3333317
21,5,DiscoveredLabels,1.9523795,22.0952169,58.142875000000004,15.4761774,2.3333317
21,5,Easiness,2.069928,23.909067,59.64339700000001,11.657331,2.7202770000000003
21,5,Efficiency,1.65,21.8,61.94,10.89,2.97
21,5,FrequencyRecall,3.749997,4.4880966,4.5702445,4.2058808,5.6
21,5,Lift,0.7865000000000001,0.9100113999999999,1.03817078,0.9264498999999999,1.061775
21,5,OracleLift,1.1011,0.8675319,1.03870967,0.9281847999999999,1.1797499999999999
24,1,Recall,2.25,3.0054341599999996,2.2598034,1.95652064,2.809522
24,4,DiscoveredLabels,1.8750006,23.0416669,57.624998,14.9999983,2.458334
24,4,Easiness,1.5175,31.265625,55.359375,10.390625,1.556875
24,4,Efficiency,1.32,29.4,53.63,11.55,3.3
24,4,FrequencyRecall,12.0,9.395253199999999,9.623315999999999,10.446419,13.5
24,4,Lift,0.8448,0.9392037000000001,0.96810322,1.1233824,2.112
24,4,OracleLift,0.6335999999999999,0.925131,0.99797393,0.9503995000000001,2.5343999999999998
27,1,Recall,2.85,3.4510863,2.5049023,2.19565112,3.3809501999999996
27,3,DiscoveredLabels,2.1111098999999998,23.518495299999998,56.777798000000004,14.9629496,2.6296282000000004
27,3,Easiness,4.1199959999999995,24.318185,51.818194999999996,15.9545504,4.049086999999999
27,3,Efficiency,3.96,27.07,49.62,14.52,3.96
27,3,FrequencyRecall,24.0,25.446428,25.8556605,24.2,26.0
27,3,Lift,0.8712000000000001,1.1196167,0.95509256,0.8954,0.8712000000000001
27,3,OracleLift,0.6534,1.0687966999999998,1.03390246,0.8591,0.6534
30,1,Recall,3.05,4.0108692,2.7728764999999997,2.33695532,3.5238072
30,4,DiscoveredLabels,2.0333324999999998,24.600001000000002,56.566666000000005,14.3333309,2.4666654
30,4,Easiness,1.5626192,31.344248000000004,55.426229000000006,10.3278657,1.5690126
30,4,Efficiency,1.32,34.02,54.28,8.58,0.99
30,4,FrequencyRecall,16.0,14.3268299,14.097786000000001,14.160701000000001,14.5
30,4,Lift,0.8051999999999999,1.08217916,0.9780135400000001,0.8214953,0.6039
30,4,OracleLift,0.8051999999999999,1.00917477,1.02688661,0.7496025000000001,0.8051999999999999
33,1,Recall,3.4,4.4076089000000005,3.0555562,2.5760859199999997,3.6666640999999998
33,5,DiscoveredLabels,2.0606053,24.575733,56.666689,14.3636241,2.3333323999999998
33,5,Easiness,2.0785739000000003,23.949984,59.585706,11.671461999999998,2.714284
33,5,Efficiency,2.31,24.09,57.34,14.52,0.99
33,5,FrequencyRecall,5.833328,6.5158751,6.4533615,6.7810455,6.15
33,5,Lift,1.078,1.0054398999999998,0.96252245,1.2446828,0.385
33,5,OracleLift,1.232,0.9901366,0.97343143,1.1287299,0.616
36,1,Recall,4.0,4.7228264,3.3513074,2.79891236,4.0476163
36,6,DiscoveredLabels,2.2222238,24.138883999999997,56.972222,14.3055504,2.3611124
36,6,Easiness,2.338982,19.291518,59.816945,16.55257,2.0000020000000003
36,6,Efficiency,3.96,19.14,59.93,13.54,2.64
36,6,FrequencyRecall,3.267854,2.9944486,3.09548926,3.237647,3.28572
36,6,Lift,1.668852,0.9914977,1.00210017,0.8224983,1.298
36,6,OracleLift,1.39071,1.0600492,0.9738142500000001,0.8397005,1.6225
39,1,Recall,4.1,4.9402175,3.6748367,3.09782556,4.2857115
39,7,DiscoveredLabels,2.1025639,23.307669,57.666696,14.6153712,2.3076918
39,7,Easiness,1.6659746000000002,13.269329,61.185798999999996,22.008342000000003,1.8705596
39,7,Efficiency,0.66,13.21,65.62,18.16,1.65
39,7,FrequencyRecall,0.5,1.4622593000000002,1.42202369,1.1864746099999999,0.999999
39,7,Lift,0.395176,0.9950218,1.07236435,0.8246215000000001,0.90012
39,7,OracleLift,0.197588,1.070306,1.06662358,0.8241655,0.702532
42,1,Recall,4.7,5.3043476,3.9477122000000002,3.34782548,4.6666636
42,6,DiscoveredLabels,2.2380934999999997,23.238096099999996,57.52382000000001,14.666672999999998,2.333332
42,6,Easiness,2.3219166,19.291082,59.811638,16.582201,1.9931472000000001
42,6,Efficiency,3.96,22.11,55.27,15.18,2.64
42,6,FrequencyRecall,4.982138,4.2434256,4.0641907,4.3800602,4.476198999999999
42,6,Lift,1.6977700000000002,1.1497078,0.9243851399999999,0.9166226000000001,1.2848
42,6,OracleLift,1.560113,1.1678425,0.86896188,1.1175156,1.2848
45,1,Recall,5.4,5.6249996,4.2516339,3.55434778,4.8095209
45,5,DiscoveredLabels,2.3999984,22.999995,57.822221,14.533338100000002,2.2444427
45,5,Easiness,2.0729911999999997,23.94161,59.627739999999996,11.6058365,2.7518260999999997
45,5,Efficiency,4.62,19.48,61.61,12.55,0.99
45,5,FrequencyRecall,10.416658,8.119845699999999,8.5429073,8.944446,6.5
45,5,Lift,2.18515,0.818484,1.03341126,1.0718702,0.37675
45,5,OracleLift,2.33585,0.8189121,1.03858889,1.0224494999999998,0.37675
48,1,Recall,5.55,6.0869565,4.5490196,3.6902177999999997,5.0476158
48,4,DiscoveredLabels,2.3124992,23.333335,58.000001999999995,14.1458403,2.2083328
48,4,Easiness,1.6082776,31.189650999999998,55.465527,10.4137959,1.6227604
48,4,Efficiency,0.99,28.07,60.25,8.25,1.65
48,4,FrequencyRecall,19.0,18.5121275,18.7008502,17.571412,19.0
48,4,Lift,0.5742,0.9014179,1.08924709,0.8029689999999999,0.9570000000000001
48,4,OracleLift,0.19140000000000001,0.9053774,1.10720915,0.775626,0.9570000000000001
51,1,Recall,6.25,6.4402175,4.807189,3.9836959000000003,5.4761866999999995
51,3,DiscoveredLabels,2.4509783,23.235291200000002,57.686275,14.3725572,2.2549002
51,3,Easiness,4.2400016,23.842094000000003,52.105261,16.1578948,4.1547384
51,3,Efficiency,4.62,21.45,52.26,17.82,2.97
51,3,FrequencyRecall,38.0,35.595237000000004,37.114259000000004,37.9,35.0
51,3,Lift,0.8778,0.9018349999999999,1.0027745000000001,1.0293249999999998,0.5642999999999999
51,3,OracleLift,0.8778,0.82973,1.04826886,1.0293249999999998,0.4389
54,1,Recall,6.45,6.9728264,5.0767978,4.130435,5.7619011
54,4,DiscoveredLabels,2.3888878,23.759259999999998,57.53705,14.0740812,2.2407397000000002
54,4,Easiness,1.6627258,31.345465,55.181827999999996,10.5272838,1.6627258
54,4,Efficiency,1.32,32.35,54.58,8.91,1.98
54,4,FrequencyRecall,24.5,22.8191023,23.0979151,21.339267,25.5
54,4,Lift,0.726,1.0202326800000001,0.98540375,0.8487288,1.089
54,4,OracleLift,1.2375,0.96975494,1.01118407,0.8591002,0.9075
57,1,Recall,6.85,7.298913300000001,5.3643789,4.3695652,6.333329099999999
57,5,DiscoveredLabels,2.4035102,23.561401999999998,57.5965,14.1052684,2.3333345
57,5,Easiness,2.01492899,24.037312,59.574631,11.5820906,2.7910422
57,5,Efficiency,2.64,19.8,58.31,14.52,3.96
57,5,FrequencyRecall,13.083324,9.9603258,10.6122707,11.839873599999999,9.7
57,5,Lift,1.3266,0.8186781999999999,0.97780839,1.2746182,1.43715
57,5,OracleLift,1.5477,0.8593784999999999,0.94397256,1.3527322000000002,1.3266
60,1,Recall,7.3,7.635870700000001,5.651961099999999,4.614130599999999,6.714281099999999
60,6,DiscoveredLabels,2.4333339,23.41667,57.650005,14.1500007,2.3500006
60,6,Easiness,2.3045,19.259515,59.854682000000004,16.595155,1.9861548
60,6,Efficiency,2.97,20.47,58.24,14.85,2.64
60,6,FrequencyRecall,6.267851,5.4888946999999995,5.1295724,5.2407842,5.9285820000000005
60,6,Lift,1.271601,1.056942,0.97243393,0.8925161,1.2716
60,6,OracleLift,1.112651,1.0937484,0.9726267799999999,0.8711116,1.30339
63,1,Recall,7.55,7.8206521,5.949346500000001,4.9999995,7.0952334
63,7,DiscoveredLabels,2.3968232,22.841247,57.793685,14.6031614,2.3650773
63,7,Easiness,1.6722668,13.268915999999999,61.15548,22.031495,1.871852
63,7,Efficiency,1.65,11.22,60.27,23.43,2.64
63,7,FrequencyRecall,1.236111,1.9192306,2.12427032,1.89111867,1.888887
63,7,Lift,0.9817500000000001,0.8439135999999999,0.9857636399999999,1.0638054,1.396264
63,7,OracleLift,1.1781,0.8435240999999999,1.01293652,0.9895780000000001,1.221731
66,1,Recall,7.85,8.1195652,6.2565366,5.2445647,7.3809474
66,6,DiscoveredLabels,2.3787858,22.636366,58.015161,14.6212261,2.3484829
66,6,Easiness,2.2972005,19.244762,59.867145,16.611893,1.979019
66,6,Efficiency,1.98,18.15,62.24,14.85,1.98
66,6,FrequencyRecall,6.999993000000001,6.2523555,6.1038253,6.1184312,6.809534
66,6,Lift,0.8539160000000001,0.9457499,1.03950705,0.8977553,1.03818
66,6,OracleLift,0.7190870000000001,0.9817336,1.0115910099999998,0.9961181,0.81796
69,1,Recall,8.05,8.4673929,6.5686281,5.4293475,7.7142807
69,5,DiscoveredLabels,2.3333356,22.579715999999998,58.260865,14.4782601,2.3478280000000002
69,5,Easiness,2.00000317,24.129771,59.595414,11.511441,2.7633632
69,5,Efficiency,1.32,21.14,63.25,11.22,2.31
69,5,FrequencyRecall,14.666656,11.78096,12.884194500000001,13.627454,11.25
69,5,Lift,0.5764,0.8708809000000001,1.0591915900000002,0.9514202,0.79255
69,5,OracleLift,1.08075,0.8030176,1.09987076,0.9060699,0.43229999999999996
72,1,Recall,8.2,8.9945683,6.846405999999999,5.5489129,8.095233200000001
72,4,DiscoveredLabels,2.2777796,22.986107,58.194442,14.1805629,2.3611129
72,4,Easiness,1.7107716,31.269235000000002,55.192317,10.6153934,1.69231
72,4,Efficiency,0.99,32.04,56.27,7.26,2.64
72,4,FrequencyRecall,26.5,27.6272111,27.7849491,24.44641,33.5
72,4,Lift,0.5148,1.04140741,1.0269663199999999,0.7186772,1.3728
72,4,OracleLift,0.5148,1.01168588,1.0711850699999999,0.6455428999999999,1.2012
75,1,Recall,9.0,9.3260939,7.1062094,5.8369565,8.619042
75,3,DiscoveredLabels,2.3999999,22.880005,57.986670000000004,14.32,2.4133332
75,3,Easiness,4.255,24.25,52.0,15.8125,4.4125
75,3,Efficiency,5.28,20.14,52.62,17.49,3.63
75,3,FrequencyRecall,54.0,46.101187,49.78900899999999,50.25,46.0
75,3,Lift,0.8448,0.8609067,1.0057888099999999,1.1044,0.5808000000000001
75,3,OracleLift,0.5808000000000001,0.7817067,1.1003869,1.0252000000000001,0.528
78,1,Recall,9.15,9.8260888,7.3823528,6.027174199999999,8.666661
78,4,DiscoveredLabels,2.3461521,23.179489,57.92309100000001,14.217956,2.3333315999999997
78,4,Easiness,1.7702068,31.204079,55.102041,10.816331600000002,1.6973494
78,4,Efficiency,0.99,30.38,55.91,11.55,0.33
78,4,FrequencyRecall,29.0,31.9198871,32.238148,29.839267,34.0
