Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.45,0.36413058,0.25653589,0.2880435,0.666666
3,3,DiscoveredLabels,2.999997,22.333321,52.333335000000005,17.666653,4.666662
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,2.97,22.12,51.94,17.49,4.62
3,3,FrequencyRecall,9.0,11.166678999999998,12.0769146,13.25,14.0
3,3,Lift,0.7425,0.9216667,0.9988461000000001,1.093125,1.155
3,3,OracleLift,0.7425,1.815,0.2284614,2.248125,1.155
6,1,Recall,0.7,0.8804352,0.51960775,0.47826147999999996,0.8571420999999999
6,4,DiscoveredLabels,2.333338,27.0,52.999998999999995,14.666673000000001,3.000005
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,1.65,31.38,53.27,11.55,1.32
6,4,FrequencyRecall,5.0,4.523806899999999,4.3513526,4.999995,4.0
6,4,Lift,1.1055,1.0011721,0.9646210000000001,1.1054995,0.8844
6,4,OracleLift,1.1055,1.3266008,0.30475968,3.6007698,0.8844
9,1,Recall,0.9,1.26630398,0.8300651600000001,0.64130506,1.0952372
9,5,DiscoveredLabels,1.999998,25.88887,56.444457,13.111098,2.555553
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,1.32,23.44,62.95,9.9,1.65
9,5,FrequencyRecall,1.333332,2.0285709,2.1839101,1.764705,1.25
9,5,Lift,0.6424,0.9777819000000001,1.05640371,0.850236,0.6022500000000001
9,5,OracleLift,0.6424,1.6931811,0.37104130999999996,2.8908024,0.4818
12,1,Recall,1.35,1.5108687799999998,1.13888888,0.94565236,1.1428562
12,6,DiscoveredLabels,2.2500003,23.166672300000002,58.083333,14.5000086,2.0
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,2.97,14.85,62.58,18.48,0.33
12,6,FrequencyRecall,1.285713,0.775863,1.05000028,1.12,0.16666699999999998
12,6,Lift,1.2771,0.770665,1.04647774,1.112496,0.16555
12,6,OracleLift,0.8514,1.9352253000000001,0.36972811,2.244858,0.16555
15,1,Recall,1.6,1.72282474,1.44117786,1.3097816599999998,1.3333323
15,7,DiscoveredLabels,2.1333332,21.1333306,58.799994,16.0666624,1.8666664
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,1.65,12.87,61.24,22.13,1.32
15,7,FrequencyRecall,0.625,0.609375,0.6271187399999999,0.6320751,0.444444
15,7,Lift,0.9941249999999999,0.9692709,1.0005979999999999,1.0062898,0.706932
15,7,OracleLift,0.596475,2.8332534000000003,0.33429532,1.7556648,0.706932
18,1,Recall,2.15,2.0434766,1.73529532,1.54891218,1.6190463
18,6,DiscoveredLabels,2.3888902,20.888890999999997,59.000008,15.8333376,1.8888900000000002
18,6,Easiness,2.3187887000000003,19.31208,59.768437000000006,16.590612,2.0100643
18,6,Efficiency,3.63,19.48,59.59,14.52,1.98
18,6,FrequencyRecall,2.85714,1.7931051,2.05000036,2.0,1.166669
18,6,Lift,1.5687600000000002,1.0077532,0.99683623,0.8750757,0.9834
18,6,OracleLift,0.842916,1.9992972,0.35330937,2.1283089,0.9834
21,1,Recall,2.3,2.44565098,2.02450892,1.76630334,1.9047603999999998
21,5,DiscoveredLabels,2.1904744,21.428551000000002,59.000023,15.4761769,1.9047603999999998
21,5,Easiness,2.069928,23.978997,59.510529999999996,11.67831,2.762235
21,5,Efficiency,0.99,24.43,58.59,13.21,1.98
21,5,FrequencyRecall,2.333331,4.1428587,4.2183922,4.1176455,2.75
21,5,Lift,0.4719,1.0206985,0.9846656699999999,1.1305611999999998,0.70785
21,5,OracleLift,0.3146,1.6946634,0.33829929999999997,3.0489569,0.70785
24,1,Recall,2.6,3.01086938,2.2859466,1.90760782,2.0952364
24,4,DiscoveredLabels,2.1666678,23.0833286,58.291669,14.625003300000001,1.8333343
24,4,Easiness,1.534375,31.328125,55.296875,10.390625,1.54
24,4,Efficiency,1.98,34.38,52.92,8.58,1.32
24,4,FrequencyRecall,11.0,9.4761847,8.6756728,8.714277,8.0
24,4,Lift,1.2671999999999999,1.0993009,0.95657094,0.8196567,0.8448
24,4,OracleLift,1.2671999999999999,1.3790986,0.30382952,3.4435644,0.8448
27,1,Recall,3.3,3.4076085000000003,2.514706,2.26086842,2.4761887
27,3,DiscoveredLabels,2.4444429,23.222199300000003,57.000026,15.4073931,1.9259247
27,3,Easiness,4.2263595,24.227272,51.954555,15.7727344,4.049086999999999
27,3,Efficiency,4.62,24.1,46.27,21.46,2.64
27,3,FrequencyRecall,23.0,23.333334,22.8461317,29.5,22.0
27,3,Lift,1.0164,0.99869,0.88393676,1.3497,0.5808
27,3,OracleLift,1.0164,1.55969,0.26131772000000003,2.6317500000000003,0.5808
30,1,Recall,3.45,3.9673909,2.7826808,2.4021729400000003,2.6666646
30,4,DiscoveredLabels,2.2999987,24.333334,56.766661000000006,14.733333199999999,1.8666656000000001
30,4,Easiness,1.5690126,31.163923,55.393439,10.4754067,1.5881927999999998
30,4,Efficiency,0.99,34.02,54.23,8.58,1.32
30,4,FrequencyRecall,14.0,14.380940599999999,13.108096500000002,12.42856,12.0
30,4,Lift,0.6039,1.09217177,0.9780291699999999,0.8675069000000001,0.8051999999999999
30,4,OracleLift,0.6039,1.4180273399999999,0.33846780000000004,3.3128208,0.6039
33,1,Recall,3.6,4.423913,3.0473863999999997,2.6086947400000002,3.2857119999999997
33,5,DiscoveredLabels,2.1818172,24.6666421,56.515176000000004,14.5454422,2.0909082
33,5,Easiness,2.0928597,23.964271,59.521418999999995,11.642890099999999,2.7785691
33,5,Efficiency,0.99,27.74,53.65,12.55,4.29
33,5,FrequencyRecall,3.33333,6.5428594,6.0804606,6.3529405,6.0
33,5,Lift,0.462,1.159403,0.90117116,1.0665327,1.5785000000000002
33,5,OracleLift,0.308,1.7782794999999998,0.31076777,2.8939864,1.3475
36,1,Recall,4.05,4.7554342,3.3284318,2.89130374,3.5714261
36,6,DiscoveredLabels,2.2500014999999998,24.305555,56.583336,14.777775799999999,2.0833347
36,6,Easiness,2.305084,19.308464,59.766093,16.6102,2.0101714
36,6,Efficiency,2.97,20.14,56.89,17.18,1.98
36,6,FrequencyRecall,4.142853,2.8448290000000003,3.0055549000000004,3.04,2.1666709999999996
36,6,Lift,1.297997,1.0437886,0.95204058,1.0359883,0.9735
36,6,OracleLift,0.417213,2.0023796,0.35376002999999995,2.1856612,0.9735
39,1,Recall,4.3,4.9673909,3.6437912,3.18478236,3.9999976
39,7,DiscoveredLabels,2.2051277,23.435874,57.179513,15.025627,2.1538461
39,7,Easiness,1.6597115,13.279767999999999,61.200413,21.989554,1.8705596
39,7,Efficiency,1.65,12.87,63.91,17.82,2.97
39,7,FrequencyRecall,1.25,1.21875,1.28135667,1.1415088,1.444443
39,7,Lift,1.0443930000000001,0.9695617,1.04437366,0.8099717,1.580697
39,7,OracleLift,0.649217,2.783537,0.36668872999999996,1.6358579,1.405064
42,1,Recall,4.65,5.342390699999999,3.9248369000000003,3.4402171,4.2380929
42,6,DiscoveredLabels,2.2142841,23.404766,57.190489,15.0714332,2.119046
42,6,Easiness,2.2979441000000005,19.297931,59.791084,16.602748000000002,2.0102702000000003
42,6,Efficiency,2.31,22.77,56.91,15.51,1.65
42,6,FrequencyRecall,5.142852,4.0344832,3.9611102,3.98,3.000005
42,6,Lift,1.009485,1.1795698000000001,0.95199176,0.9352107,0.83512
42,6,OracleLift,0.137657,2.1728152,0.35912523999999996,2.030413,0.83512
45,1,Recall,5.05,5.7608699,4.2222217,3.5869564,4.5238067
45,5,DiscoveredLabels,2.2444429,23.555557,57.422222000000005,14.6666645,2.1111097
45,5,Easiness,2.116787,23.875913999999998,59.642331999999996,11.620434,2.7445268
45,5,Efficiency,2.64,25.41,60.26,8.92,1.98
45,5,FrequencyRecall,5.999994,8.7428636,8.1724122,7.941177,7.5
45,5,Lift,1.2056,1.0672074,1.0108637,0.7703595,0.67815
45,5,OracleLift,0.3014,1.7874317,0.31490324000000003,3.0131086999999996,0.67815
48,1,Recall,5.3,6.293478400000001,4.4656861,3.8260866,4.7142826
48,4,DiscoveredLabels,2.2083323999999998,24.124999,56.937496,14.6666765,2.0624991
48,4,Easiness,1.6227604,30.999993,55.431045000000005,10.5689703,1.6372432000000001
48,4,Efficiency,1.65,32.36,49.29,14.52,1.32
48,4,FrequencyRecall,19.0,19.0476014,17.135118300000002,18.714270000000003,16.0
48,4,Lift,0.9570000000000001,1.04559879,0.89210244,1.4195505,0.7656000000000001
48,4,OracleLift,0.9570000000000001,1.4832479800000002,0.24520630000000002,3.5901186000000003,0.5742
51,1,Recall,6.05,6.6521745999999995,4.7320258,4.0380434,5.523806099999999
51,3,DiscoveredLabels,2.3725476,23.999999,56.784313000000004,14.5686338,2.2745081
51,3,Easiness,4.2826332,24.210511999999998,52.789471000000006,14.8521072,4.3252648
51,3,Efficiency,4.95,21.78,53.89,12.87,5.61
51,3,FrequencyRecall,38.0,34.333332,35.384581,39.25,39.0
51,3,Lift,0.9405,0.885115,1.01383427,0.9248249999999999,1.0658999999999998
51,3,OracleLift,0.9405,1.6657299999999997,0.31217977999999996,2.74395,1.0031999999999999
54,1,Recall,6.15,7.163042399999999,5.0032678,4.2282605,5.666663
54,4,DiscoveredLabels,2.2777764,24.407412,56.70371600000001,14.407411999999999,2.2037027
54,4,Easiness,1.6627258,30.909097000000003,55.745455,10.345465999999998,1.6872711999999999
54,4,Efficiency,0.66,31.07,54.93,11.55,0.99
54,4,FrequencyRecall,21.0,23.523786599999998,21.621600100000002,23.714268,19.0
54,4,Lift,0.363,1.00270112,0.98771156,1.0799253,0.5445
54,4,OracleLift,0.363,1.4297072,0.29108512000000003,3.7358754,0.5445
