Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.4,0.38587006,0.26143783,0.23369554,0.857142
3,3,DiscoveredLabels,2.666664,23.66666,53.333337,14.333319000000001,5.999994
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,2.64,23.43,52.91,14.19,5.94
3,3,FrequencyRecall,8.0,11.83334,12.307683500000001,10.75,18.0
3,3,Lift,0.66,0.97625,1.01749985,0.886875,1.485
3,3,OracleLift,2.475,0.9629167,0.7688459000000001,1.051875,2.31
6,1,Recall,0.9,0.89673936,0.53431368,0.37500017999999996,0.9999991
6,4,DiscoveredLabels,3.000003,27.500004,54.500004,11.50001,3.5000059999999995
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,3.3,31.04,55.22,8.58,0.99
6,4,FrequencyRecall,10.0,4.4761878,4.5135151,3.714282,3.0
6,4,Lift,2.211,0.9903246,0.99993222,0.8212282000000001,0.6633
6,4,OracleLift,7.2963,0.9268339,0.7364582,1.1054995,4.6431000000000004
9,1,Recall,1.1,1.1956518,0.8513069900000001,0.58152198,1.4285704
9,5,DiscoveredLabels,2.4444420000000004,24.444423999999998,57.88890000000001,11.888877,3.33333
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,1.32,18.15,64.3,12.54,2.97
9,5,FrequencyRecall,1.333332,1.571428,2.2298873,2.235293,2.25
9,5,Lift,0.6424,0.7571135000000001,1.07905874,1.0769656,1.08405
9,5,OracleLift,2.7302,0.9498333000000001,0.74409762,1.4737424,3.3726
12,1,Recall,1.5,1.5054336000000001,1.1405229300000002,0.85869568,1.7619036
12,6,DiscoveredLabels,2.500001,23.083341,58.16667,13.166672799999999,3.0833345
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,2.64,18.81,58.64,16.84,2.31
12,6,FrequencyRecall,1.142856,0.9827598000000001,0.9833337800000002,1.02,1.166669
12,6,Lift,1.1352,0.9761754,0.98059184,1.013768,1.15885
12,6,OracleLift,3.1218,1.2346204,0.77975819,0.95417,2.81435
15,1,Recall,1.7,1.72282452,1.43954388,1.20108632,2.2380939
15,7,DiscoveredLabels,2.2666649999999997,21.133325799999998,58.733334000000006,14.733326299999998,3.1333313
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,1.32,13.21,60.61,20.79,3.3
15,7,FrequencyRecall,0.5,0.625,0.62033911,0.59433918,1.11111
15,7,Lift,0.7953,0.9948772000000001,0.9903047600000001,0.9453575999999999,1.76733
15,7,OracleLift,4.5729750000000005,1.0189771,0.7453833,1.0958689,4.418325
18,1,Recall,1.95,2.08695474,1.71241874,1.49999868,2.5238079
18,6,DiscoveredLabels,2.1666674,21.3333358,58.222229999999996,15.3333406,2.9444452
18,6,Easiness,2.3221444000000004,19.271808,59.808711,16.607382,1.9899301
18,6,Efficiency,1.65,22.13,55.29,18.16,1.98
18,6,FrequencyRecall,1.857141,2.1379324,1.9111113800000001,2.12,2.16667
18,6,Lift,0.70243,1.1508319,0.9248316599999999,1.0940768,1.0161799999999999
18,6,OracleLift,2.809719,1.1642382,0.70131243,1.1705472000000001,4.326960000000001
21,1,Recall,2.35,2.40217208,2.0228755,1.71195538,2.7619032
21,5,DiscoveredLabels,2.2380936,21.0475988,58.952403000000004,14.999987,2.7619032
21,5,Easiness,2.069928,24.090885,59.482558,11.622366,2.7342630000000003
21,5,Efficiency,2.64,19.15,62.96,12.87,1.65
21,5,FrequencyRecall,3.999996,3.2285725,4.4137945,4.5294105,3.5
21,5,Lift,1.2584,0.7968708999999999,1.05837044,1.1056097,0.5898749999999999
21,5,OracleLift,4.640350000000001,0.825039,0.82273,1.3884026,1.6516499999999998
24,1,Recall,2.5,2.9565211,2.2892151000000003,1.8423899,3.1428551999999996
24,4,DiscoveredLabels,2.0833342999999998,22.666666799999998,58.374996,14.1250025,2.7500006999999997
24,4,Easiness,1.50625,31.34375,55.203125,10.53125,1.545625
24,4,Efficiency,0.99,33.69,53.92,7.92,2.64
24,4,FrequencyRecall,13.0,9.3333275,8.9189155,7.142849999999999,11.0
24,4,Lift,0.6335999999999999,1.0826513,0.97786434,0.7391996000000001,1.6896
24,4,OracleLift,4.3692,1.166695,0.7619063,0.794514,3.8016
27,1,Recall,3.05,3.3586953,2.545752,2.11956416,3.4761884
27,3,DiscoveredLabels,2.2592581,22.8888662,57.703729,14.4444316,2.7037024
27,3,Easiness,4.261814,24.045448999999998,51.818191999999996,16.227278,3.907269
27,3,Efficiency,3.63,24.42,51.92,16.83,2.31
27,3,FrequencyRecall,19.0,24.166666,24.384591399999998,23.5,25.0
27,3,Lift,0.7986,1.00309,1.00039284,1.03455,0.5082
27,3,OracleLift,1.9272,1.1825733999999999,0.7297787200000001,1.05325,2.2572
30,1,Recall,3.25,3.9293478,2.7990206,2.30978174,3.5238074999999998
30,4,DiscoveredLabels,2.1666659,24.100003700000002,57.1,14.1666651,2.466666
30,4,Easiness,1.5562258,31.213104,55.2459,10.655733600000001,1.5690126
30,4,Efficiency,1.32,34.73,51.32,11.55,0.33
30,4,FrequencyRecall,17.0,14.3333215,13.1080967,12.142845,12.0
30,4,Lift,0.8051999999999999,1.11764667,0.9299999800000001,1.0659307,0.20129999999999998
30,4,OracleLift,3.2769,1.14714198,0.7129020799999999,1.3678806000000001,2.7456
33,1,Recall,3.45,4.3749998,3.0800664,2.4728251599999997,4.0952355
33,5,DiscoveredLabels,2.0909087,24.393915200000002,57.121237,13.7878677,2.6060600999999997
33,5,Easiness,2.0571452000000003,24.192844,59.399988,11.592889,2.7571407
33,5,Efficiency,1.32,27.09,56.97,9.9,3.96
33,5,FrequencyRecall,5.333329,5.5714318,6.390804500000001,6.294118999999999,6.5
33,5,Lift,0.616,1.119208,0.9604648899999999,0.868515,1.4245
33,5,OracleLift,4.466,0.9678179,0.6618070500000001,1.5392078,3.3110000000000004
36,1,Recall,4.1,4.6902175,3.3807191,2.65760768,4.6190445
36,6,DiscoveredLabels,2.2777792,23.972218299999998,57.472225,13.583336099999999,2.6944457999999996
36,6,Easiness,2.3288126,19.240674000000002,59.850847,16.58986,1.9898325
36,6,Efficiency,4.29,19.14,61.0,11.22,3.63
36,6,FrequencyRecall,3.714282,3.1379321,2.933333,2.8,4.000006
36,6,Lift,1.8542830000000001,0.992632,1.01881545,0.6737205,1.8172000000000004
36,6,OracleLift,4.519814,1.1127433,0.7907506200000001,0.8533874,2.82315
39,1,Recall,4.25,4.9456518,3.6666665,3.0489127000000003,4.7619016
39,7,DiscoveredLabels,2.1794872,23.3333101,57.538491,14.384602399999999,2.5641024
39,7,Easiness,1.6617992000000001,13.277681,61.204592000000005,21.997904,1.8580340000000002
39,7,Efficiency,0.99,15.51,57.94,23.77,0.99
39,7,FrequencyRecall,0.875,1.359375,1.21355981,1.27358404,1.444443
