Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.75,0.39673941999999995,0.25816995,0.2336957,0.523809
3,3,DiscoveredLabels,4.999995,24.333321,52.666661000000005,14.333323,3.6666630000000002
3,3,Easiness,1.0,1.0,1.0,1.0,100.0
3,3,Efficiency,4.95,24.09,52.32,14.19,3.63
3,3,FrequencyRecall,,,,,0.44
3,3,Lift,4.95,24.09,52.32,14.19,0.036300000000000006
3,3,OracleLift,4.95,24.09,52.32,14.19,0.036300000000000006
6,1,Recall,0.95,0.92391368,0.52614374,0.40760902,0.666666
6,4,DiscoveredLabels,3.1666729999999994,28.333329,53.66667,12.500008000000001,2.333338
6,4,Easiness,1.0,1.0,4.47761,1.49254,94.0299
6,4,Efficiency,1.32,32.04,54.25,10.56,0.99
6,4,FrequencyRecall,,,54.66667,32.0,0.047618999999999995
6,4,Lift,1.32,32.04,12.115829000000002,7.0752,0.01052856
6,4,OracleLift,1.32,32.04,12.115829000000002,7.0752,0.01052856
9,1,Recall,1.15,1.3423908599999999,0.8022873800000001,0.6141307,1.2380942
9,5,DiscoveredLabels,2.555553,27.444423999999998,54.555564000000004,12.555543,2.888886
9,5,Easiness,1.0,1.0,2.73973,0.684932,96.57530000000001
9,5,Efficiency,1.32,25.43,55.93,12.54,3.96
9,5,FrequencyRecall,,,42.25,38.0,0.08510639999999998
9,5,Lift,1.32,25.43,20.41445,18.3084,0.041004240000000004
9,5,OracleLift,1.32,25.43,20.41445,18.3084,0.041004240000000004
12,1,Recall,1.55,1.59782502,1.09313741,0.95652154,1.4285702
12,6,DiscoveredLabels,2.5833335,24.5000067,55.749998000000005,14.6666749,2.4999998
12,6,Easiness,1.0,1.0,2.32558,1.3289,96.34549999999999
12,6,Efficiency,2.64,15.51,58.93,20.79,1.32
12,6,FrequencyRecall,,,25.428546,15.75,0.01379312
12,6,Lift,2.64,15.51,25.339899999999997,15.644475,0.01370068
12,6,OracleLift,2.64,15.51,25.339899999999997,15.644475,0.01370068
15,1,Recall,1.95,1.8478249399999997,1.39052412,1.2771735,1.6666653
15,7,DiscoveredLabels,2.5999997,22.6666626,56.733329000000005,15.6666605,2.3333333
15,7,Easiness,1.0,1.0,2.6971,1.45228,95.8506
15,7,Efficiency,2.64,15.18,60.31,19.49,1.65
15,7,FrequencyRecall,,,13.9999889,8.428563,0.010822499999999999
15,7,Lift,2.64,15.18,22.361103000000004,13.420269000000001,0.0172143
15,7,OracleLift,2.64,15.18,22.361103000000004,13.420269000000001,0.0172143
18,1,Recall,2.05,2.20108576,1.66830118,1.55978152,2.1904743
18,6,DiscoveredLabels,2.2777787999999997,22.5000002,56.722229999999996,15.9444434,2.5555572
18,6,Easiness,1.0,1.0,2.3221444000000004,1.3255015,96.352328
18,6,Efficiency,0.66,21.46,56.29,17.17,3.63
18,6,FrequencyRecall,,,25.42855,14.25,1.0275839500000001
18,6,Lift,0.66,21.46,24.317497,12.873600000000001,0.03766748
18,6,OracleLift,0.66,21.46,24.317497,12.873600000000001,0.03766748
21,1,Recall,2.35,2.61412948,1.965686,1.72282452,2.4761887
21,5,DiscoveredLabels,2.2380937999999997,22.9047398,57.285733,15.0952249,2.4761887
21,5,Easiness,1.0,1.0,2.7342630000000003,0.7023079899999999,96.57343
21,5,Efficiency,1.98,25.08,60.24,9.9,1.98
21,5,FrequencyRecall,,,47.75,31.0,2.0992912
21,5,Lift,1.98,25.08,22.485559,14.0151,0.02049281
