Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,4.0000002,1.2352933,0.20202012,0.17647054,0.0
3,3,DiscoveredLabels,17.333321,49.0,26.666652,6.999994,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,17.16,48.6,26.41,6.93,0.0
3,3,FrequencyRecall,13.0,14.7,11.42856,10.5,0.0
3,3,Lift,0.9867,1.1178,0.8677593,0.7969499999999999,0.0
3,3,OracleLift,0.9867,1.1178,0.8677593,0.7969499999999999,0.0
6,1,Recall,5.0769225,2.15966302,0.54545479,0.470588,0.357143
6,4,DiscoveredLabels,11.000012,42.833328,35.999994,9.33334,0.8333349999999998
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,4.62,36.35,44.94,11.55,1.65
6,4,FrequencyRecall,4.666663000000001,5.7894727999999995,5.44,5.833340999999999,5.0
6,4,Lift,0.8316000000000001,1.03310575,0.9707039999999999,1.0395,0.8909999999999999
6,4,OracleLift,0.8316000000000001,1.03310575,0.9707039999999999,1.0395,0.8909999999999999
9,1,Recall,5.8461528,2.6638646599999998,0.9924245,0.88235242,0.6428574
9,5,DiscoveredLabels,8.444436000000001,35.222201,43.666653000000004,11.666655,0.999999
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,3.3,19.8,58.6,16.17,1.32
9,5,FrequencyRecall,3.33333,2.6086969,2.765625,2.7222234,4.0
9,5,Lift,1.199,0.9383471,0.9980291800000001,0.9791821999999999,1.4387999999999999
9,5,OracleLift,1.199,0.9383471,0.9980291800000001,0.9791821999999999,1.4387999999999999
12,1,Recall,5.9999989000000005,3.0924361599999997,1.45707162,1.33613386,1.2857146
12,6,DiscoveredLabels,6.5000017,30.6666698,48.083331,13.2500068,1.4999997999999999
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.66,16.84,60.99,17.84,2.97
12,6,FrequencyRecall,2.0,1.5000008,1.6140368699999998,1.5000010000000001,1.8
12,6,Lift,1.254,0.9410599999999999,1.0165009,0.9415564000000001,1.1285999999999998
12,6,OracleLift,1.254,0.9410599999999999,1.0165009,0.9415564000000001,1.1285999999999998
15,1,Recall,6.230768,3.34453694,1.9292934,1.9327723399999999,1.9285716
