Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,3.2307694,1.15125972,0.22979801000000002,0.25210074,0.0
3,3,DiscoveredLabels,13.99999,45.666665,30.333329000000003,9.999993,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,13.86,45.28,30.03,9.9,0.0
3,3,FrequencyRecall,10.5,13.7,12.999987,15.0,0.0
3,3,Lift,0.7969499999999999,1.0414400000000001,0.9867013,1.1384999999999998,0.0
3,3,OracleLift,0.6831,0.90321,0.3144441,4.4022,0.0
6,1,Recall,4.0769224,2.07562974,0.57575774,0.5714282,0.2857144
6,4,DiscoveredLabels,8.833342,41.166665,37.999999,11.333338,0.6666679999999999
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,3.63,36.34,45.31,12.54,1.32
6,4,FrequencyRecall,3.6666630000000002,5.7894714,5.48,6.333342,4.0
6,4,Lift,0.6534,1.0328215,0.978696,1.1286,0.7128
6,4,OracleLift,0.5940000000000001,1.26615825,0.31363199999999997,3.2373000000000003,0.3564
9,1,Recall,4.6923068,2.5042008,1.02525324,1.0840331,0.42857119999999993
9,5,DiscoveredLabels,6.777771,33.111091,45.111104999999995,14.333319000000001,0.666666
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,2.64,16.83,58.93,20.13,0.66
9,5,FrequencyRecall,2.666664,2.2173926,2.78125,3.3888894,2.0
9,5,Lift,0.9592,0.7975947999999999,1.00364943,1.2189824,0.7193999999999999
9,5,OracleLift,0.9592,1.6264676,0.35969977999999997,2.4779316,0.0
12,1,Recall,4.9230759,2.90756192,1.5025261399999998,1.47899066,1.3571428
12,6,DiscoveredLabels,5.3333357,28.8333331,49.58333400000001,14.666670799999999,1.5833339000000002
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.99,15.85,62.58,15.51,4.29
12,6,FrequencyRecall,3.0,1.4117657,1.65789702,1.3055565999999998,2.6
12,6,Lift,1.8810000000000002,0.8857364,1.0430007000000001,0.8185842999999999,1.6301999999999999
12,6,OracleLift,1.8810000000000002,2.028532,0.39050000000000007,1.8113356000000003,1.5048
15,1,Recall,4.999999,3.2436963800000003,1.977273,1.9915957800000001,2.0714292
15,7,DiscoveredLabels,4.333331,25.733336599999998,52.199999,15.7999911,1.9333334
15,7,Easiness,0.701754,11.5789,65.2632,20.0,2.45614
15,7,Efficiency,0.33,13.2,62.33,20.14,3.3
15,7,FrequencyRecall,0.5,1.2121205000000002,1.01075204,1.0701768,1.42857
