Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,3.9999990000000003,1.12604974,0.22979799,0.19327725999999998,0.0
3,3,DiscoveredLabels,17.333327,44.666665,30.333327000000004,7.66666,0.0
3,3,Easiness,1.0,1.0,1.0,1.0,100.0
3,3,Efficiency,17.16,44.31,30.05,7.59,0.0
3,3,FrequencyRecall,,,,,0.0
3,3,Lift,17.16,44.31,30.05,7.59,0.0
3,3,OracleLift,17.16,44.31,30.05,7.59,0.0
6,1,Recall,5.307690099999999,2.18487318,0.53535387,0.47058802,0.2142858
6,4,DiscoveredLabels,11.500003999999999,43.333335,35.333327,9.333340999999999,0.5000009999999999
6,4,Easiness,1.0,1.0,1.0,1.0,100.0
6,4,Efficiency,5.61,41.67,40.01,10.89,0.99
6,4,FrequencyRecall,,,,,0.0555555
6,4,Lift,5.61,41.67,40.01,10.89,0.009899999999999999
6,4,OracleLift,5.61,41.67,40.01,10.89,0.009899999999999999
9,1,Recall,5.923074000000001,2.69747844,1.01010206,0.81512584,0.357143
9,5,DiscoveredLabels,8.555547,35.666652,44.444441,10.777767,0.555555
9,5,Easiness,1.0,2.75229,1.0,1.0,97.24769999999998
9,5,Efficiency,2.64,20.14,62.3,13.53,0.66
9,5,FrequencyRecall,,20.333325000000002,,,0.01886792
9,5,Lift,2.64,7.317533,62.3,13.53,0.006786799999999999
9,5,OracleLift,2.64,7.317533,62.3,12.54,0.016967
12,1,Recall,6.3076891,3.1512595,1.44192027,1.3445372,0.8571432
12,6,DiscoveredLabels,6.8333393000000004,31.250000500000002,47.583326299999996,13.3333395,0.9999996
12,6,Easiness,1.0,3.6842100000000007,0.526316,1.0,95.7895
12,6,Efficiency,1.65,17.82,56.62,20.8,2.31
12,6,FrequencyRecall,,7.714278,171.0,,0.03846157
12,6,Lift,1.65,4.836857800000001,107.57800000000002,20.8,0.02411535
12,6,OracleLift,1.65,4.6577150000000005,107.57800000000002,20.8,0.03100545
15,1,Recall,6.615381,3.49579724,1.9040412699999998,1.8487390199999998,1.7142857999999999
15,7,DiscoveredLabels,5.733326999999999,27.7333358,50.266669,14.6666589,1.5999995999999999
15,7,Easiness,1.0,0.350877,0.350877,1.05263,98.2456
15,7,Efficiency,1.32,13.53,60.62,19.81,3.96
15,7,FrequencyRecall,,41.0,183.0,19.999993000000003,0.04285716
15,7,Lift,1.32,38.5605,172.767,18.8195,0.04030716
15,7,OracleLift,1.32,34.7985,170.8575,18.8195,0.06046074
18,1,Recall,6.769227,3.9159654,2.34090966,2.3529404,2.7857146
18,6,DiscoveredLabels,4.888889,25.88889,51.499996,15.555561,2.1666676000000002
18,6,Easiness,1.0,3.6738012,0.54871623,1.0,95.807467
18,6,Efficiency,0.66,16.5,57.26,19.81,4.95
18,6,FrequencyRecall,,8.999991,176.0,,1.64285551
18,6,Lift,0.66,4.4813184999999995,105.3449,19.81,0.05167402
18,6,OracleLift,0.66,4.3050043,105.3449,19.81,0.058569
21,1,Recall,7.9230723,4.45378122,2.7626256000000002,2.7899148400000002,2.9285718
21,5,DiscoveredLabels,4.9047596,25.2380704,52.095240000000004,15.809510399999999,1.9523795
21,5,Easiness,1.0,2.78302,1.0,1.0,97.21697
21,5,Efficiency,4.95,21.12,55.3,17.16,0.66
21,5,FrequencyRecall,,22.999992000000002,,,2.8018878000000003
21,5,Lift,4.95,7.7539,55.3,17.16,0.006792240000000001
21,5,OracleLift,4.95,7.7539,55.3,16.83,0.01018836
24,1,Recall,9.7692247,5.2773109,3.1186860000000003,3.0588222000000003,3.2857138
24,4,DiscoveredLabels,5.2916669,26.1666683,51.458333,15.1666701,1.9166676999999999
24,4,Easiness,1.0,1.0,1.0,1.0,100.0
24,4,Efficiency,7.92,32.38,46.65,10.56,1.65
24,4,FrequencyRecall,,,,,5.6481525
24,4,Lift,7.92,32.38,46.65,10.56,0.0165
24,4,OracleLift,7.92,32.38,46.65,10.56,0.0165
27,1,Recall,13.999988499999999,6.3109243,3.35606,3.29411664,3.2857138
27,3,DiscoveredLabels,6.7407372,27.814787000000003,49.222217,14.5185057,1.7037027
27,3,Easiness,1.0,1.0,1.0,1.0,100.0
27,3,Efficiency,18.15,40.64,31.04,9.24,0.0
27,3,FrequencyRecall,,,,,13.0435
27,3,Lift,18.15,40.64,31.04,9.24,0.0
27,3,OracleLift,18.15,40.64,31.04,9.24,0.0
30,1,Recall,15.2307565,7.168065799999999,3.7196956,3.56302408,3.7142858000000003
30,4,DiscoveredLabels,6.5999958,28.433332999999998,49.099996000000004,14.13333,1.7333321000000002
30,4,Easiness,1.0,1.0,1.0,1.0,100.0
30,4,Efficiency,5.28,33.7,47.6,10.56,1.98
30,4,FrequencyRecall,,,,,11.222214000000001
30,4,Lift,5.28,33.7,47.6,10.56,0.019799999999999998
30,4,OracleLift,5.28,33.7,47.6,10.56,0.019799999999999998
33,1,Recall,15.7692176,7.6722671,4.186867899999999,3.95798308,3.7857144
33,5,DiscoveredLabels,6.2121201,27.6666391,50.242427,14.2727157,1.6060596999999999
33,5,Easiness,1.0,2.7669895,1.0,1.0,97.233035
33,5,Efficiency,2.31,19.8,61.31,15.52,0.33
33,5,FrequencyRecall,,24.999992000000002,,,5.5283039
33,5,Lift,2.31,7.3645000000000005,61.31,15.52,0.0033989999999999997
33,5,OracleLift,2.31,7.3645000000000005,61.31,14.19,0.016995
36,1,Recall,15.846140700000001,8.1680645,4.6237376,4.445378160000001,4.4285714
36,6,DiscoveredLabels,5.722222299999999,26.999998,50.86111700000001,14.6944459,1.7222233
36,6,Easiness,1.0,3.695654,0.5617388799999999,1.0,95.78263799999999
36,6,Efficiency,0.33,19.47,57.29,19.15,2.97
36,6,FrequencyRecall,,11.285703000000002,177.0,,3.2142825
36,6,Lift,0.33,5.282643899999999,103.742,19.15,0.03099153
36,6,OracleLift,0.33,5.1091579,103.742,19.15,0.03787204
39,1,Recall,15.9999867,8.5041976,5.1085864,4.93277256,4.9999998
39,7,DiscoveredLabels,5.333333,25.948693,51.871806,15.0512684,1.7948713
39,7,Easiness,1.0,0.35461,0.37397169999999996,1.0496456,98.251822
39,7,Efficiency,0.66,13.21,63.65,19.15,2.64
39,7,FrequencyRecall,,40.0,195.0,20.666653,1.07500116
39,7,Lift,0.66,37.2522,175.8712,18.471,0.02686446
39,7,OracleLift,0.66,35.391,175.8712,18.471,0.033583600000000005
42,1,Recall,15.9999867,8.9327717,5.5631322999999995,5.445377959999999,5.5714276
42,6,DiscoveredLabels,4.952380799999999,25.309524099999997,52.45238500000001,15.4285815,1.8571412999999999
42,6,Easiness,1.0,3.6685068999999997,0.57038656,1.0,95.8011
42,6,Efficiency,0.0,16.84,59.58,20.13,2.64
42,6,FrequencyRecall,0.0,12.42856,184.0,,4.7692327
42,6,Lift,0.0,4.6875558,106.5033,20.13,0.027541660000000003
42,6,OracleLift,0.0,4.2324702,106.5033,20.13,0.044745360000000005
45,1,Recall,16.6153704,9.5041995,5.9646478,5.991595159999999,5.5714276
45,5,DiscoveredLabels,4.7999986,25.133331,52.48889,15.844454599999999,1.7333319
45,5,Easiness,1.0,2.8,1.0,1.0,97.2
45,5,Efficiency,2.64,22.44,52.62,21.45,0.0
45,5,FrequencyRecall,,29.333329000000003,,,8.30189
45,5,Lift,2.64,8.305,52.62,21.45,0.0
45,5,OracleLift,2.64,8.305,52.62,19.8,0.0170103
48,1,Recall,18.1538303,10.4117605,6.3409104,6.15966156,5.7857132
48,4,DiscoveredLabels,4.9166687,25.812502,52.312505,15.2708303,1.6874993
48,4,Easiness,1.0,1.0,1.0,1.0,100.0
48,4,Efficiency,6.6,35.65,49.29,6.6,0.99
48,4,FrequencyRecall,,,,,16.722254
48,4,Lift,6.6,35.65,49.29,6.6,0.009899999999999999
48,4,OracleLift,6.6,35.65,49.29,6.6,0.009899999999999999
51,1,Recall,21.9999791,11.6302524,6.5530312,6.3361326,5.7857132
51,3,DiscoveredLabels,5.6078427,27.137247000000002,50.882349999999995,14.7843184,1.5882338999999999
51,3,Easiness,1.0,1.0,1.0,1.0,100.0
51,3,Efficiency,16.5,47.95,27.73,6.93,0.0
51,3,FrequencyRecall,,,,,26.087
51,3,Lift,16.5,47.95,27.73,6.93,0.0
51,3,OracleLift,16.5,47.95,27.73,6.93,0.0
54,1,Recall,23.4615168,12.462187799999999,6.924243199999999,6.5882343,6.1428557999999995
54,4,DiscoveredLabels,5.6481486,27.462963,50.77777699999999,14.5185264,1.5925913
54,4,Easiness,1.0,1.0,1.0,1.0,100.0
54,4,Efficiency,6.27,32.7,48.61,9.9,1.65
54,4,FrequencyRecall,,,,,22.314795
54,4,Lift,6.27,32.7,48.61,9.9,0.0165
54,4,OracleLift,6.27,32.7,48.61,9.9,0.0165
57,1,Recall,23.8461318,13.0000012,7.3611111000000005,7.058823599999999,6.2857128
57,5,DiscoveredLabels,5.4385955,27.140342999999998,51.140352,14.7368471,1.5438608
57,5,Easiness,1.0,2.8659776,1.0,1.0,97.133998
57,5,Efficiency,1.65,21.12,57.27,18.48,0.66
57,5,FrequencyRecall,,28.666661000000005,,,11.13212
57,5,Lift,1.65,7.7890999999999995,57.27,18.48,0.00681064
57,5,OracleLift,1.65,7.7890999999999995,57.27,17.16,0.02043192
60,1,Recall,23.9230548,13.403364,7.810605400000001,7.6470583,6.499999
60,6,DiscoveredLabels,5.1833336,26.583335,51.550003,15.166665499999999,1.5166674
60,6,Easiness,1.0,3.6797738000000004,0.5837081,1.0,95.78649999999999
60,6,Efficiency,0.33,15.84,58.98,23.12,0.99
60,6,FrequencyRecall,,13.285703000000002,183.0,,6.3351685
60,6,Lift,0.33,4.3439657,103.18260000000001,23.12,0.010325470000000002
60,6,OracleLift,0.33,4.2460657,103.18260000000001,23.12,0.01376056
63,1,Recall,24.230746800000002,13.663867,8.330807499999999,8.1008399,6.857141400000001
