Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.01315788,0.008752728000000001,0.00328479,0.011285023,0.6918035900000001
3,3,DiscoveredLabels,1.333332,7.999992,9.99999,10.333323,70.333363
3,3,Easiness,3.1551600000000004,18.2442,59.7996,16.4439,2.35709
3,3,Efficiency,1.32,7.92,9.9,10.23,69.74
3,3,FrequencyRecall,0.0235294,0.02441496,0.026062194,0.03949581,1.6767930000000002
3,3,Lift,0.41836399999999996,0.4341096,0.1655532,0.6221142,29.587305999999998
3,3,OracleLift,0.41836399999999996,0.3979338,0.40318068,0.5819778,24.110217
6,1,Recall,0.3124997,0.013129094000000001,0.010511328,0.027302489,0.97704978
6,4,DiscoveredLabels,15.833359999999997,6.00001,16.000008,12.500008000000001,49.666661999999995
6,4,Easiness,1.37864,17.2451,60.7812,18.7084,1.88656
6,4,Efficiency,30.03,3.96,21.78,14.53,28.71
6,4,FrequencyRecall,0.79824575,0.011218227999999998,0.021684178,0.039419855,0.58941724
6,4,Lift,21.782306,0.22962960000000002,0.35833446,0.7766549,15.218126999999999
6,4,OracleLift,15.798155999999999,0.287037,0.49949618,0.8824895,13.468917000000001
9,1,Recall,0.31907865999999996,0.019328948000000002,0.037227619999999996,0.038587521,0.99672178
9,5,DiscoveredLabels,10.777767,5.888883000000001,37.777755,11.777766000000002,33.77775
9,5,Easiness,1.30378,20.730100000000004,56.3885,20.1434,1.4341599999999999
9,5,Efficiency,0.66,5.61,81.05,10.23,1.98
9,5,FrequencyRecall,0.1,0.10673093,0.30625040000000003,0.10354951,1.7035583
9,5,Lift,0.50622,0.2706213,1.4373485499999998,0.5078575,1.3806
9,5,OracleLift,0.50622,0.5094046,1.1638886499999999,0.47509250000000003,8.9739
12,1,Recall,0.31907865999999996,0.029175777000000003,0.054199035,0.08154345299999999,0.99672178
12,6,DiscoveredLabels,8.0833329,6.6666707999999995,41.250006000000006,18.6666785,25.333337999999998
12,6,Easiness,1.0,37.5,50.0,12.5,1.0
12,6,Efficiency,0.0,8.91,51.15,38.94,0.0
12,6,FrequencyRecall,0.0,2.1583341,8.6525956,23.7,22.0
12,6,Lift,0.0,0.2376,1.023,3.1152,0.0
12,6,OracleLift,0.0,0.2464,1.0164,2.5344,7.26
15,1,Recall,0.31907865999999996,0.032093344,0.066571744,0.146705353,0.99672178
15,5,DiscoveredLabels,6.4666671,5.8666639,40.533339999999995,26.866671999999998,20.266662
15,5,Easiness,1.3050336000000002,20.759599,56.339668,20.162657,1.4330508
15,5,Efficiency,0.0,2.64,37.3,59.26,0.0
15,5,FrequencyRecall,0.1,0.08487602000000001,0.43110462,0.70200447,1.9930839
15,5,Lift,0.0,0.1272522,0.6621608400000001,2.9395128999999995,0.0
15,5,OracleLift,0.0,0.1113645,0.6328618600000001,2.3775622999999997,9.229744
18,1,Recall,0.32565762,0.035740318,0.080258363,0.176192065,1.26557331
18,4,DiscoveredLabels,5.5000026,5.4444463999999995,40.722219,26.888887,21.444459000000002
18,4,Easiness,1.3681378000000002,17.249948,60.795314,18.709875999999998,1.8767230000000001
18,4,Efficiency,0.66,3.3,41.4,26.82,27.08
18,4,FrequencyRecall,0.81578969,0.016128042,0.039593037,0.097577274,1.2602905299999998
18,4,Lift,0.48279200000000005,0.19128900000000001,0.6809655600000001,1.4335628,14.429136000000002
18,4,OracleLift,0.48279200000000005,0.19128900000000001,0.60382122,1.4666888,16.544444000000002
21,1,Recall,0.34539445999999996,0.043398949,0.087156425,0.186020991,1.86557156
21,3,DiscoveredLabels,4.9999958,5.6666624,37.904731999999996,24.3333093,27.0952115
21,3,Easiness,3.1561772,18.249936,59.82732,16.447333999999998,2.3192173
21,3,Efficiency,1.98,6.93,20.79,8.91,60.51
21,3,FrequencyRecall,0.0588235,0.05186948,0.045610916,0.07785404,3.1557601
21,3,Lift,0.627811,0.3797074,0.34750036,0.5417206,26.091852
21,3,OracleLift,0.627811,0.34355179999999996,0.57415214,0.5217542,20.677285
24,1,Recall,0.35197342,0.049234122000000005,0.097667717,0.210775361,2.25245819
24,4,DiscoveredLabels,4.4583356,5.6250032,37.166668,24.1249959,28.625000500000002
24,4,Easiness,1.3683869999999998,17.255038,60.802289,18.706875,1.8674810000000002
24,4,Efficiency,0.66,5.28,31.74,22.47,39.01
24,4,FrequencyRecall,0.83333363,0.030850106,0.05789823699999999,0.13636996099999998,1.99734926
24,4,Lift,0.482618,0.3060044,0.5220502,1.2015531,20.963096
24,4,OracleLift,0.0,0.32513980000000003,0.46184294000000004,1.1997988000000002,23.060088999999998
27,1,Recall,0.35197342,0.056892774,0.105003784,0.28540218,2.27540909
27,5,DiscoveredLabels,3.96296,5.7777745000000005,35.518487,29.03701,25.703678500000002
27,5,Easiness,1.3075912,20.795146999999996,56.376312,20.085085,1.4358635999999998
27,5,Efficiency,0.0,6.93,22.15,67.93,2.31
27,5,FrequencyRecall,0.1,0.16028857999999999,0.49937281999999994,1.39086502,2.2173918
27,5,Lift,0.0,0.3334386,0.39294283999999996,3.3828199,1.6262280000000002
27,5,OracleLift,0.0,0.3334386,0.35198847,2.9023993000000003,9.877428000000002
30,1,Recall,0.35197342,0.06783370300000001,0.11869045699999999,0.33818702,2.27540909
30,6,DiscoveredLabels,3.5666644,6.2000001,36.133333,30.966665,23.1333335
30,6,Easiness,1.0,39.810771,49.86486,10.324315799999999,1.0
30,6,Efficiency,0.0,9.9,41.27,47.85,0.0
