Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.04276311,0.006564546,0.003394283,0.010556957,0.6852462100000001
3,3,DiscoveredLabels,4.333329,5.999994,10.333323,9.666657,69.666697
3,3,Easiness,3.1551600000000004,18.2442,59.7996,16.4439,2.35709
3,3,Efficiency,4.29,5.94,10.23,9.57,69.06
3,3,FrequencyRecall,0.07647054999999998,0.01831122,0.009621346000000001,0.03273143,1.6456659999999999
3,3,Lift,1.359683,0.3255822,0.17107164,0.5819778,29.298813999999997
3,3,OracleLift,1.359683,1.5736472999999997,0.0,0.0,28.0006
6,1,Recall,0.39144712,0.009846821,0.007336031000000001,0.027666522000000002,1.01967303
6,4,DiscoveredLabels,19.833354,4.500007,11.166677,12.666678,51.833337
6,4,Easiness,1.37864,17.2451,60.7812,18.7084,1.88656
6,4,Efficiency,34.98,2.97,11.88,15.51,33.66
6,4,FrequencyRecall,0.92982482,0.006311358,0.007162740000000001,0.030381364,0.65384648
6,4,Lift,25.372795999999997,0.1722222,0.19545516000000002,0.8290377000000001,17.841942000000003
6,4,OracleLift,3.59049,1.7987652,0.0,1.7991882000000001,15.567969
9,1,Recall,0.39144712,0.015317279,0.035475732,0.03785946,1.01967303
9,5,DiscoveredLabels,13.222209,4.666662,35.999972,11.555544,34.555521000000006
9,5,Easiness,1.30378,20.730100000000004,56.3885,20.1434,1.4341599999999999
9,5,Efficiency,0.0,4.95,85.38,9.24,0.0
9,5,FrequencyRecall,0.0,0.047169749999999996,0.29710999,0.090615,0.0
9,5,Lift,0.0,0.2387835,1.5141371999999997,0.45871,0.0
9,5,OracleLift,0.0,1.59189,0.561816,1.7037799999999999,0.0
12,1,Recall,0.39144712,0.025528801,0.057155345999999996,0.064797925,1.01967303
12,6,DiscoveredLabels,9.9166703,5.8333359,43.500003,14.8333412,25.916663
12,6,Easiness,1.0,37.5,50.0,12.5,1.0
12,6,Efficiency,0.0,9.24,65.61,24.42,0.0
12,6,FrequencyRecall,0.0,1.8666676000000002,9.9,14.8,0.0
12,6,Lift,0.0,0.2464,1.3122,1.9536000000000002,0.0
12,6,OracleLift,0.0,0.88,0.4092,3.6431999999999998,0.0
15,1,Recall,0.40131554,0.03537563,0.081024817,0.08372766699999999,1.01967303
15,5,DiscoveredLabels,8.133329999999999,6.466659999999999,49.333329000000006,15.3333234,20.733337000000002
15,5,Easiness,1.30634,20.760905,56.331179,20.164616000000002,1.43697
15,5,Efficiency,0.99,8.91,72.29,17.16,0.0
15,5,FrequencyRecall,0.15,0.13207533999999999,0.54913325,0.25889987,0.0
15,5,Lift,0.7578450000000001,0.4291687,1.2832682199999998,0.8504915,0.0
15,5,OracleLift,0.7578450000000001,1.5418599,0.46275846000000004,1.9798972999999997,0.0
18,1,Recall,0.43421029,0.041210795,0.08551401800000001,0.10556966300000001,1.58688246
18,4,DiscoveredLabels,7.333337,6.277776,43.388878000000005,16.111123199999998,26.888901
18,4,Easiness,1.366324,17.250311,60.798944,18.709513,1.874908
18,4,Efficiency,3.3,5.28,13.53,19.8,57.13
18,4,FrequencyRecall,1.01754445,0.01753155,0.015320321000000001,0.069166004,1.76282254
18,4,Lift,2.413961,0.3060624,0.22253822000000004,1.058304,30.470334
18,4,OracleLift,2.413961,1.8556238999999999,0.0,0.634971,27.632088000000003
21,1,Recall,0.48355241,0.04668124900000001,0.09066020200000001,0.116854689,2.21639186
21,3,DiscoveredLabels,6.999994500000001,6.0952355,39.428542,15.2857015,32.190444
21,3,Easiness,3.1545058999999998,18.251052,59.82713400000001,16.447705999999997,2.3195887
21,3,Efficiency,4.95,4.95,15.51,10.23,63.48
21,3,FrequencyRecall,0.16470579999999999,0.03357062,0.02420855,0.0677202,3.1574828999999998
21,3,Lift,1.5704580000000001,0.271259,0.2592529,0.6219939999999999,27.36789
21,3,OracleLift,1.361394,1.6815482,0.02206144,0.2006608,25.607864
24,1,Recall,0.49342084999999997,0.050692924,0.097448763,0.150345745,2.6491803400000005
24,4,DiscoveredLabels,6.2500023,5.791666,37.083336,17.2083355,33.666661
24,4,Easiness,1.3656039999999998,17.254675,60.816083,18.709053,1.8546550000000002
24,4,Efficiency,0.99,3.63,20.46,30.36,43.56
24,4,FrequencyRecall,1.04386036,0.025245412,0.027656179,0.128635918,2.6089741199999996
24,4,Lift,0.7239270000000001,0.2104084,0.33642366,1.6228174999999998,23.499979
24,4,OracleLift,0.7239270000000001,1.8934056000000001,0.0325533,1.0936744,23.145836
27,1,Recall,0.49671033000000003,0.064186695,0.10598921599999998,0.21587175000000003,2.6622949399999998
27,5,DiscoveredLabels,5.5925888,6.518515,35.85182,21.962941,30.074044
27,5,Easiness,1.3069368,20.784028,56.299089,20.170167,1.43979
27,5,Efficiency,0.33,12.21,25.75,59.6,1.32
27,5,FrequencyRecall,0.2,0.24842752,0.63930669,0.84142421,0.18181799999999998
27,5,Lift,0.25212,0.5875954,0.45736213,2.9548234000000004,0.9168000000000001
27,5,OracleLift,0.25212,1.6353814,0.09963459999999999,2.912163,0.22920000000000001
30,1,Recall,0.49671033000000003,0.07585701500000001,0.12602649700000002,0.24681463,2.6622949399999998
30,6,DiscoveredLabels,5.0333307000000005,6.9333336999999995,38.366665,22.600003,27.066673
30,6,Easiness,1.0,39.783744,48.702683,11.5135032,1.0
30,6,Efficiency,0.0,10.56,60.59,28.05,0.0
30,6,FrequencyRecall,0.0,3.9999984,19.05,31.8,0.0
30,6,Lift,0.0,0.26571287,1.23864482,2.3931600000000004,0.0
30,6,OracleLift,0.0,0.83028004,0.5133911699999999,3.6161950000000003,0.0
33,1,Recall,0.49671033000000003,0.099562383,0.135223857,0.28103374,2.84918044
33,5,DiscoveredLabels,4.575756,8.2727235,37.424209999999995,23.393916,26.3333072
33,5,Easiness,1.3088568,20.800676,56.358684000000004,20.091794,1.4399971999999999
33,5,Efficiency,0.0,21.45,27.74,31.03,18.81
33,5,FrequencyRecall,0.2,0.45283005000000004,0.7364162399999999,1.14563141,2.7727256
33,5,Lift,0.0,1.0307543,0.49235861999999997,1.5438695999999998,13.03875
33,5,OracleLift,0.0,2.0464374999999997,0.08202672,1.7236372,11.895
36,1,Recall,0.49999981,0.10284466,0.14223144899999998,0.3101564,3.32787064
36,4,DiscoveredLabels,4.2222238,7.833334,36.083337,23.666667000000004,28.194446600000003
36,4,Easiness,1.3657392,17.259543999999998,60.830636999999996,18.704721,1.839346
36,4,Efficiency,0.33,2.97,21.12,26.42,48.21
36,4,FrequencyRecall,1.05263233,0.031556761999999995,0.040389977,0.18034903400000002,3.54487122
36,4,Lift,0.241221,0.1720618,0.34719264000000005,1.4126919,26.253454
36,4,OracleLift,0.241221,1.8928679,0.037973520000000004,1.0235171,24.263181999999997
39,1,Recall,0.54276305,0.1097739,0.146392199,0.32180546,3.97704974
39,3,DiscoveredLabels,4.2307685,7.717945599999999,34.282017,22.666644,31.102533199999996
39,3,Easiness,3.1534776,18.258462,59.851710999999995,16.45114,2.285214
39,3,Efficiency,4.29,6.27,12.54,10.56,65.42
39,3,FrequencyRecall,0.24117634999999996,0.052899180000000004,0.036002463000000005,0.10383759,4.7165355
39,3,Lift,1.3593979999999999,0.34341679999999997,0.20950806,0.6418969,28.646138
39,3,OracleLift,1.254924,1.6085862,0.011028,0.14034329999999998,27.45475
42,1,Recall,0.56249983,0.114150254,0.150990932,0.34401149,4.5639344
42,4,DiscoveredLabels,4.0714263,7.452384499999999,32.833328,22.500009,33.1428502
42,4,Easiness,1.3661161000000002,17.264755,60.84496600000001,18.701841,1.8223319
42,4,Efficiency,1.98,3.96,13.86,20.13,59.13
42,4,FrequencyRecall,1.10526408,0.039971889999999996,0.04874652399999999,0.21978021599999997,4.6923083000000005
42,4,Lift,1.451148,0.22940439999999998,0.22780474,1.0763056999999998,32.468375
42,4,OracleLift,1.20567,1.8158724999999998,0.0,0.5118757,31.001157000000003
45,1,Recall,0.56249983,0.12253827300000002,0.157779484,0.41863856,4.5967211
45,5,DiscoveredLabels,3.7999978,7.4666642,32.022226,25.55556,31.155558799999998
45,5,Easiness,1.3114320000000002,20.798991,56.414591,20.069622,1.405388
45,5,Efficiency,0.0,7.59,20.46,67.92,3.3
45,5,FrequencyRecall,0.2,0.52515702,0.80809243,1.8090613500000001,3.2272717999999996
45,5,Lift,0.0,0.3647699,0.36261954,3.3836878,2.372144
45,5,OracleLift,0.0,1.6024798999999998,0.0,3.1244053000000003,2.121014
48,1,Recall,0.56249983,0.14150252700000002,0.17540786,0.45030943,4.5967211
48,6,DiscoveredLabels,3.5624988,8.0833387,33.374998999999995,25.770832999999996,29.2083316
48,6,Easiness,1.0,42.352931,47.617628,10.029410500000001,1.0
48,6,Efficiency,0.0,17.16,53.25,28.71,0.0
48,6,FrequencyRecall,0.0,7.4666611,27.1,49.2,0.0
48,6,Lift,0.0,0.40992056,1.1194226900000002,2.81809,0.0
