Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.01644735,0.006564546,0.003941748,0.010920989999999998,0.6918035900000001
3,3,DiscoveredLabels,1.666665,5.999994,11.999988,9.99999,70.333363
3,3,Easiness,3.1551600000000004,18.2442,59.7996,16.4439,2.35709
3,3,Efficiency,1.65,5.94,11.88,9.9,69.74
3,3,FrequencyRecall,0.02941175,0.01831122,0.011173176,0.0338601,1.661414
3,3,Lift,0.522955,0.3255822,0.19866384,0.602046,29.587305999999998
3,3,OracleLift,1.2550919999999999,0.2894064,0.23177456,1.4248406,22.290178
6,1,Recall,0.31249971,0.009117426000000001,0.011277779000000002,0.037859449999999996,0.8950826500000001
6,4,DiscoveredLabels,15.833358999999998,4.1666739999999995,17.166676,17.333338,45.499991
6,4,Easiness,1.37864,17.2451,60.7812,18.7084,1.88656
6,4,Efficiency,29.7,2.31,22.11,24.46,20.46
6,4,FrequencyRecall,0.78947378,0.004908834,0.013330657000000001,0.047834448,0.39743612
6,4,Lift,21.542939999999998,0.1339506,0.36376373,1.3074314,10.845101999999999
6,4,OracleLift,20.106744,0.3444446,0.3529050100000001,1.235806,11.020023000000002
9,1,Recall,0.31907867,0.013129096,0.038432043,0.051692754,0.8983613800000001
9,5,DiscoveredLabels,10.777767,3.999996,38.999978,15.777768000000002,30.444414000000002
9,5,Easiness,1.30378,20.730100000000004,56.3885,20.1434,1.4341599999999999
9,5,Efficiency,0.66,3.63,82.41,12.56,0.33
9,5,FrequencyRecall,0.1,0.034591149999999994,0.28670535999999996,0.12297746,0.045454499999999995
9,5,Lift,0.50622,0.1751079,1.46146695,0.623528,0.23010000000000003
9,5,OracleLift,1.2655500000000002,0.5094046999999999,1.05677465,0.9685535000000001,5.5224
12,1,Recall,0.31907867,0.022611225,0.05627940199999999,0.092100375,0.8983613800000001
12,6,DiscoveredLabels,8.0833333,5.1666695,42.8333356,21.0833344,22.833342
12,6,Easiness,1.0,37.5,50.0,12.5,1.0
12,6,Efficiency,0.0,8.58,53.8,36.63,0.0
12,6,FrequencyRecall,0.0,1.7333341999999998,8.15,22.2,0.0
12,6,Lift,0.0,0.2288,1.076,2.9304,0.0
12,6,OracleLift,4.62,0.1848,0.9454,2.5096000000000003,8.91
15,1,Recall,0.32565763,0.033552135000000004,0.07127994,0.139424721,0.90164011
15,5,DiscoveredLabels,6.5999992999999995,6.133329499999999,43.399997000000006,25.5333331,18.333325
15,5,Easiness,1.3050336000000002,20.763517,56.337056000000004,20.158084,1.4363168000000002
15,5,Efficiency,0.66,9.9,45.33,43.0,0.33
15,5,FrequencyRecall,0.2,0.12893069000000001,0.44508695,0.54368953,0.09090899999999999
