Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.029605229999999996,0.006564546,0.003613269,0.010556957,0.6918035900000001
3,3,DiscoveredLabels,2.999997,5.999994,10.999989000000001,9.666657,70.333363
3,3,Easiness,1.0,1.0,0.631032,3.3593199999999994,96.0097
3,3,Efficiency,2.97,5.94,10.89,9.57,69.74
3,3,FrequencyRecall,,,0.9705894,0.16022094000000003,0.040788721
3,3,Lift,2.97,5.94,17.257448999999998,2.8487947000000005,0.72638519
3,3,OracleLift,1.98,5.94,17.257448999999998,2.8487947000000005,0.73700906
6,1,Recall,0.33881553,0.012035004,0.009087919,0.020749891,1.06229561
6,4,DiscoveredLabels,17.166688999999998,5.500008,13.833344,9.500009,54.000001000000005
6,4,Easiness,1.0,1.0,0.725602,2.38239,96.892
6,4,Efficiency,31.02,4.95,16.5,9.24,37.29
6,4,FrequencyRecall,,,0.8333349000000001,0.14213192,0.014103869
6,4,Lift,31.02,4.95,22.73975,3.8784479999999997,0.38486119
6,4,OracleLift,31.02,4.95,22.73975,3.8784479999999997,0.38486119
9,1,Recall,0.34539449,0.018964253,0.034490295,0.034583162,1.0918036100000001
9,5,DiscoveredLabels,11.666655,5.777772,34.999974,10.555545,36.999973
9,5,Easiness,1.0,1.0,0.260756,2.15124,97.588
9,5,Efficiency,0.66,6.27,77.01,12.54,2.97
9,5,FrequencyRecall,,,58.0,1.1515145,0.006012031
9,5,Lift,0.66,6.27,295.33335,5.829199999999999,0.03043405
9,5,OracleLift,0.0,6.27,295.33335,5.829199999999999,0.03719717
12,1,Recall,0.34539449,0.033552138,0.050914245,0.074626817,1.0918036100000001
12,6,DiscoveredLabels,8.7500021,7.6666712,38.7499986,17.083344,27.749999
12,6,Easiness,1.0,1.0,2.5,1.0,97.5
12,6,Efficiency,0.0,13.2,49.5,36.3,0.0
12,6,FrequencyRecall,0.0,,150.0,,0.0
12,6,Lift,0.0,13.2,19.8,36.3,0.0
12,6,OracleLift,0.0,11.88,19.8,36.3,0.013538479999999999
15,1,Recall,0.34868397,0.042669556000000004,0.066462251,0.120130917,1.11475437
15,5,DiscoveredLabels,7.0666642,7.7999946,40.466662,22.000002,22.666668
15,5,Easiness,1.0,1.0,0.25930749000000003,2.1528376,97.58787099999999
15,5,Efficiency,0.33,8.25,46.86,41.26,2.31
15,5,FrequencyRecall,,,36.25,3.9090898999999997,0.200401
15,5,Lift,0.33,8.25,181.88302,19.161276,0.023672110000000003
15,5,OracleLift,0.0,8.25,181.88302,19.161276,0.02705384
18,1,Recall,0.34868397,0.04704591300000001,0.07226537999999999,0.137240488,1.73114387
18,4,DiscoveredLabels,5.8888906,7.1666723999999995,36.666653000000004,20.944445,29.333344999999998
18,4,Easiness,1.0,1.0,0.725865,2.3827760000000002,96.891384
18,4,Efficiency,0.0,3.96,17.49,15.51,62.05
18,4,FrequencyRecall,0.0,,0.883335,0.25888322,0.060409392000000006
18,4,Lift,0.0,3.96,24.095390000000002,6.508608000000001,0.64040802
18,4,OracleLift,0.0,3.96,24.095390000000002,6.231676,0.6473230200000001
21,1,Recall,0.37171033000000003,0.053975169,0.077192565,0.14306500700000002,2.42950677
21,3,DiscoveredLabels,5.3809492,7.047614599999999,33.571395200000005,18.714268099999998,35.285679
21,3,Easiness,1.0,1.0,0.631383,3.36119,96.0074
21,3,Efficiency,2.31,6.27,14.85,5.28,70.44
21,3,FrequencyRecall,,,1.323531,0.08839774,0.099168772
21,3,Lift,2.31,6.27,23.519789999999997,1.5708733999999998,0.7336939800000001
21,3,OracleLift,0.33,6.27,23.519789999999997,1.5708733999999998,0.75494256
24,1,Recall,0.3749998,0.057986840000000005,0.082995694,0.154350077,3.0983615700000002
24,4,DiscoveredLabels,4.7500016,6.6250018,31.583335,17.666672300000002,39.375003
24,4,Easiness,1.0,1.0,0.7261289999999999,2.383394,96.890426
24,4,Efficiency,0.33,3.63,17.49,10.23,67.38
24,4,FrequencyRecall,,,0.8833351,0.18781725999999999,0.099600611
24,4,Lift,0.33,3.63,24.086644999999997,4.29372,0.69542481
24,4,OracleLift,0.33,3.63,24.086644999999997,4.016888,0.70244307
