Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,1.999998,0.666666,1.55555432,3.1515123999999997,0.0
3,3,DiscoveredLabels,1.999998,7.3333260000000005,56.000012000000005,34.666636000000004,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,1.98,7.26,55.44,34.32,0.0
3,3,FrequencyRecall,3.0,3.142854,14.0000216,52.0,0.0
3,3,Lift,0.22769999999999999,0.2385438,1.0626,3.9468,0.0
3,3,OracleLift,0.22769999999999999,0.2385438,1.0626,3.9468,0.0
6,1,Recall,1.999998,1.3333322,2.0833333400000003,9.6666653,1.5
6,4,DiscoveredLabels,1.0000019999999998,7.333345999999999,37.499989,53.166670999999994,1.0000019999999998
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,0.0,7.26,18.81,71.1,1.98
6,4,FrequencyRecall,0.0,1.5714292,2.85,43.0,3.0
6,4,Lift,0.0,0.21780000000000002,0.39501,5.9724,0.4158
6,4,OracleLift,0.0,0.21780000000000002,0.39501,5.9724,0.4158
9,1,Recall,1.999998,1.5151504,2.71296268,16.515135,1.5
9,5,DiscoveredLabels,0.666666,5.55555,32.555523,60.555595000000004,0.666666
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,1.98,22.44,74.84,0.0
9,5,FrequencyRecall,0.0,0.8571420000000001,2.0606039999999997,25.111086,0.0
9,5,Lift,0.0,0.1386,0.3332,4.0746186,0.0
9,5,OracleLift,0.0,0.1386,0.3332,4.0746186,0.0
12,1,Recall,1.999998,1.6969686,3.31481382,23.272703999999997,3.0
12,6,DiscoveredLabels,0.4999998,4.6666672,29.8333336,63.999995,0.9999996
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,1.98,21.45,73.82,1.98
12,6,FrequencyRecall,0.0,1.5,2.3214295,31.857111,3.0
12,6,Lift,0.0,0.20295,0.3140891,4.3237389,0.4059
12,6,OracleLift,0.0,0.20295,0.3140891,4.3237389,0.4059
15,1,Recall,1.999998,1.6969686,4.62963,28.060578,3.0
15,7,DiscoveredLabels,0.4000002,3.7333328,33.333341,61.733329000000005,0.8000004
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,0.0,46.86,52.16,0.0
15,7,FrequencyRecall,0.0,0.0,9.4666538,15.8,0.0
15,7,Lift,0.0,0.0,0.8122399999999999,1.3561599999999998,0.0
15,7,OracleLift,0.0,0.0,0.8122399999999999,1.3561599999999998,0.0
18,1,Recall,1.999998,1.7575746,5.4444444999999995,33.606027,9.75
18,6,DiscoveredLabels,0.3333336,3.2222236,32.666661,61.611126000000006,2.166668
18,6,Easiness,1.0,10.368406400000001,71.97366,12.552632000000001,5.1052652
18,6,Efficiency,0.0,0.66,29.04,60.45,8.91
18,6,FrequencyRecall,0.0,2.0,5.4642881,58.000034,16.5
18,6,Lift,0.0,0.06269999999999999,0.40323703,4.78857,1.6928999999999998
18,6,OracleLift,0.0,0.06269999999999999,0.40323703,4.78857,1.6928999999999998
21,1,Recall,1.999998,2.0909078,6.2592601000000005,39.69693,9.75
21,5,DiscoveredLabels,0.28571399999999997,3.2857115999999995,32.190444,62.380990000000004,1.8571411999999998
21,5,Easiness,1.0,15.086966,70.26084800000001,14.652185999999999,1.0
21,5,Efficiency,0.0,3.63,29.04,66.42,0.0
21,5,FrequencyRecall,0.0,2.428569,4.7272738,47.444424,0.0
21,5,Lift,0.0,0.2385427,0.41284999999999994,4.5384459,0.0
21,5,OracleLift,0.0,0.2385427,0.41284999999999994,4.5384459,0.0
24,1,Recall,1.999998,2.6969687999999996,6.8611116,42.848442000000006,37.5
24,4,DiscoveredLabels,0.2500002,3.7083345,30.874999,58.916668,6.2500017
24,4,Easiness,2.5641,35.333298,49.820505999999995,7.307695,4.9743634000000005
24,4,Efficiency,0.0,6.6,21.45,34.32,36.63
24,4,FrequencyRecall,0.0,3.0000004000000002,6.1,63.8,58.5
24,4,Lift,0.0,0.18668576,0.42911276,4.5903,7.52895
24,4,OracleLift,0.0,0.18668576,0.42911276,4.5903,7.52895
27,1,Recall,3.33333,3.7272722999999996,8.981484,43.848446,37.5
27,3,DiscoveredLabels,0.37037,4.5555541,35.92589,53.592614999999995,5.555553
27,3,Easiness,9.7,33.9,51.6,4.84,1.0
27,3,Efficiency,1.32,11.22,75.94,10.89,0.0
27,3,FrequencyRecall,5.0,7.999992,33.08332,68.5,0.0
27,3,Lift,0.132,0.3268571,1.4692724000000001,2.178,0.0
27,3,OracleLift,0.132,0.3268571,1.4692724000000001,2.178,0.0
30,1,Recall,3.33333,4.6969703,10.2777735,45.212089,58.25
30,4,DiscoveredLabels,0.333333,5.1666664,37.0,49.733338999999994,7.7666683
30,4,Easiness,2.7777800000000004,37.722224000000004,52.166684,5.0277818,2.4755574
30,4,Efficiency,0.0,10.56,46.2,14.85,27.39
30,4,FrequencyRecall,0.0,5.2857140000000005,13.1,72.8,100.0
30,4,Lift,0.0,0.27676472,0.88509615,2.8512,9.8604
30,4,OracleLift,0.0,0.27676472,0.88509615,2.8512,9.8604
33,1,Recall,3.33333,5.242424499999999,11.907407599999999,48.424228,58.25
33,5,DiscoveredLabels,0.30303,5.242424499999999,38.96966,48.424228,7.0606088
33,5,Easiness,1.0,15.883748,73.116264,10.9999963,1.0
33,5,Efficiency,0.0,5.94,58.1,34.98,0.0
33,5,FrequencyRecall,0.0,4.999995,10.0606017,59.222263000000005,0.0
33,5,Lift,0.0,0.37164240000000004,0.79383342,3.190385,0.0
33,5,OracleLift,0.0,0.37164240000000004,0.79383342,3.190385,0.0
36,1,Recall,3.33333,5.242424499999999,14.120372,50.060607,60.0
36,6,DiscoveredLabels,0.27777799999999997,4.8055569,42.361111,45.888886,6.666668
36,6,Easiness,1.0,11.200026399999999,75.62857600000001,8.400004,4.7914307
36,6,Efficiency,0.0,0.0,79.3,17.82,2.31
36,6,FrequencyRecall,0.0,2.0,13.9999872,65.714316,20.0
36,6,Lift,0.0,0.0,1.04716378,2.079,0.51975
36,6,OracleLift,0.0,0.0,1.04716378,2.079,0.51975
39,1,Recall,3.33333,5.242424499999999,15.7037,53.969725,60.0
39,7,DiscoveredLabels,0.25640999999999997,4.4358985,43.487144,45.666633000000004,6.1538496
39,7,Easiness,1.0,4.34783,59.04348,36.608676,1.0
39,7,Efficiency,0.0,0.0,56.47,42.59,0.0
39,7,FrequencyRecall,0.0,0.0,20.866671,28.7,0.0
39,7,Lift,0.0,0.0,0.95630293,1.1638598,0.0
39,7,OracleLift,0.0,0.0,0.95630293,1.1638598,0.0
42,1,Recall,3.33333,5.4848482999999995,17.407401,56.000036,70.25
42,6,DiscoveredLabels,0.238095,4.309522,44.761893,43.999979,6.6904759
42,6,Easiness,1.0,12.25,75.25,7.5,5.04
42,6,Efficiency,0.0,2.64,60.94,22.11,13.53
42,6,FrequencyRecall,0.0,4.0,20.571428,75.285739,40.5
42,6,Lift,0.0,0.2112,0.80703668,2.552,2.7456
42,6,OracleLift,0.0,0.2112,0.80703668,2.552,2.7456
45,1,Recall,3.33333,6.090908499999999,19.138887999999998,58.818222999999996,70.25
45,5,DiscoveredLabels,0.222222,4.4666655,45.933330999999995,43.133319,6.2444446000000005
45,5,Easiness,1.0,16.625,74.2,9.175,1.0
45,5,Efficiency,0.0,6.6,61.78,30.69,0.0
45,5,FrequencyRecall,0.0,7.857135,15.727257199999999,69.555586,0.0
45,5,Lift,0.0,0.39599940000000006,0.83198675,3.333,0.0
45,5,OracleLift,0.0,0.39599940000000006,0.83198675,3.333,0.0
48,1,Recall,3.999996,6.9696951,21.194435,60.242464,70.25
48,4,DiscoveredLabels,0.24999960000000002,4.7916667,47.687504,41.416669,5.8541673
48,4,Easiness,3.0302999999999995,40.181778,52.666704,4.1712121,1.0
48,4,Efficiency,0.66,9.57,73.62,15.51,0.0
48,4,FrequencyRecall,2.0,7.3571434,24.2,82.2,100.0
48,4,Lift,0.21780000000000002,0.24053731,1.3920609,2.77695,0.0
48,4,OracleLift,0.21780000000000002,0.24053731,1.3920609,2.77695,0.0
51,1,Recall,5.333328,8.454542,22.898139999999998,62.15155300000001,70.25
51,3,DiscoveredLabels,0.31372479999999997,5.470586999999999,48.490193,40.215706,5.5098035
51,3,Easiness,11.176465,37.88236,47.235291,4.0758805,1.0
51,3,Efficiency,1.32,16.17,60.87,20.79,0.0
51,3,FrequencyRecall,7.0,14.999985000000002,48.416670999999994,100.0,0.0
51,3,Lift,0.11220000000000001,0.42983296000000004,1.28219205,3.5343,0.0
51,3,OracleLift,0.11220000000000001,0.42983296000000004,1.28219205,3.5343,0.0
54,1,Recall,5.999994,9.7272678,25.175932,62.454583,70.25
54,4,DiscoveredLabels,0.333333,5.9444456,50.351848,38.166657,5.2037049
54,4,Easiness,3.2866634,43.233328,50.533334,3.0766637,1.0
54,4,Efficiency,0.66,13.86,81.66,3.3,0.0
54,4,FrequencyRecall,4.0,10.357142799999998,36.5,84.2,100.0
54,4,Lift,0.198,0.31935165,1.6183405,0.99,0.0
54,4,OracleLift,0.198,0.31935165,1.6183405,0.99,0.0
57,1,Recall,5.999994,10.45454,27.500014,63.212158,70.25
57,5,DiscoveredLabels,0.3157902,6.0526305,52.10527200000001,36.596482,4.9298242
57,5,Easiness,1.0,17.432415000000002,75.162187,7.405407800000001,1.0
57,5,Efficiency,0.0,7.92,83.4,8.25,0.0
57,5,FrequencyRecall,0.0,11.285703000000002,23.33331,72.33336100000001,0.0
57,5,Lift,0.0,0.4581664,1.1107162800000001,1.221,0.0
57,5,OracleLift,0.0,0.4581664,1.1107162800000001,1.221,0.0
60,1,Recall,5.999994,10.515146,29.379637000000002,65.181853,77.75
60,6,DiscoveredLabels,0.3000006,5.7833331,52.883334999999995,35.850007,5.1833336999999995
60,6,Easiness,1.0,13.241372000000002,76.689656,5.9655171000000005,4.2734496
60,6,Efficiency,0.0,0.66,67.22,21.45,9.9
60,6,FrequencyRecall,0.0,4.5,27.821424,84.57144399999999,55.5
60,6,Lift,0.0,0.047850000000000004,0.87281402,3.3016500000000004,1.9140000000000001
60,6,OracleLift,0.0,0.047850000000000004,0.87281402,3.3016500000000004,1.9140000000000001
63,1,Recall,5.999994,10.515146,30.898156,69.303061,77.75
63,7,DiscoveredLabels,0.28571399999999997,5.5079354,52.968287000000004,36.301550999999996,4.9365061
63,7,Easiness,1.0,5.0,59.35,35.65,1.0
63,7,Efficiency,0.0,0.0,54.34,45.0,0.0
63,7,FrequencyRecall,0.0,0.0,31.800002,42.3,0.0
63,7,Lift,0.0,0.0,0.90431664,1.2334991499999999,0.0
63,7,OracleLift,0.0,0.0,0.90431664,1.2334991499999999,0.0
66,1,Recall,5.999994,10.575752,32.842591999999996,69.606091,97.25
66,6,DiscoveredLabels,0.272727,5.2878779,53.742443,34.803021,5.893942399999999
