Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,1.666665,0.636363,1.51851736,3.333331,0.0
3,3,DiscoveredLabels,1.666665,6.999993000000001,54.66667600000001,36.66664,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,1.65,6.93,54.12,36.3,0.0
3,3,FrequencyRecall,2.5,9.736108,14.467964299999998,55.0,0.0
3,3,Lift,0.18975,0.22770089999999998,1.0372999999999999,4.1745,0.0
3,3,OracleLift,0.18975,0.759002,0.8791749999999999,3.2637,0.0
6,1,Recall,2.333331,0.9393933,2.20370344,9.0303024,6.5
6,4,DiscoveredLabels,1.166669,5.1666739999999995,39.66666,49.666663,4.333341999999999
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,0.66,3.3,24.42,62.13,8.58
6,4,FrequencyRecall,2.0,1.0476195,6.2831209,37.6,13.0
6,4,Lift,0.2772,0.099,0.5128199999999999,5.21892,1.8018
6,4,OracleLift,0.2772,0.1485,0.8269799999999999,3.93876,1.5245999999999997
9,1,Recall,2.333331,1.2121203,3.0370373,15.121197299999999,6.5
9,5,DiscoveredLabels,0.777777,4.44444,36.444413,55.44447,2.888886
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,2.97,29.7,66.49,0.0
9,5,FrequencyRecall,0.0,1.285713,3.6452753,22.699979000000003,0.0
9,5,Lift,0.0,0.2079,0.441,3.6200086,0.0
9,5,OracleLift,0.0,0.2079,0.5639455,3.1675763,0.0
12,1,Recall,2.333331,1.3939383,3.8333323999999998,21.2121,8.25
12,6,DiscoveredLabels,0.5833330999999999,3.833333,34.499992999999996,58.333330000000004,2.7499989
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,1.98,28.38,66.52,2.31
12,6,FrequencyRecall,0.0,1.5,4.9037811,30.142832000000002,3.5
12,6,Lift,0.0,0.20295,0.41556419999999994,3.8961687,0.47354999999999997
12,6,OracleLift,0.0,0.20295,0.58132188,3.2799989,0.33824999999999994
15,1,Recall,2.333331,1.4848476,5.4537053,24.909066,8.25
15,7,DiscoveredLabels,0.46666690000000005,3.2666659,39.266666,54.800004,2.2000011
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,0.99,57.84,40.28,0.0
15,7,FrequencyRecall,0.0,3.0,12.8335637,13.5636333,11.0
15,7,Lift,0.0,0.2574,1.0025597,1.04728,0.0
15,7,OracleLift,0.0,0.2574,0.9796796999999999,0.988,3.63
18,1,Recall,2.333331,1.7575753,6.5185199,29.909061,11.0
18,6,DiscoveredLabels,0.3888892,3.2222222,39.111098999999996,54.833336,2.4444464
18,6,Easiness,1.0,10.368406400000001,71.42104,13.131584,5.0789494
18,6,Efficiency,0.0,2.97,37.98,54.5,3.63
18,6,FrequencyRecall,0.0,4.5,8.5243833,53.035721,9.0
18,6,Lift,0.0,0.28214999999999996,0.52958006,4.1228099,0.6897
18,6,OracleLift,0.0,0.28214999999999996,0.6423665,3.61038,0.5015999999999999
21,1,Recall,2.333331,1.9090905999999999,7.6111104,35.272692,11.0
21,5,DiscoveredLabels,0.333333,2.9999985999999996,39.142823,55.428599000000006,2.095236
21,5,Easiness,1.0,15.021749,69.78259,15.195661,1.0
21,5,Efficiency,0.0,1.65,39.0,58.55,0.0
