Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,2.333331,0.666666,1.55555432,3.1212093,0.0
3,3,DiscoveredLabels,2.333331,7.3333260000000005,56.000012000000005,34.333302,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,2.31,7.26,55.44,33.99,0.0
3,3,FrequencyRecall,3.5,3.142854,14.0000216,51.5,0.0
3,3,Lift,0.26565,0.2385438,1.0626,3.9088499999999997,0.0
3,3,OracleLift,0.26565,1.0083897,0.6325,3.795,0.0
6,1,Recall,2.333331,1.3939382,2.0740741,9.393939,3.25
6,4,DiscoveredLabels,1.166669,7.666679999999999,37.333323,51.66667,2.1666709999999996
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,0.0,7.92,18.48,68.38,4.29
6,4,FrequencyRecall,0.0,1.7142864,2.8,41.4,6.5
6,4,Lift,0.0,0.23759999999999998,0.38808,5.743919999999999,0.9009
6,4,OracleLift,0.0,0.99,0.0,5.544,0.0
9,1,Recall,2.333331,1.5151502,2.7962959,15.999984,3.25
9,5,DiscoveredLabels,0.777777,5.55555,33.555522,58.666708,1.444443
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,1.32,25.74,72.14,0.0
9,5,FrequencyRecall,0.0,0.571428,2.3636342,24.222198000000002,0.0
9,5,Lift,0.0,0.0924,0.3822,3.9276188000000003,0.0
9,5,OracleLift,0.0,2.31,0.0098,3.5573968,0.0
12,1,Recall,2.333331,1.5757561999999998,3.49073958,22.484825999999998,5.5
12,6,DiscoveredLabels,0.5833330999999999,4.3333318,31.416667900000004,61.833327,1.8333325999999999
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,0.66,24.75,70.78,2.97
12,6,FrequencyRecall,0.0,0.5,2.6785724999999996,30.571398,4.5
12,6,Lift,0.0,0.06765,0.36241051999999996,4.1456818,0.60885
12,6,OracleLift,0.0,3.2810249999999996,0.0241607,3.8270530000000003,0.0
15,1,Recall,2.333331,1.5757561999999998,4.6851867,27.666639,5.5
15,7,DiscoveredLabels,0.46666690000000005,3.4666681999999995,33.733328,60.866662,1.4666674
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,0.0,42.59,56.6,0.0
15,7,FrequencyRecall,0.0,0.0,8.5999873,17.1,0.0
