Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.999999,0.5151509999999999,1.6018505200000002,3.2424217,0.0
3,3,DiscoveredLabels,0.999999,5.666661,57.666682,35.666638000000006,0.0
3,3,Easiness,8.69565,30.4348,52.1739,8.69565,1.0
3,3,Efficiency,0.99,5.61,57.09,35.31,0.0
3,3,FrequencyRecall,1.5,2.428569,14.416690099999999,53.5,0.0
3,3,Lift,0.11384999999999999,0.1843293,1.0942249999999998,4.06065,0.0
3,3,OracleLift,0.26565,0.34697249999999996,0.8987250999999999,3.91115,5.28
6,1,Recall,0.999999,1.1212113,2.35185138,8.969695699999999,2.5
6,4,DiscoveredLabels,0.5000009999999999,6.166676,42.333319,49.33333400000001,1.6666699999999997
6,4,Easiness,2.38095,33.3333,47.619,11.9048,4.7619
6,4,Efficiency,0.0,6.6,26.75,62.51,3.3
6,4,FrequencyRecall,0.0,1.428572,4.05,37.8,5.0
6,4,Lift,0.0,0.198,0.56175,5.250839999999999,0.693
6,4,OracleLift,1.2473999999999998,0.2673,0.47123999999999994,4.414199999999999,2.5641
9,1,Recall,0.999999,1.4848478,3.1388886,15.121197500000001,2.5
9,5,DiscoveredLabels,0.333333,5.444439,37.666636000000004,55.444463999999996,1.11111
9,5,Easiness,1.0,14.285699999999999,67.3469,18.3673,1.0
9,5,Efficiency,0.0,3.96,28.08,67.22,0.0
9,5,FrequencyRecall,0.0,1.7142840000000001,2.5757563999999995,22.555533,0.0
9,5,Lift,0.0,0.2772,0.41694549999999997,3.6597530000000003,0.0
9,5,OracleLift,3.3,0.231,0.392,3.0935319,9.24
12,1,Recall,0.999999,1.6666660999999998,4.0925918999999995,20.666646299999996,4.5
12,6,DiscoveredLabels,0.2499999,4.583335,36.833335000000005,56.833325,1.4999994
12,6,Easiness,1.0,9.7561,68.2927,17.0732,4.87805
12,6,Efficiency,0.0,1.98,34.06,60.47,2.64
12,6,FrequencyRecall,0.0,1.5,3.6785735999999996,26.142831,4.0
12,6,Lift,0.0,0.20295,0.49873588999999996,3.5418112,0.5412
12,6,OracleLift,0.99,0.439725,0.42552143000000003,3.1154124000000003,2.3677499999999996
15,1,Recall,0.999999,1.6666660999999998,5.4629647,25.272702,4.5
15,7,DiscoveredLabels,0.2000001,3.666665,39.333324,55.599995,1.2000005999999999
15,7,Easiness,1.0,3.84615,57.6923,38.4615,1.0
15,7,Efficiency,0.0,0.0,48.91,50.2,0.0
15,7,FrequencyRecall,0.0,0.0,9.8666557,15.2,0.0
15,7,Lift,0.0,0.0,0.8477731,1.3052000000000001,0.0
15,7,OracleLift,2.64,0.9438,0.6472265,1.1336,11.88
18,1,Recall,0.999999,1.6666660999999998,6.7222215,29.151486,13.5
18,6,DiscoveredLabels,0.1666668,3.055557,40.333323,53.444448,3.0000008000000005
18,6,Easiness,1.0,10.368406400000001,70.97367,13.605272,5.0526336
18,6,Efficiency,0.0,0.0,45.02,42.32,11.88
18,6,FrequencyRecall,0.0,1.5,8.5357146,44.428562,22.0
