Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.999999,0.7272719999999999,1.49073964,3.3939372,0.0
3,3,DiscoveredLabels,0.999999,7.999992,53.666674,37.333308,0.0
3,3,Easiness,1.0,1.0,1.0,4.34783,95.6522
3,3,Efficiency,0.99,7.92,53.13,36.96,0.0
3,3,FrequencyRecall,,,,112.0,0.0
3,3,Lift,0.99,7.92,53.13,8.5008,0.0
3,3,OracleLift,0.99,7.92,53.13,8.5008,0.0
6,1,Recall,0.999999,1.3939385,2.06481486,9.6363622,2.5
6,4,DiscoveredLabels,0.5000009999999999,7.666677,37.166657,53.000006000000006,1.6666699999999997
6,4,Easiness,1.0,2.38095,1.0,1.0,97.619
6,4,Efficiency,0.0,7.26,20.46,68.04,3.3
6,4,FrequencyRecall,0.0,22.0,,,0.243902
6,4,Lift,0.0,3.0491999999999995,20.46,68.04,0.0338049
6,4,OracleLift,0.0,3.0491999999999995,20.46,68.04,0.0338049
9,1,Recall,0.999999,1.60606,2.87037014,15.878772,2.5
9,5,DiscoveredLabels,0.333333,5.888883000000001,34.444410000000005,58.222259,1.11111
9,5,Easiness,1.0,1.0,2.04082,1.0,97.9592
9,5,Efficiency,0.0,2.31,28.71,68.12,0.0
9,5,FrequencyRecall,0.0,,87.0,,0.0
9,5,Lift,0.0,2.31,14.067900000000002,68.12,0.0
9,5,OracleLift,0.0,2.31,14.067900000000002,68.12,0.0
12,1,Recall,0.999999,1.696969,3.62962902,22.242402000000002,3.75
12,6,DiscoveredLabels,0.2499999,4.6666688,32.6666656,61.166661000000005,1.2500003
12,6,Easiness,1.0,4.87805,2.43902,4.87805,87.8049
12,6,Efficiency,0.0,0.99,27.06,69.48,1.65
12,6,FrequencyRecall,0.0,1.5,82.0,105.0,0.13888899999999998
12,6,Lift,0.0,0.20295,11.0946,14.2434,0.01879165
12,6,OracleLift,0.0,0.20295,11.0946,14.2434,0.01879165
15,1,Recall,0.999999,1.696969,5.0740753000000005,26.606034,3.75
15,7,DiscoveredLabels,0.2000001,3.7333312000000003,36.533325,58.533329,0.9999996999999999
15,7,Easiness,7.69231,1.0,3.84615,1.0,88.4615
15,7,Efficiency,0.0,0.0,51.48,47.55,0.0
15,7,FrequencyRecall,0.0,0.0,156.0,,0.0
15,7,Lift,0.0,0.0,13.3848,47.55,0.0
15,7,OracleLift,0.0,0.0,13.3848,47.55,0.0
18,1,Recall,0.999999,1.7575749999999999,5.8981499,32.818149,4.75
18,6,DiscoveredLabels,0.1666668,3.2222228,35.388872,60.166681,1.055556
18,6,Easiness,1.0,5.1052652,2.4031588,4.9210546,87.710528
18,6,Efficiency,0.0,0.66,29.37,67.81,1.32
18,6,FrequencyRecall,0.0,4.0,103.0,109.0,7.5277759
18,6,Lift,0.0,0.12539999999999998,13.001999999999999,14.649,0.0152
18,6,OracleLift,0.0,0.12539999999999998,13.001999999999999,14.649,0.0152
21,1,Recall,0.999999,2.1515143,6.6203701,39.151476,4.75
21,5,DiscoveredLabels,0.14285699999999998,3.3809503000000003,34.047585,61.523845,0.9047611999999999
21,5,Easiness,1.0,1.0,2.17391,1.0,97.82610000000001
21,5,Efficiency,0.0,4.29,25.74,69.1,0.0
21,5,FrequencyRecall,0.0,,78.0,,6.25
21,5,Lift,0.0,4.29,11.840399999999999,69.1,0.0
21,5,OracleLift,0.0,4.29,11.840399999999999,69.1,0.0
24,1,Recall,0.999999,2.5454537999999998,7.2407407,42.515109,32.0
24,4,DiscoveredLabels,0.1250001,3.5000009999999997,32.583332999999996,58.45833,5.333335
24,4,Easiness,1.0,2.4702539999999997,1.0,1.0,97.58974599999999
24,4,Efficiency,0.0,4.29,22.11,36.63,35.97
24,4,FrequencyRecall,0.0,19.0,,,9.8292682
