Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.48015845999999995,0.21540323,0.0,0.0
3,3,DiscoveredLabels,0.0,40.333314,59.666686000000006,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,39.93,59.07,0.0,0.0
3,3,FrequencyRecall,0.0,60.5,44.75,0.0,0.0
3,3,Lift,0.0,1.1979,0.88605,0.0,0.0
3,3,OracleLift,0.0,1.1979,0.88605,0.0,0.0
6,1,Recall,1.923075,0.48015845999999995,0.29241891000000003,0.33992102,3.0302999999999995
6,4,DiscoveredLabels,8.33335,20.166686,40.499981000000005,14.333357999999999,16.6667
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,16.5,0.0,21.12,28.38,33.0
6,4,FrequencyRecall,12.5,0.0,12.8,43.0,100.0
6,4,Lift,0.53625,0.0,0.5491199999999999,1.8447,4.29
6,4,OracleLift,0.53625,0.0,0.5491199999999999,1.8447,4.29
9,1,Recall,2.3846138000000003,0.55555555,0.34657056,0.73517798,6.787882
9,5,DiscoveredLabels,6.888882,15.55554,31.999968,20.666646,24.888864
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,3.96,6.27,14.85,33.0,40.92
9,5,FrequencyRecall,3.0,1.5833327,2.6470575,33.3333,20.666684
9,5,Lift,0.4158,0.21945,0.3668823,4.62,2.8644
9,5,OracleLift,0.4158,0.21945,0.3668823,4.62,2.8644
12,1,Recall,2.8076907,0.6626989299999999,0.38387503,1.229249,9.9999974
12,6,DiscoveredLabels,6.0833357,13.916676,26.583329,25.916663,27.499994
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,3.63,8.91,10.23,41.25,34.98
12,6,FrequencyRecall,1.375,0.3253014,0.23484856,1.8939375,13.25
12,6,Lift,1.347643,0.31882679999999997,0.23017500000000002,1.85625,12.986372000000001
12,6,OracleLift,1.347643,0.31882679999999997,0.23017500000000002,1.85625,12.986372000000001
15,1,Recall,2.8846145,0.72619097,0.5956681500000001,1.6482217,9.9999974
15,7,DiscoveredLabels,4.9999983,12.199990399999999,32.999992,27.800014,22.000006
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.66,5.28,58.08,34.98,0.0
15,7,FrequencyRecall,0.2,0.10389616,0.26151564,0.58241794,0.0
15,7,Lift,0.6844199999999999,0.3555424,0.89493336,1.9930868000000002,0.0
15,7,OracleLift,0.6844199999999999,0.3555424,0.89493336,1.9930868000000002,0.0
18,1,Recall,2.8846145,0.8373023399999999,0.89169684,1.7430829,10.0606032
18,6,DiscoveredLabels,4.1666684,11.7222254,41.166656,24.499992000000002,18.444463999999996
18,6,Easiness,2.6836746,28.139473000000002,44.79253800000001,22.023775,2.3605422
18,6,Efficiency,0.0,9.24,81.64,7.92,0.66
18,6,FrequencyRecall,1.375,0.662651,2.0984858,2.2575735,13.5
18,6,Lift,0.0,0.32801009999999997,1.8222847999999998,0.36102720000000005,0.2772
18,6,OracleLift,0.0,0.32801009999999997,1.8222847999999998,0.36102720000000005,0.2772
21,1,Recall,3.1153836999999998,0.90476258,0.9434413899999999,2.1067169999999997,14.363622
21,5,DiscoveredLabels,3.8571402,10.857136800000001,37.333298,25.380927,22.571406000000003
21,5,Easiness,9.9487092,30.282021,42.435855000000004,5.12821,12.205115999999999
21,5,Efficiency,1.98,5.61,14.19,30.36,46.88
21,5,FrequencyRecall,4.5,3.0000004000000002,5.176468,64.000028,44.333321999999995
21,5,Lift,0.19305,0.18622499999999997,0.33405225,5.9201999999999995,3.8882999999999996
21,5,OracleLift,0.19305,0.18622499999999997,0.33405225,5.9201999999999995,3.8882999999999996
24,1,Recall,7.8846231,0.9365089000000001,1.11913358,2.1936736,14.363622
24,4,DiscoveredLabels,8.5416659,9.8333366,38.749994,23.124991,19.750006
24,4,Easiness,35.0,10.0,43.6,11.44,1.0
24,4,Efficiency,40.92,2.64,48.2,7.26,0.0
24,4,FrequencyRecall,43.5,8.0,42.0,54.0,100.0
24,4,Lift,1.1495,0.264,1.0718,0.429,0.0
24,4,OracleLift,1.1495,0.264,1.0718,0.429,0.0
27,1,Recall,7.8846231,1.25000142,1.34175702,2.1936736,14.363622
27,3,DiscoveredLabels,7.7037051,11.824783199999999,41.811934,20.841871,17.817655
27,3,Easiness,1.0,26.543307,73.66669300000001,1.0,1.0
27,3,Efficiency,0.0,28.62,70.74,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,91.0,0.0,0.0
27,3,Lift,0.0,0.8586,0.9561,0.0,0.0
27,3,OracleLift,0.0,0.8586,0.9561,0.0,0.0
30,1,Recall,10.4615571,1.32936676,1.5198557,2.450592,14.363622
30,4,DiscoveredLabels,9.1896505,11.3011426,42.572416999999994,20.925295000000002,16.011493
30,4,Easiness,32.285682,13.222844,41.428537999999996,13.222844,1.0
30,4,Efficiency,22.11,6.6,48.92,21.45,0.0
