Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.51984106,0.20336953000000002,0.0,0.0
3,3,DiscoveredLabels,0.0,43.666654,56.333346,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,43.23,55.77,0.0,0.0
3,3,FrequencyRecall,0.0,65.5,42.25,0.0,0.0
3,3,Lift,0.0,1.2969,0.83655,0.0,0.0
3,3,OracleLift,0.0,0.99,0.495,33.0,0.0
6,1,Recall,1.3076910000000002,0.53968251,0.30926609000000005,0.28853761,3.0302999999999995
6,4,DiscoveredLabels,5.666677999999999,22.666680999999997,42.833319,12.166688999999998,16.6667
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,11.22,1.65,29.04,24.09,33.0
6,4,FrequencyRecall,8.5,5.0,17.6,36.5,100.0
6,4,Lift,0.36465000000000003,0.2145,0.75504,1.5658500000000002,4.29
6,4,OracleLift,0.36465000000000003,2.8314,0.26598,1.4800499999999999,4.29
9,1,Recall,1.8076909,0.60317464,0.36221437,0.6837945900000001,6.878791
9,5,DiscoveredLabels,5.2222170000000006,16.888872000000003,33.444411,19.222203,25.222197
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,4.29,5.28,14.52,33.0,41.91
9,5,FrequencyRecall,3.25,1.3333328,2.588234,33.3333,21.166682
9,5,Lift,0.45045,0.1848,0.35872935999999994,4.62,2.9337
9,5,OracleLift,0.45045,1.00485,0.040764699999999994,3.2340000000000004,2.8875
12,1,Recall,1.9230757,0.70238135,0.40312895000000004,1.22134408,9.9696941
12,6,DiscoveredLabels,4.1666678,14.750013,27.916666,25.749996999999997,27.416657
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,0.99,8.25,11.22,44.88,33.66
12,6,FrequencyRecall,0.375,0.301205,0.25757584,2.0606039999999997,12.75
12,6,Lift,0.367539,0.29521,0.25245,2.0196,12.496321
12,6,OracleLift,0.367539,1.0745643999999999,0.04455,1.5295500000000002,11.883761
15,1,Recall,2.0384602000000003,0.7658739,0.59446478,1.7035566,9.9696941
15,7,DiscoveredLabels,3.5333323,12.8666569,32.933332,28.733337000000002,21.933343
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.99,5.28,52.47,40.26,0.0
15,7,FrequencyRecall,0.3,0.10389616,0.23625554,0.67032978,0.0
15,7,Lift,1.02663,0.3555424,0.8084908,2.2939316,0.0
15,7,OracleLift,1.02663,2.1554758,0.47797496,1.9930868000000002,0.0
18,1,Recall,2.269231,0.84127093,0.8712394,1.8498008,10.2121173
18,6,DiscoveredLabels,3.2777801999999996,11.7777842,40.222208,26.000006,18.722235
18,6,Easiness,2.7108858,28.146275,44.782332000000004,21.986364,2.3741477
18,6,Efficiency,1.98,6.27,76.28,12.21,2.64
18,6,FrequencyRecall,1.125,0.5301208,2.0000003800000004,2.6212098,13.75
18,6,Lift,0.72765,0.2230923,1.70290662,0.5557671000000001,1.056825
18,6,OracleLift,0.72765,1.1020623,0.66284664,1.6054979,0.363825
21,1,Recall,2.6538463,0.90079459,0.92057745,2.2134372,14.515137
21,5,DiscoveredLabels,3.2857117999999996,10.809516899999998,36.428537,26.66664,22.809501
21,5,Easiness,9.923068299999999,30.358944,42.461496,5.12821,12.128193
21,5,Efficiency,3.3,4.95,13.53,30.36,46.86
21,5,FrequencyRecall,5.75,2.5833323000000004,4.9999975,64.000026,44.833323
21,5,Lift,0.32175,0.160875,0.31796483,5.9201999999999995,3.893175
21,5,OracleLift,0.32175,1.0130249999999998,0.05299413,3.0888,3.893175
24,1,Recall,7.230773800000001,0.90079459,1.08664246,2.3833975,14.515137
24,4,DiscoveredLabels,7.833333,9.4583361,37.625003,25.124995,19.958334
24,4,Easiness,36.6,9.55,41.2,12.72,1.0
24,4,Efficiency,39.27,0.0,45.54,14.19,0.0
24,4,FrequencyRecall,38.25,5.0,45.2,58.0,100.0
24,4,Lift,1.0835,0.0,1.1022,0.858,0.0
24,4,OracleLift,0.89375,4.191,0.18645,3.4155,0.0
27,1,Recall,7.230773800000001,1.1746047899999998,1.31889288,2.3833975,14.515137
27,3,DiscoveredLabels,7.0655293,11.1296299,41.138144999999994,22.658110999999998,18.008539
27,3,Easiness,1.0,23.309977,77.000023,1.0,1.0
27,3,Efficiency,0.0,24.47,74.94,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,90.5,0.0,0.0
27,3,Lift,0.0,0.7341,0.9691,0.0,0.0
27,3,OracleLift,0.0,15.753800000000002,0.2871,39.46,0.0
30,1,Recall,10.6153982,1.25396983,1.45968787,2.6798422,14.515137
30,4,DiscoveredLabels,9.3126378,10.6781527,40.931037,22.8954,16.182762
30,4,Easiness,35.285682,13.621414999999999,39.142832,12.159988,1.0
30,4,Efficiency,29.06,6.6,38.63,24.75,0.0
30,4,FrequencyRecall,60.25,25.0,68.6,95.5,100.0
30,4,Lift,0.7435166,0.462,0.9359000000000001,1.7325,0.0
30,4,OracleLift,0.502425,2.3991,0.17325,8.444700000000001,0.0
33,1,Recall,10.692322,1.3095253,1.7436813,2.7272732000000004,15.606045
33,5,DiscoveredLabels,8.517045099999999,10.1212099,44.405279,21.158130999999997,15.798286000000001
33,5,Easiness,10.472212899999999,32.472213,44.861090000000004,3.0200023999999996,9.194438700000001
33,5,Efficiency,0.66,4.62,78.3,3.96,11.88
33,5,FrequencyRecall,6.25,3.7500013,18.882372999999998,68.000032,50.833332
33,5,Lift,0.0594,0.1449,1.7425175000000002,0.7128,1.3365
33,5,OracleLift,0.0594,0.9981,0.6747434,7.840800000000001,1.3365
36,1,Recall,10.769244,1.45238236,1.9687112,3.0237169,15.606045
36,6,DiscoveredLabels,7.8555569,10.280956100000001,45.921425,21.475388000000002,14.466672
36,6,Easiness,2.7182124,28.371116,44.453599000000004,22.085911,2.371136
36,6,Efficiency,0.66,11.88,61.94,24.77,0.0
36,6,FrequencyRecall,1.375,0.9638559999999999,3.4166656,3.7575734,13.75
36,6,Lift,0.240074,0.4186399,1.3932964799999998,1.1188741,0.0
36,6,OracleLift,0.240074,1.1400831,0.60161635,1.7789956999999998,0.0
39,1,Recall,10.846166,1.46825534,2.1768945,3.4940719000000002,15.666651
39,7,DiscoveredLabels,7.2982451,9.5843425,46.829949,22.892698,13.394733999999998
39,7,Easiness,0.9642166400000001,14.878127999999998,64.93324700000001,17.483525999999998,1.74081
39,7,Efficiency,0.66,1.32,57.15,39.29,0.66
39,7,FrequencyRecall,0.5,0.12987020000000002,0.49331368000000003,1.3241745,0.1111112
39,7,Lift,0.68244,0.0886284,0.8801045399999999,2.2468254,0.379134
39,7,OracleLift,0.68244,2.1737142,0.24391038,2.868741,0.0
42,1,Recall,10.92309,1.5714296199999997,2.3465702,4.0039537,15.727257
42,6,DiscoveredLabels,6.819978,9.519747599999999,46.843784,24.340304,12.4761882
42,6,Easiness,2.7395858,28.54164,44.267344,22.055544,2.3958369999999998
42,6,Efficiency,0.66,8.58,46.61,42.66,0.66
42,6,FrequencyRecall,1.625,1.2771092,4.4848474,5.7121214,14.0
42,6,Lift,0.2376,0.3009651,1.0524773299999999,1.9298781,0.271542
42,6,OracleLift,0.2376,1.1331248,0.46891024000000003,2.0470987,0.0
45,1,Recall,11.4615541,1.68650829,2.4548737,4.0158112,20.696949
45,5,DiscoveredLabels,6.6727268,9.5303022,45.716156,22.7702,15.310622
45,5,Easiness,11.3636275,34.999964999999996,41.787836999999996,2.9490879999999997,8.9393921
45,5,Efficiency,4.62,9.57,29.7,0.99,54.23
45,5,FrequencyRecall,9.75,6.1666712,24.176484000000002,69.000031,78.166654
45,5,Lift,0.42652500000000004,0.276705,0.70573506,0.3267,5.88115
45,5,OracleLift,0.42652500000000004,0.860805,0.13143789,3.8247000000000004,5.49945
48,1,Recall,15.346168,1.9841281000000002,2.5908543,4.0513842,20.696949
48,4,DiscoveredLabels,8.3798823,10.5053261,45.226951,21.535023000000002,14.352827
48,4,Easiness,39.77,19.0,39.25,3.16,1.0
48,4,Efficiency,33.33,24.75,37.97,2.97,0.0
48,4,FrequencyRecall,85.5,100.0,91.2,100.0,100.0
48,4,Lift,0.825,0.99,1.0036,0.1188,0.0
48,4,OracleLift,0.5412,4.4188,0.36300000000000004,30.4888,0.0
51,1,Recall,16.615384,2.1111114,2.6702768,4.0671946000000005,21.030281999999996
51,4,DiscoveredLabels,8.825322987012989,10.885458701298703,45.35846623376624,20.886338961038962,14.0444
51,4,Easiness,43.42857142857143,1.0,57.57142857142857,1.0,1.0
51,4,Efficiency,42.857142857142854,0.0,57.142857142857146,0.0,0.0
51,4,FrequencyRecall,100.0,100.0,100.0,100.0,100.0
51,4,Lift,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0
51,4,OracleLift,0.0,0.0,0.0,100.0,0.0
51,5,DiscoveredLabels,8.73998347826087,10.707586086956521,44.801369565217385,21.265134782608694,14.485943478260868
51,5,Easiness,9.275363043478261,38.98550869565217,44.34782173913044,3.33333,4.14492652173913
51,5,Efficiency,0.0,45.91304347826087,31.565217391304348,5.739130434782608,15.782608695652174
51,5,FrequencyRecall,30.434782608695652,14.130450869565216,27.365734782608694,72.46379565217391,87.6811347826087
51,5,Lift,0.0,1.1719565217391303,0.7102971304347826,1.7217391304347827,3.2282608695652173
51,5,OracleLift,0.0,1.3154347826086956,0.3192784782608696,5.165217391304348,3.2282608695652173
54,1,Recall,17.19231,2.4761903,2.8026478000000004,4.2371544,22.242402000000002
54,5,DiscoveredLabels,8.688371298701298,12.313664935064935,44.814,19.94915974025974,14.234774025974026
54,5,Easiness,12.857114285714285,37.09957402597402,42.55411298701299,3.121209090909091,4.458873116883117
54,5,Efficiency,6.428571428571429,35.18181818181818,35.74025974025974,4.714285714285714,17.142857142857142
54,5,FrequencyRecall,8.441558441558442,16.125552987012988,31.245235064935066,74.45890000000001,86.36360909090908
