Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.48015845999999995,0.21540323,0.0,0.0
3,3,DiscoveredLabels,0.0,40.333314,59.666686000000006,0.0,0.0
3,3,Easiness,1.0,33.3333,66.6667,1.0,1.0
3,3,Efficiency,0.0,39.93,59.07,0.0,0.0
3,3,FrequencyRecall,0.0,60.5,44.75,0.0,0.0
3,3,Lift,0.0,1.1979,0.88605,0.0,0.0
3,3,OracleLift,11.22,1.0305,0.6738,4.62,3.96
6,1,Recall,1.3461525,0.49999982,0.31889305,0.30830046000000005,2.9090879999999997
6,4,DiscoveredLabels,5.833345,21.000018,44.166655,13.000023999999998,16.000031999999997
6,4,Easiness,30.7692,7.69231,38.4615,15.3846,7.69231
6,4,Efficiency,11.55,1.65,28.38,25.74,31.68
6,4,FrequencyRecall,8.75,5.0,17.2,39.0,96.0
6,4,Lift,0.375375,0.2145,0.73788,1.6731,4.1184
6,4,OracleLift,0.45045,0.3003,0.6957599999999999,1.716,3.8636
9,1,Recall,1.6153832,0.62698414,0.4091458,0.56126491,6.606063799999999
9,5,DiscoveredLabels,4.666662,17.555538000000002,37.777749,15.777762000000001,24.222198000000002
9,5,Easiness,9.52381,28.571399999999997,40.4762,7.14286,14.285699999999999
9,5,Efficiency,2.31,10.56,24.75,21.12,40.26
9,5,FrequencyRecall,1.75,2.6666656,4.4117625,21.333315000000002,20.333352
9,5,Lift,0.24255,0.3696,0.61147064,2.9568,2.8182
9,5,OracleLift,0.45045,0.3234,0.54624714,3.3768000000000002,2.7489
12,1,Recall,1.9999984,0.71825433,0.4572806,1.09486181,9.393937699999999
12,6,DiscoveredLabels,4.3333332,15.083345,31.666667000000004,23.083338100000002,25.8333286
12,6,Easiness,2.6936,27.9461,44.4444,22.2222,2.6936
12,6,Efficiency,3.3,7.59,13.2,44.57,30.36
12,6,FrequencyRecall,1.25,0.2771086,0.30303034,2.0454525,11.5
12,6,Lift,1.22513,0.2715932,0.29700000000000004,2.00565,11.271193
12,6,OracleLift,1.347643,0.31882679999999997,0.37935,1.6335000000000002,12.373800000000001
15,1,Recall,1.9999984,0.78968316,0.64259958,1.5889321799999998,9.484846699999999
15,7,DiscoveredLabels,3.4666668,13.2666561,35.599997,26.799999,20.8666724
15,7,Easiness,0.9643200000000001,14.8505,64.8987,17.5506,1.73578
15,7,Efficiency,0.0,5.94,50.84,41.27,0.99
15,7,FrequencyRecall,0.0,0.11688318,0.2288261,0.68681313,0.1666668
15,7,Lift,0.0,0.3999852,0.78337464,2.3514801,0.570351
15,7,OracleLift,1.71105,0.6679893,0.65178468,2.0318339,5.513388
18,1,Recall,2.0769214,0.89682665,0.9133571100000001,1.76284492,9.5454527
18,6,DiscoveredLabels,3.0000016,12.5555642,42.166667,24.777784,17.500020199999998
18,6,Easiness,2.6870759999999994,28.153077000000003,44.761923,21.989767999999998,2.4081615
18,6,Efficiency,0.66,8.91,74.62,14.52,0.66
18,6,FrequencyRecall,1.5,0.60241,2.00757594,2.7121188999999997,11.75
18,6,Lift,0.24255,0.3164634,1.6672925,0.6609860000000001,0.24255
18,6,OracleLift,2.0963249999999998,0.5858848,1.2071131,0.8265875,2.0097
21,1,Recall,2.6153829,0.97619125,0.9723226300000001,2.0909086,13.6060472
21,5,DiscoveredLabels,3.2380929,11.714277500000001,38.476159,25.190451,21.380931
21,5,Easiness,10.076913699999999,29.948688,41.666624999999996,6.051285699999999,12.256397999999999
21,5,Efficiency,4.62,6.6,16.17,27.39,44.22
21,5,FrequencyRecall,5.25,4.3333324,7.2941165,49.000004,42.666652000000006
21,5,Lift,0.48262499999999997,0.21645,0.38723562,4.8477,3.6035999999999997
21,5,OracleLift,0.6435,0.141375,0.50410669,3.9065,3.56655
24,1,Recall,7.6153965,1.01984181,1.10469291,2.2687739,13.727258999999998
24,4,DiscoveredLabels,8.2499995,10.7083403,38.250002,23.916666,18.875002
24,4,Easiness,36.5,9.55,41.4,12.22,1.36
24,4,Efficiency,42.9,3.63,36.3,14.85,1.32
24,4,FrequencyRecall,41.25,16.0,39.2,61.5,100.0
24,4,Lift,1.19625,0.363,0.87725,1.155,0.132
24,4,OracleLift,0.985,3.63,0.8040999999999999,1.2375,2.772
27,1,Recall,7.6153965,1.33333484,1.3237062599999998,2.2687739,13.727258999999998
27,3,DiscoveredLabels,7.464392,12.623931400000002,41.299122,21.585455000000003,17.027058
27,3,Easiness,1.0,26.543307,73.66669300000001,1.0,1.0
27,3,Efficiency,0.0,29.81,69.62,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,90.25,0.0,0.0
27,3,Lift,0.0,0.8942999999999999,0.9392999999999999,0.0,0.0
27,3,OracleLift,11.76,1.7548,0.7114499999999999,6.64,1.98
30,1,Recall,10.6538616,1.4444456600000002,1.4897718,2.4782602,13.727258999999998
30,4,DiscoveredLabels,9.3643578,12.2953998,41.818395,21.211504,15.310347
30,4,Easiness,33.571403000000004,12.159988,43.428548,11.289989,1.0
30,4,Efficiency,26.07,9.24,46.22,17.49,0.0
