Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.50396802,0.20818300999999997,0.0,0.0
3,3,DiscoveredLabels,0.0,42.333318,57.666682,0.0,0.0
3,3,Easiness,1.0,50.0,16.6667,1.0,33.3333
3,3,Efficiency,0.0,41.91,57.09,0.0,0.0
3,3,FrequencyRecall,0.0,42.333318,173.0,0.0,0.0
3,3,Lift,0.0,0.8382000000000001,3.4254000000000002,0.0,0.0
3,3,OracleLift,0.0,0.8382000000000001,3.4254000000000002,0.0,0.0
6,1,Recall,1.6153830000000002,0.5198411199999999,0.29723239,0.31620560000000003,3.0302999999999995
6,4,DiscoveredLabels,7.000014,21.833348,41.166649,13.333357999999999,16.6667
6,4,Easiness,1.0,38.4615,1.0,1.0,61.538500000000006
6,4,Efficiency,13.86,1.32,24.42,26.4,33.0
6,4,FrequencyRecall,,0.8,,,12.5
6,4,Lift,13.86,0.034319999999999996,24.42,26.4,0.53625
6,4,OracleLift,13.86,0.034319999999999996,24.42,26.4,0.53625
9,1,Recall,1.8846135000000002,0.6269844099999999,0.34175708,0.7114625800000001,6.939396999999999
9,5,DiscoveredLabels,5.444439,17.555538000000002,31.555524000000002,19.99998,25.444419000000003
9,5,Easiness,1.0,4.7619,1.0,1.0,95.23809999999999
9,5,Efficiency,2.31,8.91,12.21,33.0,42.57
9,5,FrequencyRecall,,13.5,,,3.225
9,5,Lift,2.31,1.8710999999999998,12.21,33.0,0.44698499999999997
9,5,OracleLift,2.31,1.8710999999999998,12.21,33.0,0.44698499999999997
12,1,Recall,1.8846135000000002,0.7063497599999999,0.40072220999999997,1.22134396,10.0302999
12,6,DiscoveredLabels,4.0833317,14.833347400000001,27.749994,25.749999,27.583323
12,6,Easiness,1.0,2.0202,7.40741,1.3468,89.2256
12,6,Efficiency,0.0,6.6,16.17,42.57,33.66
12,6,FrequencyRecall,0.0,3.3333399999999993,2.2272705,32.25,0.38490518
12,6,Lift,0.0,3.2670000000000003,2.18295,31.608225,0.37724598
12,6,OracleLift,0.0,3.2670000000000003,2.18295,31.608225,0.37724598
15,1,Recall,1.923075,0.7619056999999999,0.6077018500000001,1.6679838999999999,10.0302999
15,7,DiscoveredLabels,3.333335,12.799987799999998,33.666659,28.133341,22.066677
15,7,Easiness,1.0,1.8322100000000001,2.02507,1.9286400000000001,94.2141
15,7,Efficiency,0.33,4.62,56.76,37.29,0.0
15,7,FrequencyRecall,,0.7368424,8.1904752,5.65,0.0
15,7,Lift,0.33,2.521554,28.028604,19.334864999999997,0.0
15,7,OracleLift,0.33,2.521554,28.028604,19.334864999999997,0.0
18,1,Recall,2.0384598,0.8809529599999999,0.88929013,1.790513,10.0909057
18,6,DiscoveredLabels,2.9444462,12.3333332,41.05554,25.166663,18.500014999999998
18,6,Easiness,1.0,2.0306158,7.4727860999999995,1.36054,89.136012
18,6,Efficiency,0.99,9.9,77.56,10.23,0.66
18,6,FrequencyRecall,,5.500008,10.7727413,7.75,1.11698522
18,6,Lift,0.99,4.9480200000000005,10.377424000000001,7.51905,0.0074061
18,6,OracleLift,0.99,4.9480200000000005,10.377424000000001,7.51905,0.0074061
21,1,Recall,2.2307673,0.93650891,0.95066137,2.1778634,14.090895
21,5,DiscoveredLabels,2.7619023,11.2380886,37.61901,26.238069,22.142835
21,5,Easiness,1.0,4.6410291,1.0,1.0,95.358979
21,5,Efficiency,1.65,4.62,16.83,32.34,43.58
21,5,FrequencyRecall,,16.5,,,10.325
21,5,Lift,1.65,1.0295999999999998,16.83,32.34,0.45678839999999993
21,5,OracleLift,0.66,1.0295999999999998,16.83,32.34,0.46694891999999993
24,1,Recall,7.8077002,0.95238189,1.0806254199999998,2.3478244,14.090895
24,4,DiscoveredLabels,8.458331600000001,10.000001099999999,37.416667000000004,24.749995,19.375002
24,4,Easiness,1.0,40.3,1.0,1.0,59.7
24,4,Efficiency,47.9,1.32,35.64,14.19,0.0
24,4,FrequencyRecall,,20.2,,,25.375
24,4,Lift,47.9,0.0385,35.64,14.19,0.0
24,4,OracleLift,47.9,0.0385,35.64,14.19,0.0
27,1,Recall,7.8077002,1.24206508,1.2984357199999998,2.3478244,14.090895
27,3,DiscoveredLabels,7.6438752,11.811968799999999,40.626754,22.398852,17.518511
27,3,Easiness,1.0,57.000014,15.873318000000001,1.0,27.836639
27,3,Efficiency,0.0,27.32,72.14,0.0,0.0
27,3,FrequencyRecall,0.0,67.33336600000001,235.0,0.0,58.5
27,3,Lift,0.0,0.42479999999999996,36.735,0.0,0.0
27,3,OracleLift,0.0,0.42479999999999996,36.735,0.0,0.0
30,1,Recall,10.423100400000001,1.2936522400000001,1.4801451,2.6166012,14.090895
30,4,DiscoveredLabels,9.175854399999999,11.051718799999998,41.614943000000004,22.41839,15.739084
30,4,Easiness,1.0,47.428562,1.0,1.0,52.571438
30,4,Efficiency,22.44,4.29,49.89,22.44,0.0
30,4,FrequencyRecall,,36.2,,,54.0
30,4,Lift,22.44,0.08855,49.89,22.44,0.0
30,4,OracleLift,22.44,0.08855,49.89,22.44,0.0
33,1,Recall,10.423100400000001,1.36904944,1.7496981,2.6521746000000004,15.545438999999998
33,5,DiscoveredLabels,8.3295462,10.6136345,44.674222,20.624989,15.757567
33,5,Easiness,1.0,4.3333368,1.0,1.0,95.666632
33,5,Efficiency,0.0,6.27,74.18,2.97,15.84
33,5,FrequencyRecall,0.0,31.5,,,15.1
33,5,Lift,0.0,1.6038,74.18,2.97,0.16502234999999998
33,5,OracleLift,0.0,1.6038,74.18,2.97,0.16502234999999998
36,1,Recall,10.5384834,1.5079381,2.0264732,2.7786567000000004,15.545438999999998
36,6,DiscoveredLabels,7.7095249,10.6984124,47.376977,19.787300000000002,14.427791
36,6,Easiness,1.0,1.6975916,7.5326488,1.3745699999999998,89.39520399999999
36,6,Efficiency,0.99,11.55,76.29,10.56,0.0
36,6,FrequencyRecall,,23.500009,10.8181962,8.0,1.8339596
36,6,Lift,0.99,6.866145,10.130776500000001,7.6824,0.0
36,6,OracleLift,0.99,6.482025,10.130776500000001,7.6824,0.00738692
39,1,Recall,10.615407400000002,1.5436520999999999,2.2370622,3.2292505,15.545438999999998
39,7,DiscoveredLabels,7.1605954999999994,10.0971632,48.23143,21.20579,13.304987
39,7,Easiness,1.0,1.83752,2.0290158,1.93424,94.19923399999999
39,7,Efficiency,0.66,2.97,57.75,37.62,0.0
39,7,FrequencyRecall,,0.4736844,8.428570299999999,5.7,0.30501491999999997
39,7,Lift,0.66,1.616301,28.467473,19.44954,0.0
39,7,OracleLift,0.66,1.616301,28.467473,19.44954,0.0
42,1,Recall,10.730793100000001,1.6309531,2.3285193,4.0079054,15.606045
42,6,DiscoveredLabels,6.714867000000001,9.8966298,46.577225,24.418123,12.3931512
