Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.9230772,0.43902431999999997,0.5609756,0.03252032,0.0
3,3,DiscoveredLabels,3.999996,17.999982,76.66669,1.333332,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,3.96,17.82,76.2,1.32,0.0
3,3,FrequencyRecall,3.0,5.4,28.75,4.0,0.0
3,3,Lift,0.22769999999999999,0.40985999999999995,2.19075,0.3036,0.0
3,3,OracleLift,0.22769999999999999,0.40985999999999995,2.19075,0.3036,0.0
6,1,Recall,1.3076925,0.55284572,1.197559,0.19512191999999998,0.0
6,4,DiscoveredLabels,2.833338,11.333348999999998,81.833328,4.000007999999999,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,1.65,4.62,86.74,6.6,0.0
6,4,FrequencyRecall,1.25,0.7777784,9.6666609,2.85714,0.0
6,4,Lift,0.231,0.1437338,1.7990498,0.528,0.0
6,4,OracleLift,0.231,0.1437338,1.7990498,0.528,0.0
9,1,Recall,1.3846155999999998,0.69918764,1.5878040000000002,1.1138220799999998,0.5714288
9,5,DiscoveredLabels,1.999998,9.555546,72.33336100000001,15.222207000000001,0.888888
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,0.33,5.94,52.8,37.29,2.64
9,5,FrequencyRecall,0.333333,0.666666,2.711866,5.65,2.666664
9,5,Lift,0.1232,0.24640019999999999,1.0023044,2.0882400000000003,0.9856
9,5,OracleLift,0.1232,0.24640019999999999,1.0023044,2.0882400000000003,0.9856
12,1,Recall,1.3846155999999998,0.8211386399999999,1.9560974999999998,1.3170746,8.3571428
12,6,DiscoveredLabels,1.4999997999999999,8.4166714,66.833331,13.500014499999999,9.7500029
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.0,4.95,49.83,8.25,35.97
12,6,FrequencyRecall,0.0,0.416667,1.30172525,0.6097551000000001,15.571413
12,6,Lift,0.0,0.276375,0.8634331000000001,0.4044501,10.3285221
12,6,OracleLift,0.0,0.276375,0.8634331000000001,0.4044501,10.3285221
15,1,Recall,1.3846155999999998,0.89430948,2.1487794,3.0406474,8.3571428
15,7,DiscoveredLabels,1.2000001999999999,7.3333277,58.733331,24.933343999999998,7.7999971
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.0,2.97,26.07,70.08,0.0
15,7,FrequencyRecall,0.0,0.28125,0.395,3.9259231999999997,0.0
15,7,Lift,0.0,0.2700846,0.37931850000000006,3.7765364,0.0
15,7,OracleLift,0.0,0.2700846,0.37931850000000006,3.7765364,0.0
18,1,Recall,1.3846155999999998,1.02439048,2.5024387999999997,3.3821116,15.285706600000001
18,6,DiscoveredLabels,1.0000006,7.0000036,57.000006000000006,23.111111,11.8888846
18,6,Easiness,0.50505,18.10605,57.823252000000004,20.580826000000002,2.9848455
18,6,Efficiency,0.0,5.28,47.85,13.86,32.01
18,6,FrequencyRecall,0.0,0.8611117999999999,2.55172719,1.6341447,29.428542000000004
18,6,Lift,0.0,0.2904,0.82764248,0.6757525,10.71576
18,6,OracleLift,0.0,0.2904,0.82764248,0.6757525,10.71576
21,1,Recall,1.3846155999999998,1.12195144,2.8219508,3.6422748,24.214295000000003
21,5,DiscoveredLabels,0.8571420999999999,6.5714243,55.095259999999996,21.333312,16.142841100000002
21,5,Easiness,2.7431157,24.605468000000002,52.66056,17.311938,2.6788956
21,5,Efficiency,0.0,3.96,43.23,10.56,41.25
21,5,FrequencyRecall,0.333333,1.11111,4.9322056,7.25,44.333321999999995
21,5,Lift,0.0,0.1598664,0.8208037699999999,0.6142248,15.4671
21,5,OracleLift,0.0,0.1598664,0.8208037699999999,0.6142248,15.4671
24,1,Recall,1.8461542,1.32520328,3.2365837999999996,4.4471544,24.214295000000003
24,4,DiscoveredLabels,1.0000007,6.791668,55.291665,22.791662000000002,14.125009299999999
24,4,Easiness,7.4528305,33.698148,46.018851999999995,12.830160000000001,1.0
24,4,Efficiency,1.98,8.25,56.16,32.67,0.0
24,4,FrequencyRecall,2.75,2.1666672,15.962947,16.999983,0.0
24,4,Lift,0.26234999999999997,0.24634593,1.2197419999999999,2.5235559,0.0
24,4,OracleLift,0.26234999999999997,0.24634593,1.2197419999999999,2.5235559,0.0
27,1,Recall,3.0000001,2.39024304,3.5780493,4.5609758,24.214295000000003
27,3,DiscoveredLabels,1.4444434000000002,10.8888814,54.33336,20.777757,12.5555431
27,3,Easiness,19.4,47.3,28.5,4.84,1.0
27,3,Efficiency,4.95,43.24,46.2,4.62,0.0
27,3,FrequencyRecall,6.75,18.5,46.25,18.0,0.0
27,3,Lift,0.264,0.914667,1.6192000000000002,0.9239999999999999,0.0
27,3,OracleLift,0.264,0.914667,1.6192000000000002,0.9239999999999999,0.0
30,1,Recall,3.3076925,2.54471428,4.2097555,4.7073176,24.214295000000003
30,4,DiscoveredLabels,1.4333323000000002,10.433326600000001,57.533332,19.300003,11.2999907
30,4,Easiness,7.78,35.22,45.38,11.62,1.0
30,4,Efficiency,1.32,6.27,86.06,5.94,0.0
30,4,FrequencyRecall,3.75,3.222223,25.555529999999997,19.571409000000003,0.0
30,4,Lift,0.165,0.17578436,1.8998545000000002,0.506,0.0
30,4,OracleLift,0.165,0.17578436,1.8998545000000002,0.506,0.0
33,1,Recall,3.3076925,2.59349468,4.4658534,5.626018299999999,29.642836000000003
33,5,DiscoveredLabels,1.3030294,9.6666633,55.484882999999996,20.969676,12.5757455
33,5,Easiness,2.8207560000000003,25.188679999999998,52.915105999999994,17.499969999999998,1.57546998
33,5,Efficiency,0.0,1.98,34.68,37.29,25.08
33,5,FrequencyRecall,0.333333,1.3333322,6.7118659,12.9,69.666697
33,5,Lift,0.0,0.07873000000000001,0.65260744,2.1211201,14.866499999999998
33,5,OracleLift,0.0,0.07873000000000001,0.65260744,2.1211201,14.866499999999998
36,1,Recall,3.3076925,2.6910553800000003,4.6341463,7.2682927,30.85712
36,6,DiscoveredLabels,1.1944454,9.194443099999999,52.777787,24.833332,11.999996000000001
36,6,Easiness,0.512821,18.302532,57.969214,20.682024000000002,2.5333308
36,6,Efficiency,0.0,3.96,22.77,66.81,5.61
36,6,FrequencyRecall,0.0,1.1944454,3.1465539899999997,6.5609747,31.857111
