Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.8461541,0.31707312,0.59512188,0.048780479999999994,0.0
3,3,DiscoveredLabels,3.6666630000000002,12.999987,81.333352,1.999998,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,3.63,12.87,80.96,1.98,0.0
3,3,FrequencyRecall,2.75,8.472843399999999,30.847220000000004,6.0,0.0
3,3,Lift,0.208725,0.29601,2.3276,0.45539999999999997,0.0
3,3,OracleLift,0.208725,0.66815,1.8566749999999999,0.45539999999999997,0.0
6,1,Recall,1.0769234,0.5121954,1.231705,0.14634144,0.0
6,4,DiscoveredLabels,2.333338,10.500012,84.166656,3.0000059999999995,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,0.99,7.92,86.74,3.96,0.0
6,4,FrequencyRecall,0.75,1.6315788,11.5777659,1.7142840000000001,0.0
6,4,Lift,0.1386,0.24640079999999998,1.7990498,0.31679999999999997,0.0
6,4,OracleLift,0.1386,0.24640079999999998,1.8202051999999997,0.2376,0.0
9,1,Recall,1.2307696,0.59349628,1.6268295000000002,1.10569208,0.5714288
9,5,DiscoveredLabels,1.777776,8.111103,74.111137,15.111096,0.888888
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,0.66,3.3,53.46,38.94,2.64
9,5,FrequencyRecall,0.666666,0.4391532,3.6824998,5.9,2.666664
9,5,Lift,0.2464,0.136889,1.01483318,2.1806400000000004,0.9856
9,5,OracleLift,0.2464,0.136889,1.21187792,1.68168,0.4928
12,1,Recall,1.2307696,0.63414664,2.1024379,1.4227652800000001,4.928571
12,6,DiscoveredLabels,1.3333328,6.500002899999999,71.83333499999999,14.5833463,5.750002499999999
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.0,1.65,64.56,12.87,20.13
12,6,FrequencyRecall,0.0,0.192943,2.08407994,1.0911713,8.714277000000001
12,6,Lift,0.0,0.092125,1.1186688,0.6309419999999999,5.7801819
12,6,OracleLift,0.0,0.128975,1.1706516,0.56623,5.1168822
15,1,Recall,1.2307696,0.72357776,2.5097558,2.3577225,5.4285698
15,7,DiscoveredLabels,1.0666672,5.933327899999999,68.600001,19.333334,5.0666616
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.0,3.63,55.46,38.06,2.31
15,7,FrequencyRecall,0.0,0.46306820000000004,1.13600121,2.2164972,1.75
15,7,Lift,0.0,0.3301034,0.806943,2.051012,1.680525
15,7,OracleLift,0.0,0.3901222,0.9412395000000001,1.5121221,1.680525
