Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.769231,0.39024383999999995,0.58292678,0.024390239999999997,0.0
3,3,DiscoveredLabels,3.33333,15.999984,79.666687,0.999999,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,3.3,15.84,79.26,0.99,0.0
3,3,FrequencyRecall,2.5,4.8,29.875,3.0,0.0
3,3,Lift,0.18975,0.36432000000000003,2.278725,0.22769999999999999,0.0
3,3,OracleLift,0.18975,0.6831,0.94875,7.59,0.0
6,1,Recall,1.0000003,0.5447158,1.2365830000000002,0.10569104,0.0
6,4,DiscoveredLabels,2.1666709999999996,11.166678,84.499992,2.1666709999999996,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,0.99,6.27,89.12,3.3,0.0
6,4,FrequencyRecall,0.75,1.0555564,9.9259192,1.42857,0.0
6,4,Lift,0.1386,0.1950673,1.8484124,0.264,0.0
6,4,OracleLift,0.1386,0.9548031,0.71182184,2.64,0.0
9,1,Recall,1.0769232,0.65040696,1.6097552,1.11382244,0.6428574
9,5,DiscoveredLabels,1.555554,8.88888,73.33336,15.222207000000001,0.999999
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,0.33,4.29,50.49,40.92,2.97
9,5,FrequencyRecall,0.333333,0.481481,2.5932223,6.2,2.999997
9,5,Lift,0.1232,0.17795569999999997,0.9584536699999999,2.2915200000000002,1.1088
9,5,OracleLift,0.1232,1.3552011,0.0,3.696,0.0
12,1,Recall,1.0769232,0.7073176,2.2390233,1.349594,1.071429
12,6,DiscoveredLabels,1.1666666,7.2500045,76.50000200000001,13.833343,1.2499995
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.0,2.31,85.72,9.57,1.98
12,6,FrequencyRecall,0.0,0.1944446,2.2241406,0.7073158,0.8571420000000001
12,6,Lift,0.0,0.128975,1.4853212000000002,0.46916199999999997,0.5685426
12,6,OracleLift,0.0,1.8425,0.57181,1.6178,0.0
15,1,Recall,1.1538463,0.76422844,2.6560971999999996,2.31707266,1.2142857999999999
15,7,DiscoveredLabels,1.0000001,6.2666596,72.600001,18.9999924,1.1333331
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.33,2.31,56.43,39.27,0.66
15,7,FrequencyRecall,1.0,0.21875,0.855,2.2037014999999998,0.5
15,7,Lift,0.9603,0.2100658,0.8210565,2.1162148,0.48015
15,7,OracleLift,0.9603,2.9709306,0.009603,3.5211032,0.0
18,1,Recall,1.1538463,0.9349598,2.9658531999999997,2.51219426,10.3571416
18,6,DiscoveredLabels,0.8333338,6.388891,67.555564,17.1666682,8.0555566
18,6,Easiness,0.50505,18.14645,57.282842,20.560621,3.5050470000000002
18,6,Efficiency,0.0,6.93,41.91,7.92,42.26
18,6,FrequencyRecall,0.0,0.7777784,3.3189675999999997,1.2926815999999999,19.142838
18,6,Lift,0.0,0.3832244,0.7316137399999999,0.3864624,12.0468952
18,6,OracleLift,0.0,1.8186302,0.4492442,0.031873200000000004,11.2944946
21,1,Recall,1.5384618,1.01626064,3.3170725,2.76422666,18.214287
21,5,DiscoveredLabels,0.9523800999999998,5.952377799999999,64.761939,16.1904625,12.1428503
21,5,Easiness,2.7431157,24.651338,52.72477799999999,17.211024,2.6697213
21,5,Efficiency,1.65,3.3,47.52,10.23,36.3
21,5,FrequencyRecall,1.999998,0.851851,5.033900099999999,7.75,39.666646
21,5,Lift,0.5995,0.13322199999999998,0.9012084699999999,0.5963449,13.72855
21,5,OracleLift,0.5995,1.2717577999999998,0.53193384,0.1514528,13.36885
24,1,Recall,2.1538464,1.12195192,3.7146344,3.7073158,18.214287
24,4,DiscoveredLabels,1.1666674000000001,5.7500007,63.458332,18.9999976,10.6250009
24,4,Easiness,7.4905663,33.603808,45.886776,13.018830000000001,1.0
24,4,Efficiency,2.64,4.29,53.8,38.28,0.0
24,4,FrequencyRecall,2.75,1.7777787999999999,15.962947,17.999982,0.0
24,4,Lift,0.34979999999999994,0.12745977,1.1729165000000001,2.9358199000000003,0.0
24,4,OracleLift,0.34979999999999994,0.82534476,0.720005,2.7484272,0.0
27,1,Recall,3.1538467000000003,2.29268188,4.0439023,3.7723566,18.214287
27,3,DiscoveredLabels,1.5185172,10.4444368,61.407441,17.1851682,9.4444403
27,3,Easiness,19.5,47.6,28.05,4.88,1.0
27,3,Efficiency,4.29,47.54,44.59,2.64,0.0
27,3,FrequencyRecall,5.75,19.2,46.75,11.0,0.0
27,3,Lift,0.2145,0.99113367,1.5787332,0.528,0.0
27,3,OracleLift,0.2145,0.78100045,0.8910000000000001,7.3919999999999995,0.0
30,1,Recall,3.6923082,2.5853644200000003,4.6243897,3.9268283000000004,18.214287
30,4,DiscoveredLabels,1.5999987000000002,10.599998000000001,63.200002000000005,16.099998,8.4999991
30,4,Easiness,7.78,35.36,45.38,11.48,1.0
30,4,Efficiency,2.31,11.88,79.0,6.27,0.0
30,4,FrequencyRecall,4.5,3.7777778,24.777752999999997,20.714265,0.0
30,4,Lift,0.28875,0.3343136,1.7425075300000001,0.5555,0.0
30,4,OracleLift,0.28875,0.8929410400000001,0.7050814,2.8930000000000002,0.0
33,1,Recall,3.8461540000000003,2.72357596,4.82439,4.8780494,24.071441
33,5,DiscoveredLabels,1.5151505,10.1515097,59.939433,18.1818002,10.2121178
33,5,Easiness,2.7735860000000003,25.254717999999997,52.858502,17.40563,1.70754514
33,5,Efficiency,0.66,5.61,27.06,38.63,27.06
33,5,FrequencyRecall,2.666664,1.4814804000000001,6.4237302,13.6,67.000033
33,5,Lift,0.2332,0.22223800000000002,0.5099500299999999,2.2187409,14.3418
33,5,OracleLift,0.2332,1.280111,0.08043645999999999,2.0066856,14.166899999999998
36,1,Recall,3.8461540000000003,2.84552708,4.973171,6.1382128,28.999982
36,6,DiscoveredLabels,1.3888900000000002,9.7222225,56.638899,20.972215000000002,11.2777704
36,6,Easiness,0.512821,18.317916,57.512820000000005,20.753816,2.9025612
36,6,Efficiency,0.0,4.95,20.13,51.26,22.77
36,6,FrequencyRecall,0.0,1.1944454,3.8448274,5.073169,28.999971000000002
36,6,Lift,0.0,0.2691464,0.35013472,2.4696737,7.5504
36,6,OracleLift,0.0,1.80192,0.0,2.1473123999999997,7.0785
39,1,Recall,3.9999998,2.91056748,5.1585364,7.8780486,28.999982
39,7,DiscoveredLabels,1.3333327,9.1794823,54.2308,24.846129,10.4102468
39,7,Easiness,0.35374978,11.086796,68.850688,18.336832,1.3819455999999999
39,7,Efficiency,0.66,2.64,25.08,70.76,0.0
39,7,FrequencyRecall,3.0,0.46875,1.235,6.1666703,0.5
39,7,Lift,1.9008,0.2376,0.36434172,3.8596504,0.0
39,7,OracleLift,1.9008,2.9173067,0.0,3.5995732,0.0
42,1,Recall,4.153846,3.03251888,5.2926833,9.3333304,32.499990000000004
42,6,DiscoveredLabels,1.285713,8.880958,51.666673,27.333335,10.833350000000001
42,6,Easiness,0.520833,18.52605,58.093747,20.270829000000003,2.588544
42,6,Efficiency,0.66,4.95,18.15,59.21,16.17
42,6,FrequencyRecall,2.0,1.6111124000000001,4.3189634,9.439017,35.999967999999996
42,6,Lift,1.2671999999999999,0.2660116,0.3123242,2.9114668999999997,6.1248000000000005
42,6,OracleLift,1.2671999999999999,1.7466017,0.011314280000000001,2.446577,5.871359999999999
45,1,Recall,4.3846151,3.17886052,5.685366,9.983735000000001,35.214259999999996
45,5,DiscoveredLabels,1.2666654,8.6888842,51.800001,27.288883000000002,10.9555452
45,5,Easiness,2.8349504000000003,25.825239999999997,53.601955,16.776709,0.97116526
45,5,Efficiency,0.99,5.94,53.22,26.4,12.54
45,5,FrequencyRecall,3.6666630000000002,2.1481472,9.152546599999999,17.6,79.666687
45,5,Lift,0.33990000000000004,0.2304738,0.99211248,1.5611407,12.916200000000002
45,5,OracleLift,0.33990000000000004,1.2396777,0.16039002,2.7595661000000002,11.556600000000001
48,1,Recall,4.923076,3.6991862600000003,6.1585363,10.2682859,35.214259999999996
48,4,DiscoveredLabels,1.3333324,9.4791743,52.604169,26.3125,10.270835400000001
48,4,Easiness,8.1276612,36.851079,43.212775,11.8085374,1.0
48,4,Efficiency,2.31,21.12,64.24,11.55,0.0
48,4,FrequencyRecall,6.25,7.3333338,31.962930999999998,25.714266000000002,0.0
48,4,Lift,0.297275,0.5669260399999999,1.48235457,0.9978099999999999,0.0
48,4,OracleLift,0.297275,0.89860442,0.67380676,2.9727499999999996,0.0
51,1,Recall,6.6923053,4.8861802999999995,6.431707599999999,10.4227568,35.214259999999996
51,3,DiscoveredLabels,1.7058806999999998,11.784317899999998,51.705883,25.137256,9.6666662
51,3,Easiness,22.176470999999996,47.529407,25.058833,5.345291499999999,1.0
51,3,Efficiency,7.59,48.29,36.97,6.27,0.0
51,3,FrequencyRecall,11.5,33.8,60.75,30.0,0.0
51,3,Lift,0.331925,1.0013745900000002,1.4431300000000002,1.0659,0.0
51,3,OracleLift,0.331925,0.91618916,0.48526500000000006,8.9595,0.0
54,1,Recall,7.4615351,5.268294399999999,6.958537300000001,10.6422677,35.214259999999996
54,4,DiscoveredLabels,1.7962947,12.0000053,52.833345,24.240745,9.1296288
54,4,Easiness,8.5227275,37.909097,41.750001000000005,11.8181774,1.0
54,4,Efficiency,3.3,15.51,71.62,8.91,0.0
54,4,FrequencyRecall,8.75,9.9444414,39.962923,29.571405,0.0
54,4,Lift,0.363,0.40224206,1.70952663,0.7550399999999999,0.0
54,4,OracleLift,0.363,0.8688396199999999,0.6460026999999999,3.13148,0.0
57,1,Recall,7.4615351,5.382115300000001,7.514634999999999,11.0975485,35.357118
57,5,DiscoveredLabels,1.7017555999999998,11.614035699999999,54.052648,23.947362,8.6842035
57,5,Easiness,2.89,26.42,53.6,16.48,1.0
57,5,Efficiency,0.0,4.62,75.62,18.48,0.66
57,5,FrequencyRecall,3.6666630000000002,2.6666658,13.016934000000001,20.4,80.333353
57,5,Lift,0.0,0.1739314,1.4093521999999998,1.1024812,0.66
57,5,OracleLift,0.0,1.249937,0.52936406,2.2431612000000003,0.66
60,1,Recall,7.4615351,5.5040667999999995,7.721952099999999,12.0812816,40.999992
60,6,DiscoveredLabels,1.6166672,11.2833287,52.766665999999994,24.766667,9.5666698
60,6,Easiness,0.5385189800000001,18.740721999999998,58.724909,19.645483,2.370368
60,6,Efficiency,0.0,4.95,28.05,39.95,26.07
60,6,FrequencyRecall,2.0,2.0277793,5.0517212,12.3902248,47.285696
60,6,Lift,0.0,0.2633691,0.47679300999999996,2.0341389000000003,10.738035
60,6,OracleLift,0.0,1.761501,0.12272214,1.7273503,10.072754999999999
63,1,Recall,7.4615351,5.552847399999999,7.8975615,13.5934798,43.571428999999995
63,7,DiscoveredLabels,1.5396809999999999,10.841262899999998,51.396840000000005,26.539656,9.6825367
63,7,Easiness,0.37035069,11.175464999999999,69.308777,17.778934,1.3964923999999999
63,7,Efficiency,0.0,1.98,23.76,61.57,11.88
63,7,FrequencyRecall,3.0,0.65625,1.595,9.611109299999999,9.5
63,7,Lift,0.0,0.17823979999999998,0.34274932999999996,3.4641430000000004,8.4645
63,7,OracleLift,0.0,2.9532815,0.00954822,3.0266872,8.229375
66,1,Recall,7.6153811,5.650408,8.258536900000001,14.0731668,49.214279000000005
66,6,DiscoveredLabels,1.4999985,10.530311199999998,51.30304,26.227279,10.439405899999999
66,6,Easiness,0.54688132,18.962351,59.215044,19.311823999999998,1.9838718
66,6,Efficiency,0.66,3.96,48.88,19.49,26.09
66,6,FrequencyRecall,4.0,2.3611129,6.327584000000001,13.829256399999998,58.57145
66,6,Lift,1.2276,0.20849679999999998,0.8256356100000001,1.0118943,13.359449999999999
66,6,OracleLift,1.2276,1.7059746000000002,0.12241902000000002,1.8445406,11.81565
69,1,Recall,7.9230727000000005,5.8292693,8.6804886,14.4308908,53.285715
69,5,DiscoveredLabels,1.4927553,10.3913053,51.579709,25.724641000000002,10.811587600000001
69,5,Easiness,2.9793788,27.092798,52.907202,16.412353,1.0182487
69,5,Efficiency,1.32,7.26,57.27,14.52,18.81
69,5,FrequencyRecall,4.999995,3.4814806,15.949150000000001,22.6,99.333334
69,5,Lift,0.4268,0.2714919,1.08146227,0.8835242999999999,18.2457
69,5,OracleLift,0.4268,1.1688125999999999,0.51784416,1.200056,18.2457
72,1,Recall,8.9230716,6.1951228,9.1170736,14.943093000000001,53.285715
72,4,DiscoveredLabels,1.6111124000000001,10.5833312,51.916675999999995,25.527779999999996,10.3611078
72,4,Easiness,8.9024397,39.536587,39.536588,12.0243678,1.0
72,4,Efficiency,4.29,14.85,59.24,20.79,0.0
72,4,FrequencyRecall,12.0,12.444444800000001,46.592568,38.571404,0.0
72,4,Lift,0.4961,0.37195646,1.49099695,1.661935,0.0
72,4,OracleLift,0.4961,0.7257988000000001,0.48747151,3.94625,0.0
75,1,Recall,12.9230675,6.7967484,9.3926835,15.439028,53.285715
75,3,DiscoveredLabels,2.2400001,11.146670899999998,51.346667,25.320002,9.9466707
75,3,Easiness,25.285709999999998,47.285700999999996,22.428577599999997,5.300001999999999,1.0
75,3,Efficiency,17.16,24.42,37.32,20.13,0.0
75,3,FrequencyRecall,24.5,41.2,74.875,91.0,0.0
75,3,Lift,0.66605,0.50424,1.61266,2.8182,0.0
75,3,OracleLift,0.64295,0.58542,0.58135,14.4276,0.0
78,1,Recall,13.692297100000001,7.048781,9.7390247,16.390263,53.285715
78,4,DiscoveredLabels,2.2820492,11.115396,51.192313999999996,25.846151,9.564107400000001
78,4,Easiness,9.2631498,41.473698000000006,37.94737,11.3157864,1.0
78,4,Efficiency,3.3,10.23,46.92,38.63,0.0
78,4,FrequencyRecall,14.5,14.1666766,51.851867,55.285729,0.0
78,4,Lift,0.3344,0.24197457,1.23265072,3.25565,0.0
78,4,OracleLift,0.3344,0.73456429,0.36540207,4.5833699999999995,0.0
81,1,Recall,13.846143300000001,7.219512599999999,10.1463387,17.284575,53.285715
81,5,DiscoveredLabels,2.2222239,10.962955999999998,51.358036,26.246913,9.2098772
81,5,Easiness,3.0319155,27.723397,52.755324,16.468073,1.0012766
81,5,Efficiency,0.66,6.93,55.32,36.33,0.0
81,5,FrequencyRecall,5.666661,4.2592575,18.77968,28.1,99.333334
81,5,Lift,0.20679999999999998,0.25171299999999996,1.04983806,2.23149,0.0
81,5,OracleLift,0.20679999999999998,1.1689206,0.28805256999999995,3.1058833,0.0
84,1,Recall,13.9230663,7.2764229,10.504872800000001,17.772375,59.357163
84,6,DiscoveredLabels,2.1547624,10.654764199999999,51.273818,26.023814,9.8928648
84,6,Easiness,0.56459008,19.207637,59.377032,19.306005,1.5846974
84,6,Efficiency,0.33,2.31,48.57,19.8,28.07
84,6,FrequencyRecall,5.0,2.5555572,7.5948249,15.292674,70.714313
84,6,Lift,0.6039,0.121344,0.81761506,1.0183809000000001,16.669775
84,6,OracleLift,0.6039,1.702173,0.27725833,1.1513055,15.953025
87,1,Recall,13.9230663,7.308943299999999,10.87804,18.47969,63.357142
87,7,DiscoveredLabels,2.0804619,10.333337100000001,51.264368000000005,26.12645,10.195390199999999
87,7,Easiness,0.37397169999999996,11.273034,69.79078899999999,17.308526,1.2836882
87,7,Efficiency,0.0,1.32,50.51,28.76,18.48
87,7,FrequencyRecall,3.0,0.78125,2.36,11.222224200000001,23.5
87,7,Lift,0.0,0.11820119999999999,0.72379672,1.6538157,13.028400000000001
87,7,OracleLift,0.0,2.9279469999999996,0.28374900000000003,1.5935959,13.028400000000001
90,1,Recall,13.9230663,7.4065043,11.360961999999999,19.05692,64.714284
90,6,DiscoveredLabels,2.0111092999999998,10.1222144,51.755548,26.044449,10.0666641
90,6,Easiness,0.5777782,19.488873,59.549992,19.294436,1.1688888800000001
90,6,Efficiency,0.0,3.96,65.6,23.43,6.27
90,6,FrequencyRecall,5.0,2.8888906,9.3017201,17.02439,73.42859800000001
90,6,Lift,0.0,0.2027696,1.10185581,1.2141158,5.0489999999999995
90,6,OracleLift,0.0,1.6942958000000001,0.34368739,2.0647496000000003,3.861
93,1,Recall,14.153835100000002,7.487804700000001,11.763397,20.032522,64.85714200000001
93,5,DiscoveredLabels,1.9784966,9.9032314,51.860215,26.494635,9.7634447
93,5,Easiness,3.109887,28.406565,52.659358000000005,15.802182,1.001978
93,5,Efficiency,0.99,3.3,54.63,39.64,0.66
93,5,FrequencyRecall,6.66666,4.6296273,21.576277,34.1,100.0
93,5,Lift,0.3003,0.1157822,1.0370606,2.4833548,0.6006
93,5,OracleLift,0.3003,1.1294053,0.30676067,3.1303978,0.6006
96,1,Recall,15.9230634,7.9918695,12.046321,20.837395,64.85714200000001
96,4,DiscoveredLabels,2.1562494,10.2395869,51.447915,26.697919000000002,9.4583385
96,4,Easiness,9.7714441,44.142842,37.142869,8.9428668,1.0
96,4,Efficiency,7.59,20.46,38.34,32.69,0.0
96,4,FrequencyRecall,20.25,17.6111214,56.14819000000001,69.428602,0.0
96,4,Lift,0.7315,0.45735325000000004,1.00492296,3.494284,0.0
96,4,OracleLift,0.67375,0.76995909,0.36430582,5.022325,0.0
99,1,Recall,22.0769014,8.926827,12.280467000000002,20.910565000000002,64.85714200000001
99,3,DiscoveredLabels,2.8989873999999998,11.0909004,50.858597,25.979771999999997,9.1717158
99,3,Easiness,27.4545182,53.454564,18.2727114,1.7281818999999998,1.0
99,3,Efficiency,26.4,37.96,31.72,2.97,0.0
99,3,FrequencyRecall,44.5,52.7,86.875,100.0,0.0
99,3,Lift,0.946825,0.7061918699999999,1.6470668000000002,0.3267,0.0
99,3,OracleLift,0.7441499999999999,0.67716755,0.44165,30.3567,0.0
102,1,Recall,23.692284100000002,10.1056849,12.556074,21.081295,64.85714200000001
102,4,DiscoveredLabels,3.01960872,12.1862762,50.47059,25.421572,8.9019609
102,4,Easiness,9.96875,46.34375,37.0,6.7075,1.0
102,4,Efficiency,6.93,47.91,37.33,6.93,0.0
102,4,FrequencyRecall,25.5,25.666669000000002,60.333373,72.428599,0.0
102,4,Lift,0.6424,1.0294591800000001,1.01666568,1.0032,0.0
102,4,OracleLift,0.3608,1.0948489,0.24322464,6.1160000000000005,0.0
105,1,Recall,23.692284100000002,10.3089357,12.992655,21.861779000000002,64.85714200000001
