Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.6153848,0.43089423999999993,0.58292678,0.0,0.0
3,3,DiscoveredLabels,2.666664,17.666649,79.666687,0.0,0.0
3,3,Easiness,17.3913,43.4783,34.7826,4.34783,1.0
3,3,Efficiency,2.64,17.49,79.26,0.0,0.0
3,3,FrequencyRecall,2.0,5.3,29.875,0.0,0.0
3,3,Lift,0.1518,0.40227,2.278725,0.0,0.0
3,3,OracleLift,0.5692499999999999,0.53889,1.4740125,2.2011,4.95
6,1,Recall,0.9230768,0.5691062,1.190242,0.24390248,0.0
6,4,DiscoveredLabels,2.0000020000000003,11.666675,81.333333,5.000007999999999,0.0
6,4,Easiness,7.14286,32.1429,48.2143,12.5,1.0
6,4,Efficiency,1.32,5.61,82.68,9.9,0.0
6,4,FrequencyRecall,1.0,0.9444452,9.2222177,4.28571,0.0
6,4,Lift,0.1848,0.1745339,1.71484288,0.792,0.0
6,4,OracleLift,0.6006,0.3490676,1.2492145,1.4784,4.95
9,1,Recall,1.076923,0.73983816,1.5487792999999999,1.1463421200000001,1.3571422000000002
9,5,DiscoveredLabels,1.555554,10.111101,70.55558300000001,15.666651000000002,2.1111090000000003
9,5,Easiness,2.67857,24.1071,52.6786,17.8571,2.67857
9,5,Efficiency,0.66,6.93,48.54,36.63,6.27
9,5,FrequencyRecall,0.666666,0.7777769999999999,2.4915276,5.55,6.333333
9,5,Lift,0.2464,0.28746689999999997,0.92143698,2.05128,2.3408
9,5,OracleLift,1.6016,0.5064893,0.72173578,1.6447200000000002,5.6672
12,1,Recall,1.2307692000000001,0.81300884,1.9829265,1.4634155000000002,6.4999991999999995
12,6,DiscoveredLabels,1.3333336,8.333340399999999,67.74999700000001,15.000010999999999,7.583334099999999
12,6,Easiness,0.49751200000000007,17.9104,57.7114,20.398,3.48259
12,6,Efficiency,0.66,2.97,58.91,12.87,23.76
12,6,FrequencyRecall,2.0,0.2500002,1.53448427,0.9512184,10.285704
12,6,Lift,1.3266,0.165825,1.0207679,0.6309426,6.8225096
12,6,OracleLift,10.6128,0.350075,0.7787014000000001,0.9383251,6.727751099999999
15,1,Recall,1.3076923,0.8617893200000001,2.3390236,2.65853516,6.4999991999999995
15,7,DiscoveredLabels,1.1333331,7.0666588,63.933332,21.8000069,6.066665899999999
15,7,Easiness,0.343643,10.9966,68.7285,18.5567,1.3745699999999998
15,7,Efficiency,0.33,1.98,48.39,48.58,0.0
15,7,FrequencyRecall,1.0,0.1875,0.73,2.7222201999999998,0.0
15,7,Lift,0.9603,0.1800564,0.7040744999999999,2.6179235999999997,0.0
15,7,OracleLift,3.8412,0.8102538,0.6249225,1.8861102,7.922475
18,1,Recall,1.4615385,0.9837404000000001,2.6365844,3.2601621,12.714277
18,6,DiscoveredLabels,1.055556,6.7222230000000005,60.055558,22.277772,9.888883
18,6,Easiness,0.514949,18.13635,57.686886,20.510117,3.171714
18,6,Efficiency,0.66,4.95,40.31,24.42,28.71
18,6,FrequencyRecall,4.0,0.6666672,2.58620932,2.7560957999999998,22.714263000000003
18,6,Lift,1.3068,0.27225,0.69909782,1.1928948,8.8520192
18,6,OracleLift,6.534000000000001,0.41745,0.58453062,1.3040729999999998,8.602820900000001
21,1,Recall,1.4615385,1.1138214,2.9219513,3.60162568,21.6428548
