Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.3076924,0.43089423999999993,0.57560972,0.05691056,0.0
3,3,DiscoveredLabels,1.333332,17.666649,78.66668800000001,2.333331,0.0
3,3,Easiness,1.0,1.0,4.34783,1.0,95.6522
3,3,Efficiency,1.32,17.49,78.24,2.31,0.0
3,3,FrequencyRecall,,,236.0,,0.0
3,3,Lift,1.32,17.49,17.9952,2.31,0.0
3,3,OracleLift,1.32,17.49,17.9952,2.31,0.0
6,1,Recall,0.3076924,0.60975648,1.2073150000000001,0.21138208,0.0
6,4,DiscoveredLabels,0.6666679999999999,12.500013,82.499994,4.333341999999999,0.0
6,4,Easiness,1.0,1.0,1.0,1.78571,98.21430000000001
6,4,Efficiency,0.0,7.26,86.06,6.27,0.0
6,4,FrequencyRecall,0.0,,,19.0,0.0
6,4,Lift,0.0,7.26,86.06,3.5112,0.0
6,4,OracleLift,0.0,7.26,86.06,3.5112,0.0
9,1,Recall,0.4615386,0.69918768,1.5999992,1.13008244,0.9285718
9,5,DiscoveredLabels,0.666666,9.555546,72.888916,15.444429,1.444443
9,5,Easiness,1.0,1.78571,1.0,1.0,98.21430000000001
9,5,Efficiency,0.66,3.63,53.13,37.29,4.29
9,5,FrequencyRecall,,5.5,,,0.11818182999999999
9,5,Lift,0.66,2.0328,53.13,37.29,0.043680000000000004
9,5,OracleLift,0.66,2.0328,53.13,37.29,0.043680000000000004
12,1,Recall,0.4615386,0.76422832,1.9853652,1.40650508,8.07143
12,6,DiscoveredLabels,0.4999998,7.8333392,67.833333,14.416680300000001,9.416668
12,6,Easiness,1.0,2.98507,1.0,1.0,97.0149
12,6,Efficiency,0.0,2.64,52.19,11.22,33.0
12,6,FrequencyRecall,0.0,1.3333359999999999,,,0.5128208999999999
12,6,Lift,0.0,0.8844,52.19,11.22,0.340154
12,6,OracleLift,0.0,0.8844,52.19,11.22,0.340154
15,1,Recall,0.4615386,0.8292687999999999,2.1780477,3.1138186,8.2857148
15,7,DiscoveredLabels,0.4000002,6.799995,59.53333,25.533339,7.7333316000000005
15,7,Easiness,1.0,1.3745699999999998,0.343643,0.343643,97.93810000000002
15,7,Efficiency,0.0,2.64,26.11,69.5,0.99
15,7,FrequencyRecall,0.0,2.0,79.0,210.0,0.010526309999999999
15,7,Lift,0.0,1.9206,75.98010000000001,202.245,0.010108410000000002
15,7,OracleLift,0.0,1.9206,74.0595,202.245,0.016847349999999997
18,1,Recall,0.4615386,0.9756103199999999,2.5073164,3.4959331,15.4285608
18,6,DiscoveredLabels,0.3333336,6.6666664,57.11111700000001,23.88889,11.9999928
18,6,Easiness,1.0,3.0302999999999995,1.0,1.0,96.96970000000002
18,6,Efficiency,0.0,5.94,44.57,15.52,33.0
