Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,5.727273299999999,6.405409,0.0,0.0
3,3,DiscoveredLabels,0.0,20.999979000000003,79.000021,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,20.79,78.58,0.0,0.0
3,3,FrequencyRecall,0.0,20.999979000000003,79.000021,0.0,0.0
3,3,Lift,0.0,0.41580000000000006,1.5715999999999999,0.0,0.0
3,3,OracleLift,0.0,0.41580000000000006,1.5715999999999999,0.0,0.0
6,1,Recall,6.0,7.454543599999999,12.567555,1.3333328,10.333323
6,4,DiscoveredLabels,1.0000019999999998,13.666680999999999,77.50000200000001,2.6666719999999997,5.166677
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,1.98,6.27,75.52,5.28,10.23
6,4,FrequencyRecall,6.0,6.333327000000001,45.6,16.0,31.0
6,4,Lift,0.21780000000000002,0.2299,1.66144,0.5808,1.1253
6,4,OracleLift,0.21780000000000002,0.2299,1.66144,0.5808,1.1253
9,1,Recall,6.0,9.090904799999999,16.081065000000002,14.0000153,10.333323
9,5,DiscoveredLabels,0.666666,11.1111,66.111135,18.666648,3.444441
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,5.94,42.9,50.21,0.0
9,5,FrequencyRecall,0.0,9.0,18.57141,50.666663,0.0
9,5,Lift,0.0,0.3564,0.7354291000000001,2.0084,0.0
9,5,OracleLift,0.0,0.3564,0.7354291000000001,2.0084,0.0
12,1,Recall,6.0,9.6363588,21.594573,18.5833387,22.000009
12,6,DiscoveredLabels,0.4999998,8.8333394,66.58333400000001,18.5833387,5.500010199999999
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,1.98,67.75,18.15,11.55
12,6,FrequencyRecall,0.0,6.0,20.4,18.333321,35.0
12,6,Lift,0.0,0.29700000000000004,1.01625,0.9075,1.7325
12,6,OracleLift,0.0,0.29700000000000004,1.01625,0.9075,1.7325
15,1,Recall,6.0,9.999994999999998,26.945919,26.7500113,22.000009
15,7,DiscoveredLabels,0.4000002,7.333328,66.466665,21.399988699999998,4.399989799999999
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,1.32,65.71,32.38,0.0
15,7,FrequencyRecall,0.0,2.0,16.5000083,19.6,0.0
15,7,Lift,0.0,0.132,1.0951679,1.2952000000000001,0.0
15,7,OracleLift,0.0,0.132,1.0951679,1.2952000000000001,0.0
18,1,Recall,6.0,10.5454486,31.297266,35.500001000000005,31.333333000000003
