Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,6.636364299999999,6.135139000000001,0.0,0.0
3,3,DiscoveredLabels,0.0,24.333309,75.666691,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,24.09,75.18,0.0,0.0
3,3,FrequencyRecall,0.0,26.166646,77.916682,0.0,0.0
3,3,Lift,0.0,0.4818,1.5036,0.0,0.0
3,3,OracleLift,0.0,0.4818,1.5036,0.0,0.0
6,1,Recall,2.0,7.4545444,12.567555,0.7499997,13.999986000000002
6,4,DiscoveredLabels,0.33333399999999996,13.666685,77.49999700000001,1.5000029999999998,7.000014
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,0.66,2.97,78.92,2.97,13.86
6,4,FrequencyRecall,2.0,2.999997,52.223816,9.0,42.0
6,4,Lift,0.0726,0.10890000000000001,1.73624,0.3267,1.5246000000000002
6,4,OracleLift,0.0726,0.10890000000000001,1.7960800000000001,0.3267,1.2342
9,1,Recall,2.0,9.909087199999998,15.891876,13.2500162,13.999986000000002
9,5,DiscoveredLabels,0.222222,12.111099000000001,65.333362,17.666649,4.666662
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,8.91,40.59,49.53,0.0
9,5,FrequencyRecall,0.0,15.000003000000001,20.882923,50.416662,2.0
9,5,Lift,0.0,0.5346,0.69582898,1.9812,0.0
9,5,OracleLift,0.0,0.5346,0.7710864000000001,1.7832,0.66
12,1,Recall,2.0,10.818176199999998,21.432411000000002,17.3333402,26.000008
12,6,DiscoveredLabels,0.1666666,9.9166746,66.08333400000001,17.3333402,6.500011
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,3.3,68.07,16.17,11.88
12,6,FrequencyRecall,0.0,10.0,24.549988,16.333317,36.0
12,6,Lift,0.0,0.495,1.02105,0.8085,1.7820000000000003
12,6,OracleLift,0.0,0.495,1.0854000000000001,0.7755,1.2375
15,1,Recall,2.0,11.6363569,26.945919,24.583347,26.000008
15,7,DiscoveredLabels,0.1333334,8.5333263,66.466678,19.666653,5.1999889999999995
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,2.97,67.67,28.71,0.0
15,7,FrequencyRecall,0.0,4.5,18.8534827,17.799999,9.5
15,7,Lift,0.0,0.297,1.1278345,1.1484,0.0
15,7,OracleLift,0.0,0.297,1.0825009,1.0032,1.254
18,1,Recall,2.0,12.5454465,31.324293,32.750007000000004,36.00000000000001
18,6,DiscoveredLabels,0.1111112,7.666668,64.388894,21.833337,5.9999976
18,6,Easiness,1.0,7.599996999999999,66.249993,20.916683,5.6933312
18,6,Efficiency,0.0,3.3,53.49,32.34,9.9
18,6,FrequencyRecall,0.0,20.0,39.399988,49.249996,67.0
18,6,Lift,0.0,0.396,0.8037215999999999,1.551,1.188
18,6,OracleLift,0.0,0.396,0.92310036,1.3464,1.7424000000000002
21,1,Recall,2.0,15.7272605,36.270234,39.583328,36.00000000000001
21,5,DiscoveredLabels,0.09523799999999999,8.2380915,63.904789,22.619025299999997,5.142855599999999
21,5,Easiness,1.0,19.222203,64.111147,16.696649999999998,1.0
21,5,Efficiency,0.0,11.55,60.51,27.06,0.0
21,5,FrequencyRecall,0.0,31.833335,46.148804,77.500005,16.0
21,5,Lift,0.0,0.60885,0.94793565,1.7820000000000003,0.0
21,5,OracleLift,0.0,0.60885,0.9182356500000001,1.47015,5.28
24,1,Recall,13.0,19.4545281,39.675636,45.333335,53.66667600000001
24,4,DiscoveredLabels,0.5416671,8.9166671,61.166664,22.666665899999998,6.708332400000001
24,4,Easiness,12.27,36.375,32.75,11.465,7.67
24,4,Efficiency,3.63,13.53,41.58,22.77,17.49
24,4,FrequencyRecall,13.0,17.499985000000002,74.695241,78.0,95.0
24,4,Lift,0.29040000000000005,0.3608,1.232,1.8215999999999999,1.3992000000000002
24,4,OracleLift,0.29040000000000005,0.3608,1.5861334999999999,1.2936,1.0824
27,1,Recall,13.0,40.090875000000004,41.378346,45.333335,53.66667600000001
27,3,DiscoveredLabels,0.495726,16.400271,56.925946,20.193716300000002,5.9843308
27,3,Easiness,1.0,75.666691,24.603309,1.0,1.0
27,3,Efficiency,0.0,78.58,20.79,0.0,0.0
27,3,FrequencyRecall,0.0,100.0,96.66667,0.0,0.0
27,3,Lift,0.0,1.0437,0.6236999999999999,0.0,0.0
27,3,OracleLift,0.0,1.0437,0.6236999999999999,0.0,0.0
30,1,Recall,70.0,52.636373999999996,43.486459,47.166663,55.333344000000004
30,4,DiscoveredLabels,2.3448260000000003,19.373569,53.818383000000004,18.912640999999997,5.5505759
30,4,Easiness,17.53,50.0,27.23,5.18,1.95
30,4,Efficiency,18.81,45.54,25.74,7.26,1.65
30,4,FrequencyRecall,70.0,64.583342,88.599998,100.0,100.0
30,4,Lift,0.9405,0.9075,0.8909999999999999,0.363,0.0825
30,4,OracleLift,0.9405,0.9075,0.8909999999999999,0.363,0.0825
33,1,Recall,70.0,58.272757,48.405396,51.833346,55.333344000000004
33,5,DiscoveredLabels,2.13068,19.489566,54.439409999999995,18.895816,5.0445091
33,5,Easiness,1.0,23.060002,65.666667,11.823339,1.0
33,5,Efficiency,0.0,20.46,60.2,18.48,0.0
33,5,FrequencyRecall,0.0,62.33333400000001,70.464312,96.16667,22.0
33,5,Lift,0.0,0.9009,0.9178499999999999,0.8712000000000001,0.0
33,5,OracleLift,0.0,0.9009,0.82851,0.8514,7.26
36,1,Recall,70.0,59.090944,52.945963,59.250003,66.6667
36,6,DiscoveredLabels,1.952382,18.110319,54.568259,19.79762,5.571433
36,6,Easiness,1.0,9.08888,70.333363,17.009983,4.437774
36,6,Efficiency,0.0,2.97,55.54,29.37,11.22
36,6,FrequencyRecall,0.0,29.0,56.155263999999995,78.91667699999999,100.0
36,6,Lift,0.0,0.2673,0.77615958,1.8414000000000001,1.0098
36,6,OracleLift,0.0,0.2673,0.82419343,1.3662,5.240399999999999
39,1,Recall,70.0,60.454582,55.324349999999995,75.083336,69.000031
39,7,DiscoveredLabels,1.801618,17.101202,52.620789,23.153823,5.322541599999999
39,7,Easiness,1.0,11.2352885,58.588239,24.29414,5.88235
39,7,Efficiency,0.0,4.95,29.06,62.81,2.31
39,7,FrequencyRecall,0.0,12.0,25.7692288,57.300004,12.0
39,7,Lift,0.0,0.42075,0.5009335,2.7098001,0.39270000000000005
39,7,OracleLift,0.0,0.42075,0.54029814,2.5583301,0.6732
42,1,Recall,70.0,63.181852,61.162201,79.583332,69.000031
42,6,DiscoveredLabels,1.672472,16.592921999999998,54.006395000000005,22.786877,4.9413434
42,6,Easiness,1.0,12.123356999999999,77.499996,11.126678,1.0
42,6,Efficiency,0.0,9.9,71.58,17.82,0.0
42,6,FrequencyRecall,0.0,59.0,75.490911,96.66667,100.0
42,6,Lift,0.0,0.594,0.9135800000000001,0.9207,0.0
42,6,OracleLift,0.0,0.594,0.7691,0.8909999999999999,11.88
45,1,Recall,70.0,70.09093899999999,66.891925,80.583331,69.000031
45,5,DiscoveredLabels,1.5606050000000002,17.174762,55.121218,21.532309,4.611107100000001
45,5,Easiness,1.0,25.733324000000003,70.666672,4.879996,1.0
45,5,Efficiency,0.0,25.08,70.32,3.96,0.0
45,5,FrequencyRecall,0.0,100.0,100.0,100.0,31.0
45,5,Lift,0.0,0.594,0.9936,0.11879999999999999,0.0
45,5,OracleLift,0.0,0.594,0.87115,0.099,11.22
48,1,Recall,100.0,75.63638800000001,68.45949100000001,80.583331,69.000031
48,4,DiscoveredLabels,2.1560785,17.924433,54.602719,20.851426999999997,4.4653012
48,4,Easiness,15.7,56.12,29.42,1.0,1.0
48,4,Efficiency,15.0,42.5,42.5,0.0,0.0
48,4,FrequencyRecall,100.0,83.75001400000001,100.0,100.0,100.0
48,4,Lift,0.3,0.61,0.85,0.0,0.0
48,4,OracleLift,0.3,0.61,0.85,0.0,0.0
51,1,Recall,100.0,79.363657,75.189214,81.41666599999999,69.000031
51,6,DiscoveredLabels,2.0250692,17.667148,56.327943,19.785995,4.1938429
51,6,Easiness,1.0,14.256653000000002,83.00001700000001,4.2333300000000005,1.0
51,6,Efficiency,0.0,13.53,82.66,3.3,0.0
51,6,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
51,6,Lift,0.0,0.4059,0.9948999999999999,0.099,0.0
51,6,OracleLift,0.0,0.4059,0.8511,0.099,11.88
54,1,Recall,100.0,79.909111,80.21623600000001,89.583353,72.33336100000001
54,7,DiscoveredLabels,1.9090679,16.769699,56.653612,20.523584999999997,4.1439963
54,7,Easiness,1.0,12.5714184,64.857152,15.9585734,6.7128598
54,7,Efficiency,0.0,1.98,61.64,32.4,3.3
54,7,FrequencyRecall,0.0,15.0,41.926182,75.0,25.0
54,7,Lift,0.0,0.1848,0.94089165,1.7922802000000002,0.462
54,7,OracleLift,0.0,0.1848,1.01375176,1.3519801,1.0626
57,1,Recall,100.0,81.636382,86.32433800000001,93.25001,76.000024
57,7,DiscoveredLabels,1.8056367,16.205272,57.662488,20.209138,4.1174721
57,7,Easiness,1.0,15.4745326,65.636388,11.5036314,7.7154552999999995
57,7,Efficiency,0.0,6.27,74.97,14.52,3.63
57,7,FrequencyRecall,0.0,24.833334,59.949634,83.8,30.5
57,7,Lift,0.0,0.34485,1.12146572,1.0648,0.3993
57,7,OracleLift,0.0,0.34485,1.11660411,0.8681749999999999,2.9997
60,1,Recall,100.0,87.000013,90.783793,98.750005,79.333354
60,7,DiscoveredLabels,1.7128472,16.383196,57.527879999999996,20.298722,4.0773947
60,7,Easiness,1.0,18.895,62.0,10.485,9.28
60,7,Efficiency,0.0,19.47,54.61,21.78,3.3
60,7,FrequencyRecall,0.0,54.666668,73.061363,97.0,38.0
60,7,Lift,0.0,1.0296,0.8612323000000001,1.4520000000000002,0.264
60,7,OracleLift,0.0,1.0296,0.9225923,1.1616000000000002,0.3168
63,1,Recall,100.0,94.18182399999999,95.94595000000001,99.50000200000001,86.33334699999999
63,7,DiscoveredLabels,1.6291174000000002,16.86863,57.828772,19.451563,4.2218408
63,7,Easiness,1.0,18.68,66.2,3.85,12.78
63,7,Efficiency,0.0,26.07,63.2,2.97,6.93
63,7,FrequencyRecall,0.0,94.000001,88.704218,98.8,61.0
63,7,Lift,0.0,1.023,0.9455,0.1485,0.3465
63,7,OracleLift,0.0,1.023,0.90425,0.1485,1.4025
66,1,Recall,100.0,95.36364099999999,99.72973,100.0,100.0
66,7,DiscoveredLabels,1.577708,16.542705,58.213957,18.932496,4.733125
66,7,Easiness,1.0,7.37,70.0,3.94,21.09
66,7,Efficiency,0.0,6.5,70.0,3.0,20.5
66,7,FrequencyRecall,0.0,100.0,100.0,100.0,100.0
66,7,Lift,0.0,0.13,1.0,0.06,0.41
66,7,OracleLift,0.0,0.13,1.12,0.06,0.29
