Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,6.0909097,6.297301,0.0,0.0
3,3,DiscoveredLabels,0.0,22.333311,77.666689,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,22.11,77.22,0.0,0.0
3,3,FrequencyRecall,0.0,22.333311,77.666689,0.0,0.0
3,3,Lift,0.0,0.4422,1.5444,0.0,0.0
3,3,OracleLift,0.0,0.66,0.66,33.0,0.0
6,1,Recall,7.0,7.272726799999999,12.567555,1.0833329,11.666655
6,4,DiscoveredLabels,1.166669,13.333354,77.49999299999999,2.1666709999999996,5.833345
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,2.31,4.29,76.88,4.29,11.55
6,4,FrequencyRecall,7.0,4.333329,46.4,13.0,35.0
6,4,Lift,0.2541,0.1573,1.69136,0.4719,1.2705
6,4,OracleLift,0.2541,1.1253,0.726,3.63,0.0
9,1,Recall,7.0,17.0908946,14.540526,11.0000063,11.666655
9,5,DiscoveredLabels,0.777777,20.888868000000002,59.777814,14.666652000000001,3.888885
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,35.64,24.09,39.27,0.0
9,5,FrequencyRecall,0.0,54.0,10.428561,39.666646,0.0
9,5,Lift,0.0,2.1384,0.41297124,1.5708000000000002,0.0
9,5,OracleLift,0.0,3.7421999999999995,0.062228540000000006,1.32,0.0
12,1,Recall,7.0,18.7272559,18.783765000000002,20.916682499999997,13.666653000000002
12,6,DiscoveredLabels,0.5833330999999999,17.166684699999998,57.916664,20.916682499999997,3.4166653
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,5.94,51.86,39.27,1.98
12,6,FrequencyRecall,0.0,18.0,15.7,39.666651,6.0
12,6,Lift,0.0,0.8910000000000001,0.7779,1.9635,0.29700000000000004
12,6,OracleLift,0.0,4.95,0.46035,1.7654999999999998,0.0
15,1,Recall,7.0,19.9999817,25.864839000000003,22.9166796,13.666653000000002
15,7,DiscoveredLabels,0.46666690000000005,14.6666519,63.799999,18.3333204,2.7333347
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,4.62,87.08,7.92,0.0
15,7,FrequencyRecall,0.0,7.0,21.833346000000002,4.8,0.0
15,7,Lift,0.0,0.46199999999999997,1.4513354,0.31679999999999997,0.0
15,7,OracleLift,0.0,2.805,0.5995,1.3992000000000002,0.0
18,1,Recall,7.0,21.8181608,31.918886999999998,27.166669000000002,15.333318000000002
18,6,DiscoveredLabels,0.3888892,13.3333428,65.611115,18.111126,2.5555575999999998
18,6,Easiness,1.0,7.013330600000001,70.25001400000001,15.083356199999999,7.8933302
18,6,Efficiency,0.0,6.6,74.22,16.83,1.65
18,6,FrequencyRecall,0.0,38.0,38.1,56.666674,11.0
18,6,Lift,0.0,0.792,1.053404,1.0758,0.198
18,6,OracleLift,0.0,9.6624,0.30501428,2.8182,0.11879999999999999
21,1,Recall,7.0,29.818152,35.540505,33.666658000000005,15.333318000000002
21,5,DiscoveredLabels,0.333333,15.619033300000002,62.619085000000005,19.238076,2.190474
21,5,Easiness,1.0,10.362212,69.666697,20.111091000000002,1.0
21,5,Efficiency,0.0,29.04,44.28,25.74,0.0
21,5,FrequencyRecall,0.0,98.0,29.571399,65.666691,0.0
21,5,Lift,0.0,2.45025,0.62616827,1.26225,0.0
