Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,6.0909097,6.297301,0.0,0.0
3,3,DiscoveredLabels,0.0,22.333311,77.666689,0.0,0.0
3,3,Easiness,1.0,50.0,50.0,1.0,1.0
3,3,Efficiency,0.0,22.11,77.22,0.0,0.0
3,3,FrequencyRecall,0.0,22.333311,77.666689,0.0,0.0
3,3,Lift,0.0,0.4422,1.5444,0.0,0.0
3,3,OracleLift,10.56,0.34980000000000006,1.213,7.92,2.64
6,1,Recall,8.0,9.1818153,11.8918815,0.6666664,14.333319000000001
6,4,DiscoveredLabels,1.3333359999999999,16.833347999999997,73.333331,1.3333359999999999,7.166681
6,4,Easiness,9.09091,27.2727,45.45450000000001,9.09091,9.09091
6,4,Efficiency,2.64,11.22,68.53,2.64,14.19
6,4,FrequencyRecall,8.0,11.333322,41.4,8.0,43.0
6,4,Lift,0.2904,0.4114,1.50766,0.2904,1.5609
6,4,OracleLift,0.8349,0.484,1.08416,1.4157,1.7787
9,1,Recall,8.0,11.9090842,14.891877,13.9166851,14.333319000000001
9,5,DiscoveredLabels,0.888888,14.555541,61.222239,18.555537,4.777773
9,5,Easiness,1.0,16.6667,58.3333,25.0,1.0
9,5,Efficiency,0.0,9.9,36.63,52.5,0.0
9,5,FrequencyRecall,0.0,15.0,15.857127,53.00000300000001,0.0
9,5,Lift,0.0,0.594,0.62794308,2.1,0.0
9,5,OracleLift,3.63,0.5544,0.59468604,1.5576,12.54
12,1,Recall,8.0,12.181811499999998,19.648629,20.583337,28.000003000000003
12,6,DiscoveredLabels,0.6666664,11.1666715,60.583330000000004,20.583337,7.000009599999999
12,6,Easiness,1.0,6.66667,66.6667,20.0,6.66667
12,6,Efficiency,0.0,0.99,58.28,26.4,13.53
12,6,FrequencyRecall,0.0,3.0,17.6,26.666651,41.0
12,6,Lift,0.0,0.14850000000000002,0.8742,1.32,2.0295
12,6,OracleLift,2.64,1.0395,0.6692999999999999,1.452,2.3760000000000003
15,1,Recall,8.0,12.7272652,24.324300000000004,29.916675599999998,31.000003000000003
15,7,DiscoveredLabels,0.5333336,9.333328400000001,60.000004,23.9333244,6.199990399999999
15,7,Easiness,1.0,10.0,60.0,25.0,5.0
15,7,Efficiency,0.0,1.98,57.37,37.01,2.97
15,7,FrequencyRecall,0.0,3.0,14.4166749,22.4,9.0
15,7,Lift,0.0,0.19799999999999998,0.9561676000000001,1.4804,0.594
15,7,OracleLift,1.65,0.495,0.8493338,1.2144000000000001,2.2439999999999998
18,1,Recall,8.0,14.1818084,29.378349000000004,37.083329,34.666666
18,6,DiscoveredLabels,0.4444448,8.6666664,60.388895000000005,24.722213999999997,5.777778
18,6,Easiness,1.0,8.1133301,68.666672,18.333352299999998,5.3266647
18,6,Efficiency,0.0,5.28,61.85,28.38,3.63
18,6,FrequencyRecall,0.0,19.0,36.3,55.333344000000004,52.0
18,6,Lift,0.0,0.6335999999999999,0.8981708999999999,1.4718,0.43560000000000004
18,6,OracleLift,3.3,1.4652,0.689896,1.221,5.3724
21,1,Recall,8.0,18.090893899999998,34.432398000000006,42.91666,34.666666
21,5,DiscoveredLabels,0.38095199999999996,9.4761839,60.666683000000006,24.5237855,4.9523788
21,5,Easiness,1.0,18.88887,65.444479,15.696651000000001,1.0
21,5,Efficiency,0.0,14.19,61.96,23.1,0.0
21,5,FrequencyRecall,0.0,36.5,42.571414999999995,76.333345,0.0
21,5,Lift,0.0,0.8761500000000001,0.9566828599999999,1.4107500000000002,0.0
