Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,5.272727799999999,6.540544,0.0,0.0
3,3,DiscoveredLabels,0.0,19.333314,80.666686,0.0,0.0
3,3,Easiness,1.0,1.0,33.3333,1.0,66.6667
3,3,Efficiency,0.0,19.14,80.28,0.0,0.0
3,3,FrequencyRecall,0.0,,121.0,0.0,0.0
3,3,Lift,0.0,19.14,2.4084,0.0,0.0
3,3,OracleLift,0.0,19.14,2.4084,0.0,0.0
6,1,Recall,8.0,6.727271199999999,12.486474000000001,1.1666661999999999,13.999986000000002
6,4,DiscoveredLabels,1.3333359999999999,12.333346999999998,77.000006,2.333338,7.000014
6,4,Easiness,1.0,1.0,1.0,9.09091,90.9091
6,4,Efficiency,2.64,5.28,72.8,4.62,13.86
6,4,FrequencyRecall,,,,14.0,4.2
6,4,Lift,2.64,5.28,72.8,0.5082,0.15245999999999998
6,4,OracleLift,2.64,0.99,72.8,0.5082,0.19965
9,1,Recall,8.0,9.636359399999998,15.756741,13.4166813,13.999986000000002
9,5,DiscoveredLabels,0.888888,11.777766000000002,64.777798,17.888871,4.666662
9,5,Easiness,1.0,1.0,1.0,8.33333,91.6667
9,5,Efficiency,0.0,10.56,39.93,48.61,0.0
9,5,FrequencyRecall,0.0,,,147.0,0.0
9,5,Lift,0.0,10.56,39.93,5.833200000000001,0.0
9,5,OracleLift,0.0,10.56,39.93,5.833200000000001,0.0
12,1,Recall,8.0,10.363630599999999,20.621601000000002,18.500004999999998,31.000011000000004
12,6,DiscoveredLabels,0.6666664,9.5000048,63.583337,18.500004999999998,7.750013699999999
12,6,Easiness,1.0,6.66667,13.3333,1.0,80.0
12,6,Efficiency,0.0,2.64,59.72,20.13,16.83
12,6,FrequencyRecall,0.0,8.0,90.0,,4.249998300000001
12,6,Lift,0.0,0.396,4.479,20.13,0.21037499999999998
12,6,OracleLift,0.0,0.396,4.479,20.13,0.21037499999999998
15,1,Recall,8.0,10.9090847,25.081056,29.000013399999997,32.00001
15,7,DiscoveredLabels,0.5333336,7.9999959,61.866665000000005,23.199986600000003,6.3999864
15,7,Easiness,1.0,15.0,1.0,1.0,85.0
15,7,Efficiency,0.0,1.98,54.69,41.64,0.99
15,7,FrequencyRecall,0.0,1.999998,,,0.1764705
15,7,Lift,0.0,0.132,54.69,41.64,0.01164705
15,7,OracleLift,0.0,0.132,54.69,41.64,0.01164705
18,1,Recall,8.0,11.0909025,29.513484000000002,38.583335000000005,38.333337
18,6,DiscoveredLabels,0.4444448,6.77778,60.666666000000006,25.722220000000004,6.3888856
18,6,Easiness,1.0,8.0399968,16.5000326,1.0,75.49999799999999
