Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.15217384,0.41503246000000005,0.07608692,0.19047599999999998
3,3,DiscoveredLabels,0.0,9.333324,84.666682,4.666662,1.333332
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,0.0,9.24,84.36,4.62,1.32
3,3,FrequencyRecall,0.0,4.666676,19.538442,3.5,4.0
3,3,Lift,0.0,0.385,1.622309,0.28875,0.33
3,3,OracleLift,0.0,0.385,1.622309,0.28875,0.33
6,1,Recall,0.0,0.27173932,0.82026124,0.19565224,0.5714284
6,4,DiscoveredLabels,0.0,8.333342,83.66666,6.000008,2.0
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,0.0,7.26,82.38,7.26,2.64
6,4,FrequencyRecall,0.0,1.047618,6.702705599999999,3.142854,8.0
6,4,Lift,0.0,0.2316292,1.49174756,0.6948854,1.7688
6,4,OracleLift,0.0,0.2316292,1.49174756,0.6948854,1.7688
9,1,Recall,0.1,0.36956567999999995,1.04901924,0.89130476,1.1428562
9,5,DiscoveredLabels,0.222222,7.555548,71.33335600000001,18.222204,2.666664
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,0.66,5.94,46.2,42.24,3.96
9,5,FrequencyRecall,0.666666,0.5142852,1.6091976,7.529408,3.0
9,5,Lift,0.3212,0.24778260000000002,0.7753119600000001,3.6276736,1.4454
9,5,OracleLift,0.3212,0.24778260000000002,0.7753119600000001,3.6276736,1.4454
12,1,Recall,0.1,0.4021742,1.1405226800000001,2.07608436,2.0952368
12,6,DiscoveredLabels,0.1666666,6.16667,58.166662,31.8333246,3.6666684
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,0.0,1.98,18.48,72.26,6.6
12,6,FrequencyRecall,0.0,0.1034484,0.31111136,4.36,3.333336
12,6,Lift,0.0,0.1027554,0.30902648,4.350052,3.3110000000000004
12,6,OracleLift,0.0,0.1027554,0.30902648,4.350052,3.3110000000000004
15,1,Recall,0.1,0.4130436,1.2352944000000001,3.336957,2.4761882
15,7,DiscoveredLabels,0.1333334,5.066664,50.399998,40.933336,3.4666669999999997
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,0.0,0.66,19.14,76.94,2.64
15,7,FrequencyRecall,0.0,0.03125,0.19661014,2.18867836,0.888888
15,7,Lift,0.0,0.049706200000000006,0.31272784000000003,3.4985916,1.413864
15,7,OracleLift,0.0,0.049706200000000006,0.31272784000000003,3.4985916,1.413864
18,1,Recall,0.3,0.50000044,1.32679822,4.5434778,2.571426
18,6,DiscoveredLabels,0.3333336,5.1111108000000005,45.11109999999999,46.444442,3.000004
18,6,Easiness,2.34899,19.442964000000003,60.214764,16.046989999999997,1.9463059999999999
18,6,Efficiency,1.32,5.28,18.5,73.54,0.66
18,6,FrequencyRecall,0.571428,0.3793108,0.62222208,8.8,3.66667
18,6,Lift,0.561944,0.2724728,0.30731706,4.5889278000000004,0.32780000000000004
18,6,OracleLift,0.561944,0.2724728,0.30731706,4.5889278000000004,0.32780000000000004
21,1,Recall,0.5,0.59782624,1.59150464,5.097824999999999,3.2380923999999998
21,5,DiscoveredLabels,0.47619,5.238092,46.380932,44.66665,3.2380923999999998
21,5,Easiness,2.083914,24.349625999999997,59.86018,10.992996,2.713284
21,5,Efficiency,1.32,5.94,53.56,33.66,4.62
21,5,FrequencyRecall,1.999998,1.0285712,3.4712653999999996,13.529416999999999,6.5
21,5,Lift,0.6292,0.2458642,0.89589756,3.0830774,1.8876
21,5,OracleLift,0.6292,0.2458642,0.89589756,3.0830774,1.8876
24,1,Recall,0.5,0.72826116,1.8562098,5.706521400000001,3.3333304
24,4,DiscoveredLabels,0.416667,5.5833352000000005,47.333336,43.750002,2.9166681999999997
24,4,Easiness,1.5625,32.46875,53.9375,10.59375,1.5175
24,4,Efficiency,0.0,7.92,53.5,36.96,0.66
24,4,FrequencyRecall,0.0,2.1904744,11.081071200000002,19.142838,10.0
24,4,Lift,0.0,0.24338200000000001,0.99181338,3.4898271999999997,0.4224
24,4,OracleLift,0.0,0.24338200000000001,0.99181338,3.4898271999999997,0.4224
27,1,Recall,0.5,0.9021739599999999,2.166665,6.0108698,4.380948399999999
27,3,DiscoveredLabels,0.37037,6.1481449999999995,49.111108,40.96293,3.4074044
27,3,Easiness,4.54545,25.999988,47.54543,17.545444,4.403632
27,3,Efficiency,0.0,10.56,62.82,18.48,7.26
27,3,FrequencyRecall,0.0,10.000012,34.153812,17.5,26.0
27,3,Lift,0.0,0.40656,1.3212000000000002,1.0285,1.5972
27,3,OracleLift,0.0,0.40656,1.3212000000000002,1.0285,1.5972
30,1,Recall,0.5,1.01086944,2.5000002,6.3369572000000005,5.1428534
30,4,DiscoveredLabels,0.333333,6.199998399999999,50.99999,38.866672,3.5999996
30,4,Easiness,1.63934,33.672118,53.934442,9.2786914,1.575406
30,4,Efficiency,0.0,6.6,67.72,19.8,5.28
30,4,FrequencyRecall,0.0,3.1428556,16.5945786,27.714264,26.0
30,4,Lift,0.0,0.19746568,1.2625083,2.1874599999999997,3.2207999999999997
30,4,OracleLift,0.0,0.19746568,1.2625083,2.1874599999999997,3.2207999999999997
33,1,Recall,0.6,1.0543474,2.6895434,7.0869574,6.857136000000001
33,5,DiscoveredLabels,0.36363599999999996,5.8787866,49.878794,39.515114,4.3636338
33,5,Easiness,2.1000026000000003,24.742852,59.985714,10.500010999999999,2.6714265999999998
33,5,Efficiency,0.66,2.64,38.32,45.62,11.88
33,5,FrequencyRecall,2.666664,1.2571425999999999,4.8045996,21.647068,15.5
33,5,Lift,0.308,0.10637640000000001,0.63954334,4.316158000000001,4.851
33,5,OracleLift,0.308,0.10637640000000001,0.63954334,4.316158000000001,4.851
36,1,Recall,0.6,1.13043388,2.7941190000000002,8.1304356,8.2857062
36,6,DiscoveredLabels,0.3333336,5.7777784,47.499996,41.555558,4.8333316
36,6,Easiness,2.3593208,19.586424,60.637298,15.457612,1.959324
36,6,Efficiency,0.0,4.62,21.12,63.66,9.9
36,6,FrequencyRecall,0.571428,0.6206904,0.9777781600000001,12.64,8.666666
36,6,Lift,0.0,0.2355718,0.34838015999999994,4.1214894,4.9973
36,6,OracleLift,0.0,0.2355718,0.34838015999999994,4.1214894,4.9973
39,1,Recall,0.6,1.1739122,2.9836606,9.0652218,8.4761824
39,7,DiscoveredLabels,0.30769199999999997,5.5384616,46.8205,42.7692,4.5641008
39,7,Easiness,1.6701500000000002,13.357024000000001,61.465551999999995,21.645084,1.8622092000000001
39,7,Efficiency,0.0,2.64,38.36,56.92,1.32
39,7,FrequencyRecall,0.0,0.15625,0.58983056,3.8113188000000005,1.333332
39,7,Lift,0.0,0.1975872,0.6239574600000001,2.6290397999999997,0.702532
39,7,OracleLift,0.0,0.1975872,0.6239574600000001,2.6290397999999997,0.702532
42,1,Recall,0.7,1.23912976,3.1045754,10.1413076,9.1428486
42,6,DiscoveredLabels,0.333333,5.42857,45.238084,44.428556,4.571429599999999
42,6,Easiness,2.3835612,19.739705999999998,61.041095999999996,14.958912,1.8767090000000002
42,6,Efficiency,0.66,3.96,24.42,65.54,4.62
42,6,FrequencyRecall,0.8571420000000001,0.8275872,1.3888892000000002,16.6,11.0
42,6,Lift,0.275314,0.1993656,0.40049608,4.4026274,2.37688
42,6,OracleLift,0.275314,0.1993656,0.40049608,4.4026274,2.37688
45,1,Recall,0.7,1.304347,3.2875815999999998,10.630434000000001,13.238082400000001
45,5,DiscoveredLabels,0.3111108,5.3333318,44.711108,43.466666,6.177783799999999
45,5,Easiness,2.1313855999999998,25.226244,60.45255,9.722633,2.4671538199999996
45,5,Efficiency,0.0,3.96,36.98,29.74,28.38
45,5,FrequencyRecall,2.666664,1.5999998,6.0919552,26.941184,37.0
45,5,Lift,0.0,0.1565252,0.60954626,2.9960538000000003,10.92575
45,5,OracleLift,0.0,0.1565252,0.60954626,2.9960538000000003,10.92575
48,1,Recall,0.7,1.44565148,3.4542494,11.4999986,13.8095108
48,4,DiscoveredLabels,0.29166620000000004,5.541668,44.041658,44.083338000000005,6.0416628
48,4,Easiness,1.7241399999999998,35.068977999999994,53.206891999999996,8.7241278,1.5358636
48,4,Efficiency,0.0,8.58,33.72,52.88,3.96
48,4,FrequencyRecall,0.0,4.3809502,19.3513324,50.571426,38.0
48,4,Lift,0.0,0.24536628,0.63574012,6.2866202,2.2968
48,4,OracleLift,0.0,0.24536628,0.63574012,6.2866202,2.2968
51,1,Recall,0.7,1.89130268,3.5490196,11.967391,17.3333194
51,3,DiscoveredLabels,0.2745092,6.8235288,42.588235999999995,43.176477999999996,7.1372562
51,3,Easiness,5.26316,28.421032,45.052636,17.368426000000003,4.1547384
51,3,Efficiency,0.0,27.06,19.14,28.38,24.42
51,3,FrequencyRecall,0.0,23.666673999999997,38.615346,39.0,100.0
51,3,Lift,0.0,0.9279599999999999,0.40894314000000004,1.5466,4.639799999999999
51,3,OracleLift,0.0,0.9279599999999999,0.40894314000000004,1.5466,4.639799999999999
54,1,Recall,0.7,2.01086808,3.7156868000000003,12.586950400000001,20.2856946
54,4,DiscoveredLabels,0.25925899999999996,6.8518528,42.111094,42.888876,7.888896
54,4,Easiness,1.81818,36.509082,54.254557999999996,6.290912,1.5072716
54,4,Efficiency,0.0,7.26,33.74,37.62,20.46
54,4,FrequencyRecall,0.0,5.4285684,22.108086000000004,66.85716599999999,100.0
54,4,Lift,0.0,0.19637484,0.6060557,5.97135,11.253
54,4,OracleLift,0.0,0.19637484,0.6060557,5.97135,11.253
57,1,Recall,0.9,2.04347692,3.8562096,13.347834,23.33331
57,5,DiscoveredLabels,0.3157902,6.5964892,41.403506,43.087716,8.596487
57,5,Easiness,2.1791084,25.701486,60.970148,9.2686598,1.8805996600000001
57,5,Efficiency,1.32,1.98,28.42,46.3,21.12
57,5,FrequencyRecall,3.999996,1.7714283999999998,7.0804596,35.17648,53.0
57,5,Lift,0.5896,0.07654899999999999,0.46507078,4.9954344,10.2443
57,5,OracleLift,0.5896,0.07654899999999999,0.46507078,4.9954344,10.2443
60,1,Recall,0.9,2.07608552,4.032680200000001,14.021733999999999,26.285688
60,6,DiscoveredLabels,0.3000006,6.3666678,41.133336,42.999998,9.2000042
60,6,Easiness,2.4013882,19.903119999999998,61.418694,14.429082000000001,1.8477468
60,6,Efficiency,0.0,1.98,35.66,40.94,20.46
60,6,FrequencyRecall,0.8571420000000001,0.9310354,1.9888894400000001,19.08,21.333342
60,6,Lift,0.0,0.0998332,0.58057802,2.834908,10.33175
60,6,OracleLift,0.0,0.0998332,0.58057802,2.834908,10.33175
63,1,Recall,1.0,2.13043316,4.2875814000000005,14.684784,26.761878000000003
63,7,DiscoveredLabels,0.31745999999999996,6.2222216,41.650752000000004,42.888850000000005,8.920632000000001
63,7,Easiness,1.68067,13.424389999999999,61.609228,21.420189999999998,1.8655492
63,7,Efficiency,0.66,3.3,51.58,40.28,3.3
63,7,FrequencyRecall,0.25,0.3125,1.11864428,4.9622632,2.4444420000000004
63,7,Lift,0.39270000000000005,0.24621700000000002,0.83715566,1.8777858,1.876232
63,7,OracleLift,0.39270000000000005,0.24621700000000002,0.83715566,1.8777858,1.876232
