Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.1,0.11956516,0.39052261,0.14673906,0.47619
3,3,DiscoveredLabels,0.666666,7.3333260000000005,79.666687,8.999991,3.33333
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,0.66,7.26,79.26,8.91,3.3
3,3,FrequencyRecall,2.0,4.190481999999999,21.108415,7.35,10.0
3,3,Lift,0.165,0.3025,1.5242315,0.556875,0.825
3,3,OracleLift,0.0,0.275,1.5765395,0.474375,0.825
6,1,Recall,0.1,0.25000012,0.7908494400000001,0.24999996,1.047619
6,4,DiscoveredLabels,0.33333399999999996,7.666676,80.666656,7.666679999999999,3.666664
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,0.0,7.92,81.42,6.27,3.96
6,4,FrequencyRecall,0.0,1.3203451999999998,8.0937013,2.714283,12.0
6,4,Lift,0.0,0.2526864,1.4743633400000002,0.6001283000000001,2.6532
6,4,OracleLift,0.0,0.2737436,1.4747253800000002,0.5369569,2.6532
9,1,Recall,0.1,0.3478264,1.02777738,0.9619568199999999,1.3333328
9,5,DiscoveredLabels,0.222222,7.111104,69.888909,19.666647,3.111108
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,0.0,5.94,47.85,43.25,1.98
9,5,FrequencyRecall,0.5,0.6222219999999999,2.220924,7.8104545,1.5
9,5,Lift,0.0,0.24778260000000002,0.80300181,3.7144146,0.7227
9,5,OracleLift,0.3212,0.2202512,0.92752075,3.0891908,0.7227
12,1,Recall,0.3,0.38043516,1.09967314,2.2010842,2.1904752
12,6,DiscoveredLabels,0.4999998,5.8333366,56.083333,33.749997,3.8333361999999997
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,1.32,1.98,14.52,75.56,5.94
12,6,FrequencyRecall,0.571428,0.170076,0.56288028,4.7482352,3.0000059999999995
12,6,Lift,0.5676,0.1027554,0.24280652,4.548712,2.9799
12,6,OracleLift,0.5676,0.1027554,0.5418004,3.5457799999999997,2.3177
15,1,Recall,0.4,0.42391364,1.2156866400000002,3.3478263,2.5714277999999995
15,7,DiscoveredLabels,0.5333336,5.1999946,49.600002999999994,41.066661,3.5999950000000003
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,0.66,2.64,23.43,69.86,2.64
15,7,FrequencyRecall,0.25,0.1552884,0.37551573,2.1194665599999998,1.088888
15,7,Lift,0.39765,0.19882480000000002,0.38282194,3.176652,1.413864
15,7,OracleLift,0.39765,0.19882480000000002,0.5230100200000001,2.753766,1.76733
18,1,Recall,0.5,0.50000056,1.33823612,4.4076086,3.2380933999999995
18,6,DiscoveredLabels,0.5555559999999999,5.1111112,45.499997,45.055553,3.7777784
18,6,Easiness,2.3355672000000003,19.442964000000003,60.255036,16.013432,1.9530174
18,6,Efficiency,0.66,4.62,24.79,64.54,4.62
18,6,FrequencyRecall,0.8571420000000001,0.34482799999999997,0.96217106,8.5713726,5.333343999999999
18,6,Lift,0.280972,0.2373728,0.41151283,4.0370545,2.2946
18,6,OracleLift,0.280972,0.2373728,0.6257353,3.3491446000000002,1.3112000000000001
21,1,Recall,0.5,0.5217396,1.6241835199999999,4.913043,4.571424599999999
21,5,DiscoveredLabels,0.47619,4.5714264,47.333328,43.047594,4.571424599999999
21,5,Easiness,2.0979,24.349625999999997,59.825215,10.9720172,2.755242
21,5,Efficiency,0.0,1.32,57.93,30.69,9.24
21,5,FrequencyRecall,0.0,0.6825391999999999,4.2104997,13.267980999999999,8.5
21,5,Lift,0.0,0.053931599999999996,0.96921177,2.8226904999999998,3.53925
21,5,OracleLift,0.0,0.053931599999999996,1.04755449,2.5277531,3.0673500000000002
24,1,Recall,0.5,0.60869616,1.8856208,5.5597816,4.8095196
24,4,DiscoveredLabels,0.416667,4.6666668,48.083335,42.625003,4.2083349
24,4,Easiness,1.5625,32.4375,53.984375,10.640625,1.495
