Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.15760862,0.42320241000000003,0.03260868,0.28571399999999997
3,3,DiscoveredLabels,0.0,9.666657,86.33334699999999,1.999998,1.999998
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,0.0,9.57,86.06,1.98,1.98
3,3,FrequencyRecall,0.0,4.833343,19.923057,1.5,6.0
3,3,Lift,0.0,0.39875,1.6550015,0.12375,0.495
3,3,OracleLift,0.0,1.375,0.634615,2.0625,0.0
6,1,Recall,0.0,0.30978278,0.83333309,0.13586958000000002,0.38095199999999996
6,4,DiscoveredLabels,0.0,9.500010999999999,84.999989,4.166672999999999,1.3333359999999999
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,0.0,9.24,83.34,6.27,0.66
6,4,FrequencyRecall,0.0,1.333332,6.783787,2.714283,2.0
6,4,Lift,0.0,0.2948008,1.5091317000000002,0.6001283000000001,0.4422
6,4,OracleLift,0.0,1.05286,0.597568,3.15857,0.0
9,1,Recall,0.0,0.37500046,1.0947709,0.82065238,0.47619
9,5,DiscoveredLabels,0.0,7.666659000000001,74.44447,16.777761,1.11111
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,0.0,3.96,52.8,41.58,0.66
9,5,FrequencyRecall,0.0,0.3428568,1.8390819999999999,7.411761,0.5
9,5,Lift,0.0,0.1651884,0.8860712000000001,3.5709912,0.2409
9,5,OracleLift,0.0,1.37657,0.553793,2.83412,0.0
12,1,Recall,0.1,0.4076093,1.1715684400000002,2.1304316,0.666666
12,6,DiscoveredLabels,0.1666666,6.250005499999999,59.74999400000001,32.666661,1.1666661999999999
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,0.66,1.98,15.51,79.94,1.32
12,6,FrequencyRecall,0.285714,0.1034484,0.26111132000000004,4.82,0.6666679999999999
12,6,Lift,0.2838,0.1027554,0.25936151,4.812387999999999,0.6622
12,6,OracleLift,0.2838,1.6783382,0.0,3.9732,0.0
15,1,Recall,0.1,0.4619571,1.2794122200000002,3.3369572,0.7619041999999999
15,7,DiscoveredLabels,0.1333334,5.6666615,52.199996,40.933332,1.0666664
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,0.0,3.3,21.78,73.48,0.66
15,7,FrequencyRecall,0.0,0.15625,0.22372878,2.094338,0.222222
15,7,Lift,0.0,0.248531,0.35586276000000006,3.3412588,0.353466
15,7,OracleLift,0.0,2.48531,0.0,3.00113,0.0
18,1,Recall,0.2,0.51630498,1.35784422,4.5978262999999995,1.1428562
18,6,DiscoveredLabels,0.2222224,5.277777599999999,46.166655,46.999995,1.3333339999999998
18,6,Easiness,2.3422786,19.442964000000003,60.244968,15.969804,1.9999972
18,6,Efficiency,0.66,3.3,15.84,76.88,2.64
18,6,FrequencyRecall,0.571428,0.2758624,0.5277777,9.46,2.0000039999999997
18,6,Lift,0.280972,0.16955199999999998,0.26300283999999996,4.8176934,1.3112000000000001
18,6,OracleLift,0.280972,1.6633939999999998,0.0,4.1332438,0.0
21,1,Recall,0.4,0.55978322,1.6519623,5.1304335000000005,1.6190461999999999
21,5,DiscoveredLabels,0.38095199999999996,4.9047596,48.142842,44.95235400000001,1.6190461999999999
21,5,Easiness,2.0979,24.391583999999998,59.72032,11.006982,2.7832140000000005
21,5,Efficiency,1.32,2.64,59.5,32.34,3.3
21,5,FrequencyRecall,1.333332,0.5714281999999999,3.908047,13.176477,3.0
21,5,Lift,0.6292,0.1086562,0.9963384999999999,2.9218448,1.1797499999999999
21,5,OracleLift,0.6292,1.2983234,0.17675262,5.0296666,0.0
24,1,Recall,0.4,0.69565224,1.9232022,5.7010856,1.8095221999999997
24,4,DiscoveredLabels,0.3333336,5.3333338,49.04166599999999,43.708337,1.5833344
24,4,Easiness,1.5625,32.375,53.890625,10.640625,1.55125
24,4,Efficiency,0.0,8.25,54.83,34.65,1.32
24,4,FrequencyRecall,0.0,2.523808,11.2702608,17.714268,6.0
24,4,Lift,0.0,0.25645650000000003,1.01698128,3.2383986,0.8448
24,4,OracleLift,0.0,1.0197912,0.12228303,5.5766884,0.0
27,1,Recall,0.7,0.8804346,2.2173184,6.027173400000001,2.7619029999999998
27,3,DiscoveredLabels,0.5185181999999999,5.999996599999999,50.259265000000006,41.074037,2.148147
27,3,Easiness,4.54545,25.954534,47.318155000000004,17.909076,4.332723
27,3,Efficiency,1.98,11.22,59.52,19.8,6.6
27,3,FrequencyRecall,6.0,10.500014999999998,33.769197,16.5,26.0
27,3,Lift,0.43560000000000004,0.42591999999999997,1.24988,1.089,1.452
27,3,OracleLift,0.43560000000000004,1.20274,0.3795,2.5773,0.2904
