Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.14130428,0.41830044,0.0543478,0.38095199999999996
3,3,DiscoveredLabels,0.0,8.666658,85.333348,3.33333,2.666664
3,3,Easiness,4.0,24.0,52.0,16.0,4.0
3,3,Efficiency,0.0,8.58,85.04,3.3,2.64
3,3,FrequencyRecall,0.0,4.333341999999999,19.692287999999998,2.5,8.0
3,3,Lift,0.0,0.3575,1.635386,0.20625,0.66
3,3,OracleLift,1.485,0.50875,1.19673085,0.66,2.0625
6,1,Recall,0.0,0.2989133,0.79248346,0.22826072,0.8571427999999999
6,4,DiscoveredLabels,0.0,9.166675,80.833326,7.000009,2.9999979999999997
6,4,Easiness,1.49254,31.3433,55.2239,10.447800000000003,1.49254
6,4,Efficiency,0.0,9.57,75.99,10.56,3.3
6,4,FrequencyRecall,0.0,1.380951,6.1891919,4.571424,10.0
6,4,Lift,0.0,0.3053294,1.3760371200000001,1.0107424,2.211
6,4,OracleLift,4.2009,0.4211434,0.9709586,1.7687992,5.0853
9,1,Recall,0.0,0.36413098,1.01143757,1.02173994,1.2380946
9,5,DiscoveredLabels,0.0,7.444437000000001,68.777799,20.888868000000002,2.888886
9,5,Easiness,2.05479,23.972600000000003,59.589,11.6438,2.73973
9,5,Efficiency,0.0,3.96,44.22,48.22,2.64
9,5,FrequencyRecall,0.0,0.3428568,1.540232,8.588233,2.0
9,5,Lift,0.0,0.1651884,0.7420843,4.14125,0.9636
9,5,OracleLift,1.2848,0.3579082,0.6096764499999999,3.4344373999999998,4.21575
12,1,Recall,0.2,0.42934834,1.09967317,2.2173889599999996,1.7142849999999998
12,6,DiscoveredLabels,0.3333332,6.5833379,56.083333,33.9999926,3.0000023999999996
12,6,Easiness,2.32558,19.2691,59.8007,16.6113,1.99336
12,6,Efficiency,1.32,3.96,17.84,72.92,3.3
12,6,FrequencyRecall,0.571428,0.2068968,0.30000024000000003,4.4,1.6666699999999997
12,6,Lift,0.5676,0.2055108,0.29832432000000003,4.389784,1.6555000000000002
12,6,OracleLift,1.9866,0.2055108,0.29799006,3.546382,6.953099999999999
15,1,Recall,0.3,0.48913088000000005,1.20261471,3.4130441,1.904761
15,7,DiscoveredLabels,0.4000002,5.9999952,49.066666,41.866665000000005,2.6666642
15,7,Easiness,1.6597499999999998,13.277999999999999,61.2033,21.9917,1.86722
15,7,Efficiency,0.66,3.63,20.79,72.92,1.32
15,7,FrequencyRecall,0.25,0.171875,0.21355928999999998,2.0754707199999998,0.444444
15,7,Lift,0.39765,0.2733841,0.33968706000000004,3.3157956,0.706932
15,7,OracleLift,1.789425,0.5219151,0.30733586,2.5459609,7.77626
18,1,Recall,0.45,0.51087016,1.3627456700000002,4.4293483,2.2857128
18,6,DiscoveredLabels,0.5,5.2222222,46.333327,45.277765,2.666666
18,6,Easiness,2.3355672000000003,19.422828000000003,60.221478000000005,16.040277999999997,1.979863
18,6,Efficiency,0.99,1.32,32.4,61.88,2.64
18,6,FrequencyRecall,0.999999,0.2758624,0.84444458,8.14,3.0000059999999995
18,6,Lift,0.421458,0.0678208,0.53840164,3.8637067000000003,1.3112000000000001
18,6,OracleLift,0.70243,0.18650719999999998,0.48907623,3.0731260000000002,7.73608
21,1,Recall,0.65,0.63043548,1.6290862000000002,4.8967384,3.4761874
21,5,DiscoveredLabels,0.6190472,5.523806899999999,47.476178,42.904739,3.4761874
21,5,Easiness,2.0979,24.391583999999998,59.902137999999994,10.867122400000001,2.7412560000000004
21,5,Efficiency,1.32,7.26,53.93,28.38,8.25
21,5,FrequencyRecall,1.333332,0.9714276,3.4137941,13.647067999999999,8.25
21,5,Lift,0.6292,0.2966238,0.90101831,2.6134258,3.1853249999999997
21,5,OracleLift,2.8314,0.459211,0.76233409,2.4233636,3.85385
24,1,Recall,0.65,0.80434832,1.91013094,5.4076076,3.5714256
24,4,DiscoveredLabels,0.5416669000000001,6.1666673,48.708332,41.458342,3.1250009
24,4,Easiness,1.5625,32.359375,54.234375,10.4375,1.50625
24,4,Efficiency,0.0,10.56,56.83,31.02,0.66
24,4,FrequencyRecall,0.0,2.90476,10.8378299,17.999982,12.0
24,4,Lift,0.0,0.3258506,1.04780669,2.9608220999999997,0.4224
24,4,OracleLift,2.5343999999999998,0.388205,0.90183311,2.659108,4.0392
27,1,Recall,0.75,0.96739148,2.1928095,5.7989125999999995,4.6666625999999995
27,3,DiscoveredLabels,0.5555552,6.5925896999999996,49.703701,39.518481,3.6296266
27,3,Easiness,4.54545,26.090896,47.45452,17.727259999999998,4.261814
27,3,Efficiency,0.66,9.9,57.22,23.76,7.59
27,3,FrequencyRecall,2.0,9.333347999999999,32.999967,20.5,31.0
27,3,Lift,0.1452,0.37268,1.2012399999999999,1.3189,1.6698
27,3,OracleLift,1.166,0.49126,0.92366,1.3673,3.7883999999999998
30,1,Recall,0.75,1.15217356,2.5294121,6.0652170000000005,5.190472099999999
30,4,DiscoveredLabels,0.49999970000000005,7.0666677,51.599996000000004,37.199998,3.6333326
30,4,Easiness,1.63934,33.426217,54.081975,9.409836799999999,1.5626192
30,4,Efficiency,0.0,11.22,68.28,16.17,3.63
30,4,FrequencyRecall,0.0,4.523806899999999,16.4053897,24.999981000000002,23.0
30,4,Lift,0.0,0.33320431,1.2665015199999998,1.8030726,2.2142999999999997
30,4,OracleLift,2.013,0.36281916,1.05064668,2.1424068,4.8873
33,1,Recall,0.95,1.22826024,2.7875824999999996,6.5869573,6.5238043
33,5,DiscoveredLabels,0.5757572,6.8484850999999995,51.696974,36.727236,4.1515132
33,5,Easiness,2.1142884,24.757138,60.021429,10.4857256,2.6214269999999997
33,5,Efficiency,1.32,4.62,52.28,31.68,9.24
33,5,FrequencyRecall,2.666664,1.3714274,5.229886400000001,19.294128999999998,15.25
33,5,Lift,0.616,0.1855764,0.87142241,3.013154,3.5035000000000003
33,5,OracleLift,2.464,0.399882,0.60047195,3.3092705999999996,5.5055000000000005
36,1,Recall,0.95,1.2608688399999999,2.9035959000000005,7.6413053,7.904755
36,6,DiscoveredLabels,0.5277782,6.4444453,49.361106,39.055557,4.6111124
36,6,Easiness,2.3491514,19.60676,60.50171099999999,15.569474,1.9728836
36,6,Efficiency,0.0,1.98,23.45,64.28,9.57
36,6,FrequencyRecall,0.999999,0.3793108,1.2388891800000001,12.02,7.833335
36,6,Lift,0.0,0.1012958,0.38867878,4.147772,5.15955
36,6,OracleLift,0.0,0.26914079999999996,0.4647482,3.0080476,9.9297
39,1,Recall,0.95,1.3260862,3.0375826999999997,8.7282633,8.190469
39,7,DiscoveredLabels,0.4871792,6.2564117,47.66665,41.179448,4.4102542
39,7,Easiness,1.6659746000000002,13.338232,61.455113000000004,21.67014,1.8705596
39,7,Efficiency,0.0,3.96,27.08,66.25,1.98
39,7,FrequencyRecall,0.25,0.359375,0.49152550999999994,3.9622629000000003,1.11111
39,7,Lift,0.0,0.2963808,0.44069085999999996,3.0583696,1.0977080000000001
39,7,OracleLift,0.395176,0.5927616,0.39756868000000006,2.5974075,5.312902
42,1,Recall,0.95,1.3695643999999998,3.1846411,9.7499997,8.8571352
42,6,DiscoveredLabels,0.4523805,6.0000005,46.404756,42.714267,4.428575599999999
42,6,Easiness,2.3732871,19.787651999999998,60.880136,15.065069000000001,1.8938324
42,6,Efficiency,0.0,2.64,29.74,62.24,4.62
42,6,FrequencyRecall,0.999999,0.517242,1.7388894400000001,15.78,10.166671000000001
42,6,Lift,0.0,0.13465939999999998,0.48798541,4.1382079,2.31264
42,6,OracleLift,0.550628,0.2011146,0.47656268,3.2374288,8.1906
45,1,Recall,1.25,1.41847714,3.362745,10.4347802,11.2380848
45,5,DiscoveredLabels,0.555555,5.7999988,45.733343999999995,42.666667,5.2444402000000006
45,5,Easiness,2.1313855999999998,25.197048,60.18248,10.014603,2.4744528399999997
45,5,Efficiency,1.98,2.97,36.01,41.6,16.5
45,5,FrequencyRecall,4.666662,1.6285703999999999,6.4827577,26.705886,27.75
45,5,Lift,0.9042,0.11777389999999999,0.59794108,4.1562448,6.819175
45,5,OracleLift,1.8084,0.3259675,0.5053231,3.3781852,9.689325
48,1,Recall,1.35,1.5380423199999997,3.6454248000000002,10.9293478,11.8095132
48,4,DiscoveredLabels,0.5624994999999999,5.895835,46.479163,41.895828,5.1666682
48,4,Easiness,1.7241399999999998,34.568984,53.327581,9.0517136,1.5575878
48,4,Efficiency,0.66,7.26,57.33,30.05,3.96
48,4,FrequencyRecall,2.0,5.571425799999999,21.08106,37.999983,35.0
48,4,Lift,0.38280000000000003,0.21164339999999998,1.07193701,3.3937457999999996,2.2968
48,4,OracleLift,3.2538,0.26824796,0.8499490900000001,3.4128857999999997,5.9136
51,1,Recall,1.35,1.9836938000000002,3.7892158,11.2771708,14.952368
51,3,DiscoveredLabels,0.529411,7.156862599999999,45.470586999999995,40.686282,6.1568616
51,3,Easiness,5.1778968,28.63156,45.842107,16.73685,3.9415804000000003
51,3,Efficiency,0.0,27.06,29.08,21.14,21.78
51,3,FrequencyRecall,2.0,23.000004,39.769197,36.5,97.0
51,3,Lift,0.0,0.9300499999999999,0.62359725,1.14,4.1382
51,3,OracleLift,0.5015999999999999,0.89243,0.56380148,1.2644499999999999,7.5339
54,1,Recall,1.35,2.146737,3.972223,11.8478318,17.4761758
54,4,DiscoveredLabels,0.4999995,7.314819099999999,45.018509,40.370354,6.7962963
54,4,Easiness,1.8018163999999999,36.054542,53.090925,7.890913100000001,1.531817
54,4,Efficiency,0.0,9.9,37.02,34.65,17.49
54,4,FrequencyRecall,2.0,6.999996299999999,24.108083999999998,53.000004,88.0
54,4,Lift,0.0,0.27679869,0.68962224,4.610964399999999,9.619499999999999
54,4,OracleLift,0.5445,0.33129418,0.58772336,4.3821373999999995,14.486999999999998
57,1,Recall,1.35,2.1956502,4.1290853,12.592396599999999,20.2380765
57,5,DiscoveredLabels,0.4736849,7.0877184,44.333321999999995,40.649116,7.4561374
57,5,Easiness,2.1343322000000002,25.694015,60.716422,9.298503799999999,2.1567171399999996
57,5,Efficiency,0.0,2.97,31.76,45.27,19.14
57,5,FrequencyRecall,4.666662,1.8857135,7.586206099999999,34.764717,42.25
57,5,Lift,0.0,0.11556670000000001,0.52010174,4.8275445999999995,9.286200000000001
57,5,OracleLift,0.8844,0.1661039,0.51325692,4.1669596,11.3498
60,1,Recall,1.35,2.2499982,4.2647054,13.4021738,22.9999777
60,6,DiscoveredLabels,0.4500005,6.9000016,43.499998999999995,41.100002,8.0500039
60,6,Easiness,2.3979278999999996,19.9654,61.200706,14.570946,1.8650478000000001
60,6,Efficiency,0.0,3.3,27.4,49.24,19.14
60,6,FrequencyRecall,0.999999,0.6896559999999999,2.20000034,18.76,19.833339000000002
60,6,Lift,0.0,0.165008,0.4483058,3.3972609,9.82311
60,6,OracleLift,0.272486,0.2466465,0.41043256,3.0488016,12.79403
63,1,Recall,1.4,2.2608678,4.4689536,14.326084000000002,23.095215699999997
63,7,DiscoveredLabels,0.444444,6.6031737999999995,43.412665,41.841228,7.698411
63,7,Easiness,1.6764684,13.397077,61.670154999999994,21.386576,1.8697512
63,7,Efficiency,0.33,0.66,41.37,56.3,0.66
63,7,FrequencyRecall,0.375,0.390625,0.91525452,5.5660365,1.333332
63,7,Lift,0.19635000000000002,0.0490876,0.67092153,2.6351871,0.349066
63,7,OracleLift,1.76715,0.5648967,0.51979901,2.0392927,6.850432
66,1,Recall,1.5,2.2989114,4.6960774,14.978254,24.619023499999997
66,6,DiscoveredLabels,0.45454500000000003,6.4090945,43.545437,41.757560000000005,7.8333409
66,6,Easiness,2.4230745000000002,20.13985,61.552461,14.202816,1.6818165000000003
66,6,Efficiency,0.66,2.31,46.03,39.7,10.56
66,6,FrequencyRecall,1.285713,0.8103456,2.97222192,21.16,25.166668
66,6,Lift,0.269658,0.11506920000000001,0.74890481,2.8203352,6.51222
66,6,OracleLift,1.34829,0.3451872,0.59699563,2.5916121,10.31888
69,1,Recall,1.6,2.3423898,4.8856204000000005,15.630429999999999,27.190449400000002
69,5,DiscoveredLabels,0.4637692,6.2463763000000005,43.333336,41.68116,8.275359700000001
69,5,Easiness,2.1832096,26.213756,61.374044000000005,8.4656514,1.7633613300000002
69,5,Efficiency,0.66,2.64,38.32,39.72,17.82
69,5,FrequencyRecall,5.333328,2.1142851,8.9195425,41.823535,55.75
69,5,Lift,0.2882,0.1017616,0.6219593,4.81243,7.961524999999999
69,5,OracleLift,1.5851,0.202026,0.50365891,4.031843800000001,14.662175
72,1,Recall,1.6,2.5163026,5.124183299999999,16.260867,27.4761634
72,4,DiscoveredLabels,0.4444448,6.430555399999999,43.555559,41.555559,8.0138873
72,4,Easiness,1.9046184,37.557689,54.000017,6.3269253,1.1107696
72,4,Efficiency,0.0,10.56,48.28,38.3,1.98
72,4,FrequencyRecall,2.0,8.523804199999999,28.054026,69.57145,94.0
72,4,Lift,0.0,0.27639501,0.88916446,5.65968,1.0296
72,4,OracleLift,3.0888,0.26127403,0.71529618,5.333466,9.2796
75,1,Recall,1.7,2.7663032,5.3284321,16.934779000000002,27.619020100000004
75,3,DiscoveredLabels,0.4533326,6.7866675,43.479996,41.546667,7.733334200000001
75,3,Easiness,6.145,28.875,48.9375,15.875,1.1575
75,3,Efficiency,0.66,15.18,41.31,40.98,0.99
75,3,FrequencyRecall,4.0,30.666667000000004,49.384603999999996,67.5,100.0
75,3,Lift,0.1056,0.52888,0.83464072,2.5023998,0.15839999999999999
75,3,OracleLift,1.0032,0.49808,0.70814908,2.2746664,7.92
78,1,Recall,1.7,2.9565207,5.6339873,17.331522,27.8571151
78,4,DiscoveredLabels,0.4358969999999999,6.9743623,44.205116,40.884598000000004,7.500001
78,4,Easiness,2.0200036,39.204068,54.326521,4.346940399999999,1.0624492
78,4,Efficiency,0.0,11.55,61.94,24.11,1.65
78,4,FrequencyRecall,2.0,10.190468899999999,33.10807500000001,80.000019,99.0
78,4,Lift,0.0,0.29543040000000004,1.1292398,5.010576,0.8085000000000001
78,4,OracleLift,2.9106000000000005,0.41207064000000004,0.82631555,5.1311160000000005,8.9034
81,1,Recall,1.8,3.0597817,5.852941499999999,18.059782,28.380924
81,5,DiscoveredLabels,0.4444452,6.9506173,44.222217,41.024686,7.3580258
