Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.0,0.09239126,0.41993442999999997,0.08695648,0.47619
3,3,DiscoveredLabels,0.0,5.666661,85.66668100000001,5.333328,3.33333
3,3,Easiness,1.0,1.0,1.0,1.0,100.0
3,3,Efficiency,0.0,5.61,85.38,5.28,3.3
3,3,FrequencyRecall,0.0,,,,0.4
3,3,Lift,0.0,5.61,85.38,5.28,0.033
3,3,OracleLift,0.0,5.61,85.38,5.28,0.033
6,1,Recall,0.0,0.20652163999999998,0.82026114,0.20652172,1.047619
6,4,DiscoveredLabels,0.0,6.333345999999999,83.66664999999999,6.333343999999999,3.666664
6,4,Easiness,1.0,1.0,4.47761,1.49254,94.0299
6,4,Efficiency,0.0,6.93,81.44,7.26,3.96
6,4,FrequencyRecall,0.0,,81.666675,22.0,0.19047599999999998
6,4,Lift,0.0,6.93,18.188247,4.864199999999999,0.04211424
6,4,OracleLift,0.0,6.93,18.188247,4.864199999999999,0.04211424
9,1,Recall,0.2,0.26086952,1.0604572200000002,0.92391296,1.380952
9,5,DiscoveredLabels,0.444444,5.333328,72.111129,18.88887,3.222219
9,5,Easiness,1.0,1.0,2.73973,0.684932,96.57530000000001
9,5,Efficiency,1.32,3.3,48.51,43.58,2.31
9,5,FrequencyRecall,,,36.75,132.0,0.04964539999999999
9,5,Lift,1.32,3.3,17.70615,63.6268,0.02391914
9,5,OracleLift,1.32,3.3,17.70615,63.6268,0.02391914
12,1,Recall,0.3,0.32608688,1.12581692,2.12499706,2.5714270999999997
12,6,DiscoveredLabels,0.4999998,4.9999988,57.416666000000006,32.5833316,4.5000032
12,6,Easiness,1.0,1.0,2.32558,1.3289,96.34549999999999
12,6,Efficiency,0.66,3.96,13.2,73.21,8.25
12,6,FrequencyRecall,,,5.71428,55.25,0.08620696
12,6,Lift,0.66,3.96,5.676,55.090525,0.08562925
12,6,OracleLift,0.66,3.96,5.676,55.090525,0.08562925
15,1,Recall,0.3,0.38043484,1.2303925,3.3097832,2.9523795
15,7,DiscoveredLabels,0.4000002,4.6666666,50.199997,40.599998,4.1333286
15,7,Easiness,1.0,1.0,2.6971,1.45228,95.8506
15,7,Efficiency,0.0,3.3,21.12,72.16,2.64
15,7,FrequencyRecall,0.0,,4.9230784,31.142826,0.017316
15,7,Lift,0.0,3.3,7.830656,49.687296,0.02754288
15,7,OracleLift,0.0,3.3,7.830656,49.687296,0.02754288
18,1,Recall,0.4,0.40760886,1.32516434,4.4891302,3.8095206999999998
18,6,DiscoveredLabels,0.4444448,4.1666682,45.055548,45.88888,4.4444474
18,6,Easiness,1.0,1.0,2.3422786,1.3422799999999997,96.315412
18,6,Efficiency,0.66,1.65,19.14,71.88,5.94
18,6,FrequencyRecall,,,8.57142,54.25,1.0896529000000001
18,6,Lift,0.66,1.65,8.195013,53.5506,0.061676640000000005
18,6,OracleLift,0.66,1.65,8.195013,53.5506,0.061676640000000005
21,1,Recall,0.6,0.48369554000000003,1.5539235400000002,5.0271729,5.8571376
21,5,DiscoveredLabels,0.5714282,4.2380917,45.285700999999996,44.047593,5.8571376
21,5,Easiness,1.0,1.0,2.7972,0.699301,96.5035
21,5,Efficiency,1.32,4.62,46.22,32.67,14.19
21,5,FrequencyRecall,,,35.0,99.0,2.4326246
21,5,Lift,1.32,4.62,16.52365,46.71809999999999,0.14704147
21,5,OracleLift,1.32,4.62,16.52365,46.71809999999999,0.14704147
24,1,Recall,0.7,0.5978258000000001,1.76307136,5.8043471,6.142852
24,4,DiscoveredLabels,0.5833334,4.5833359,44.958333,44.500003,5.3750028
24,4,Easiness,1.0,1.0,4.625,1.54,93.875
24,4,Efficiency,0.66,6.93,42.24,47.21,1.98
24,4,FrequencyRecall,,,43.99999900000001,147.0,4.7301546
24,4,Lift,0.66,6.93,9.152000000000001,31.1648,0.02112
24,4,OracleLift,0.66,6.93,9.152000000000001,31.1648,0.02112
27,1,Recall,0.7,0.8369566,2.035947,6.1847829,7.0476128
27,3,DiscoveredLabels,0.5185183999999999,5.7037004,46.148149999999994,42.148112,5.4814768
