Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.6923079,0.47058816,0.575758,0.05882352,0.0
3,3,DiscoveredLabels,2.999997,18.666648,76.000024,2.333331,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,2.97,18.48,75.52,2.31,0.0
3,3,FrequencyRecall,2.25,5.6,32.571396,3.5,0.0
3,3,Lift,0.170775,0.42504,2.4813691999999996,0.26565,0.0
3,3,OracleLift,0.170775,0.42504,2.4813691999999996,0.26565,0.0
6,1,Recall,1.076923,0.6638652,1.2272744,0.17647056,0.0
6,4,DiscoveredLabels,2.333336,13.166680999999999,80.99999,3.500007,0.0
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,1.65,7.59,85.72,4.62,0.0
6,4,FrequencyRecall,1.666665,1.2105268,10.32,2.333338,0.0
6,4,Lift,0.29700000000000004,0.21571585000000001,1.851552,0.41580000000000006,0.0
6,4,OracleLift,0.29700000000000004,0.21571585000000001,1.851552,0.41580000000000006,0.0
9,1,Recall,1.2307692000000001,0.7478987,1.8813135,0.42016772,0.0
9,5,DiscoveredLabels,1.777776,9.888879000000001,82.77779500000001,5.55555,0.0
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,0.66,3.3,86.06,9.57,0.0
9,5,FrequencyRecall,0.666666,0.43478300000000003,4.046875,1.6111124000000001,0.0
9,5,Lift,0.2398,0.156391,1.4657054,0.5795157,0.0
9,5,OracleLift,0.2398,0.156391,1.4657054,0.5795157,0.0
12,1,Recall,1.2307692000000001,0.82352888,2.5176761,0.73949514,0.0714286
12,6,DiscoveredLabels,1.3333336,8.1666729,83.08332300000001,7.3333392,0.0833333
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.0,2.97,83.7,12.54,0.33
12,6,FrequencyRecall,0.0,0.2647062,2.21052866,1.0555564,0.2
12,6,Lift,0.0,0.16597079999999997,1.3950018,0.6618344,0.12539999999999998
12,6,OracleLift,0.0,0.16597079999999997,1.3950018,0.6618344,0.12539999999999998
15,1,Recall,1.3846154000000002,0.89915914,3.1186864,1.14285656,0.2857142
15,7,DiscoveredLabels,1.1999997999999998,7.1333263,82.333336,9.0666612,0.2666664
15,7,Easiness,0.701754,11.5789,65.2632,20.0,2.45614
15,7,Efficiency,0.66,2.97,79.03,15.88,0.99
15,7,FrequencyRecall,1.0,0.272727,1.27956882,0.8421065999999999,0.42857100000000004
15,7,Lift,0.9405,0.2565,1.2109443500000001,0.7939999999999999,0.40307100000000007
15,7,OracleLift,0.9405,0.2565,1.2109443500000001,0.7939999999999999,0.40307100000000007
18,1,Recall,1.3846154000000002,0.95798272,3.30808,2.9327726000000003,0.6428568
18,6,DiscoveredLabels,1.0000004,6.3333352000000005,72.777778,19.388897999999998,0.4999998
18,6,Easiness,0.534759,18.133677,59.614957999999994,19.048112,2.6684524
18,6,Efficiency,0.0,2.31,24.75,70.46,1.65
18,6,FrequencyRecall,0.0,0.4705886,2.8684213,6.9722225,1.2
18,6,Lift,0.0,0.12815,0.4151245,3.6983807,0.6171
18,6,OracleLift,0.0,0.12815,0.4151245,3.6983807,0.6171
21,1,Recall,1.4615385,1.09243636,3.5883827999999998,4.3781493000000005,0.6428568
21,5,DiscoveredLabels,0.9047611999999999,6.1904728,67.666695,24.809501,0.4285713
21,5,Easiness,2.811322,21.60376,57.933994000000006,16.707514,0.943396
21,5,Efficiency,0.33,5.28,36.63,56.86,0.0
21,5,FrequencyRecall,0.999999,1.1304357,5.78125,11.1666658,0.0
21,5,Lift,0.1166,0.2440305,0.63208317,3.4022888,0.0
21,5,OracleLift,0.1166,0.2440305,0.63208317,3.4022888,0.0
24,1,Recall,1.5384616,1.3445371,4.0100999999999996,5.2184869,0.785714
24,4,DiscoveredLabels,0.8333338,6.6666678,66.166664,25.874994,0.4583334
24,4,Easiness,5.784311,36.803916,43.96079400000001,11.4901908,1.96078
24,4,Efficiency,0.33,9.9,55.14,33.0,0.66
24,4,FrequencyRecall,1.999998,2.7894734,17.0,19.000024,2.0
24,4,Lift,0.056100000000000004,0.26918147000000003,1.25426775,2.8611,0.33659999999999995
24,4,OracleLift,0.056100000000000004,0.26918147000000003,1.25426775,2.8611,0.33659999999999995
27,1,Recall,2.4615388,2.54621698,4.3409075,5.3361339999999995,0.785714
27,3,DiscoveredLabels,1.1851842000000001,11.222214300000001,63.666699,23.518494999999998,0.40740729999999997
27,3,Easiness,19.55,47.2,23.6,9.65,1.0
27,3,Efficiency,3.96,47.23,43.23,4.62,0.0
27,3,FrequencyRecall,5.25,19.9,51.285712000000004,10.5,0.0
27,3,Lift,0.19799999999999998,0.99960051,1.8381,0.46199999999999997,0.0
27,3,OracleLift,0.19799999999999998,0.99960051,1.8381,0.46199999999999997,0.0
30,1,Recall,2.615385,2.77310828,4.9873743,5.4621842,0.785714
30,4,DiscoveredLabels,1.1333324,10.999996799999998,65.83333400000001,21.666666,0.3666666
30,4,Easiness,6.1250002,38.479151,43.229175,10.125028200000001,2.0616634
30,4,Efficiency,0.66,8.91,85.04,4.95,0.0
30,4,FrequencyRecall,2.666664,4.2105252,27.24,21.500016000000002,2.0
30,4,Lift,0.1056,0.23405819,1.9709329,0.49104,0.0
30,4,OracleLift,0.1056,0.23405819,1.9709329,0.49104,0.0
33,1,Recall,2.615385,2.94117558,5.3055573,6.7394961,0.9285707999999999
33,5,DiscoveredLabels,1.0303022,10.6060544,63.666703,24.303006,0.39393949999999994
33,5,Easiness,2.8834938999999995,22.077666,58.543687,15.524291,0.970874
33,5,Efficiency,0.0,6.6,41.64,50.25,0.66
33,5,FrequencyRecall,0.999999,2.0000013,7.75,19.611124,2.0
33,5,Lift,0.0,0.2982528,0.70837369,3.1955337,0.6798000000000001
33,5,OracleLift,0.0,0.2982528,0.70837369,3.1955337,0.6798000000000001
36,1,Recall,2.615385,3.04201588,5.479799799999999,8.5294115,1.3571431999999999
36,6,DiscoveredLabels,0.9444452,10.0555546,60.27778,28.19446,0.527778
36,6,Easiness,0.543478,18.39134,60.179354999999994,18.201113,2.6847811999999998
36,6,Efficiency,0.0,3.96,22.77,70.45,1.98
36,6,FrequencyRecall,0.0,0.8235300999999999,3.4736824,12.888892599999998,2.4
36,6,Lift,0.0,0.21484679999999998,0.37820627,3.8717102,0.7893600000000001
36,6,OracleLift,0.0,0.21484679999999998,0.37820627,3.8717102,0.7893600000000001
39,1,Recall,2.7692311999999997,3.0756291800000004,5.8156583,9.8235223,1.857143
39,7,DiscoveredLabels,0.9230762,9.3846099,59.051320000000004,29.974329,0.6666669000000001
39,7,Easiness,0.7021278,11.670186,65.11345200000001,20.042586,2.4716317
39,7,Efficiency,0.66,1.32,43.89,50.9,2.31
39,7,FrequencyRecall,2.0,0.39393900000000004,1.9946231799999998,3.5438609000000003,1.42857
39,7,Lift,0.9306,0.1128,0.67410601,2.5403085,0.952758
39,7,OracleLift,0.9306,0.1128,0.67410601,2.5403085,0.952758
42,1,Recall,2.7692311999999997,3.1512593800000004,6.1893953999999995,10.798312800000001,3.7857155999999996
42,6,DiscoveredLabels,0.857142,8.9285768,58.357159,30.595233000000004,1.261904
42,6,Easiness,0.552486,18.629803000000003,60.79559999999999,17.325998,2.6961314
42,6,Efficiency,0.0,2.97,48.84,38.33,8.91
42,6,FrequencyRecall,0.0,1.088236,4.771928,16.111123,7.8
42,6,Lift,0.0,0.1597056,0.8034437200000001,2.1992922999999998,3.2254199999999997
42,6,OracleLift,0.0,0.1597056,0.8034437200000001,2.1992922999999998,3.2254199999999997
45,1,Recall,2.9230774000000004,3.24369658,6.762627,11.2941098,3.8571442
45,5,DiscoveredLabels,0.8444436000000001,8.577775299999999,59.511112000000004,29.86667,1.1999993
45,5,Easiness,2.97,22.54,59.04,14.47,1.0
45,5,Efficiency,0.66,3.63,75.31,19.47,0.33
45,5,FrequencyRecall,1.666665,2.4782621000000002,11.296875,22.88889,3.0
