Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.6153848,0.44537808,0.5808085000000001,0.07563024,0.0
3,3,DiscoveredLabels,2.666664,17.666649,76.66669,2.999997,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,2.64,17.49,76.2,2.97,0.0
3,3,FrequencyRecall,2.0,6.554543300000001,37.237681,4.5,0.0
3,3,Lift,0.1518,0.40227,2.5037119999999997,0.34155,0.0
3,3,OracleLift,0.094875,0.42504,2.5148834,0.3036,0.0
6,1,Recall,0.6923079,0.68907518,1.2146477999999998,0.23529408,0.0
6,4,DiscoveredLabels,1.5000029999999998,13.666677,80.16666099999999,4.666676,0.0
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,0.33,9.57,83.34,6.27,0.0
6,4,FrequencyRecall,0.333333,1.7684216000000001,11.732256,3.1666729999999994,0.0
6,4,Lift,0.0594,0.27198955,1.800144,0.5643,0.0
6,4,OracleLift,0.0594,0.29074745,1.814832,0.44550000000000006,0.0
9,1,Recall,0.8461541,0.7731087200000001,1.8914147,0.4033611,0.0
9,5,DiscoveredLabels,1.2222210000000002,10.222212,83.222239,5.333328,0.0
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,0.66,3.3,89.12,6.6,0.0
9,5,FrequencyRecall,0.666666,0.43478300000000003,5.068066,1.1111119999999999,0.0
9,5,Lift,0.2398,0.156391,1.5178208,0.399666,0.0
9,5,OracleLift,0.2398,0.156391,1.558355,0.2597829,0.0
12,1,Recall,0.8461541,0.89075574,2.5378787,0.62184852,0.2857144
12,6,DiscoveredLabels,0.9166662999999999,8.8333397,83.74999799999999,6.1666691,0.3333332
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.0,4.62,85.05,8.58,1.32
12,6,FrequencyRecall,0.0,0.5781518,2.7368344000000002,0.7222227999999999,0.8
12,6,Lift,0.0,0.2581768,1.4175019,0.4528341,0.5015999999999999
12,6,OracleLift,0.0,0.2581768,1.4570021,0.33091729999999997,0.5015999999999999
15,1,Recall,1.0000003,0.9915961,3.176767,0.84033582,0.7857142
15,7,DiscoveredLabels,0.8666670999999999,7.8666595,83.866668,6.6666624,0.7333324
15,7,Easiness,0.701754,11.5789,65.2632,20.0,2.45614
15,7,Efficiency,0.66,3.96,84.11,8.58,2.31
15,7,FrequencyRecall,1.0,0.36363599999999996,1.6392185799999999,0.5251065,0.999999
15,7,Lift,0.9405,0.342,1.2887833499999999,0.429,0.9404990000000001
15,7,OracleLift,0.9405,0.342,1.2832671500000001,0.46199999999999997,0.8061420000000001
18,1,Recall,1.0000003,1.13445336,3.3585854,2.5462175400000002,1.3571438
18,6,DiscoveredLabels,0.7222227999999999,7.5000036,73.888886,16.8333404,1.0555568
18,6,Easiness,0.534759,18.106942,59.593568999999995,19.112277000000002,2.6524096
18,6,Efficiency,0.0,5.61,23.76,67.12,2.64
18,6,FrequencyRecall,0.0,1.1058835,3.2988766,6.487238700000001,2.4
18,6,Lift,0.0,0.30855,0.39839552,3.5100765999999997,1.079925
18,6,OracleLift,0.0,0.2904,0.61482112,2.8547760999999996,1.079925
21,1,Recall,1.0000003,1.2436969,3.6515139,3.9831923999999996,1.3571438
21,5,DiscoveredLabels,0.619047,7.0476144,68.857174,22.571406200000002,0.9047611999999999
21,5,Easiness,2.811322,21.60376,57.849088,16.792420000000003,0.943396
21,5,Efficiency,0.0,4.29,38.28,56.55,0.0
21,5,FrequencyRecall,0.666666,1.3586957000000002,6.662953,10.611115,0.0
21,5,Lift,0.0,0.1990957,0.66168042,3.3713886000000004,0.0
21,5,OracleLift,0.0,0.23089569999999998,0.7997914500000001,2.8574275,0.0
24,1,Recall,1.3846154000000002,1.52941064,4.0580797,4.8235288,1.3571438
24,4,DiscoveredLabels,0.7500004,7.5833366,66.958329,23.916666,0.7916667
24,4,Easiness,5.8627422000000005,36.686268,44.098043,11.392151799999999,1.96078
24,4,Efficiency,1.65,11.22,53.18,33.0,0.0
24,4,FrequencyRecall,2.333332,3.8473680000000003,18.034319,19.833354,0.0
24,4,Lift,0.2805,0.30510514,1.20415473,2.87232,0.0
24,4,OracleLift,0.2805,0.3592367,1.32558707,2.23278,0.0
27,1,Recall,2.6923077,2.8571415200000003,4.3484833,4.9075624,1.3571438
27,3,DiscoveredLabels,1.2962954,12.592582,63.777814,21.629607999999998,0.7037032000000001
27,3,Easiness,19.6,47.35,23.5,9.55,1.0
27,3,Efficiency,5.61,52.19,37.95,3.3,0.0
27,3,FrequencyRecall,6.25,23.572716999999997,50.871026,9.5,0.0
27,3,Lift,0.2915,1.10324511,1.6005,0.33,0.0
27,3,OracleLift,0.2915,1.10324511,1.6731,0.165,0.0
30,1,Recall,2.8461539,3.0840329200000003,4.9747483,5.0924369,1.4285724
30,4,DiscoveredLabels,1.2333325000000002,12.2333347,65.666666,20.199999000000002,0.6666666000000001
30,4,Easiness,6.1250002,38.270821,43.500004,10.0208597,2.08333
30,4,Efficiency,0.66,8.91,82.37,7.26,0.33
30,4,FrequencyRecall,2.666664,5.1578932,27.968467,23.500011,1.0
30,4,Lift,0.1056,0.22972632,1.89362852,0.7365600000000001,0.15839999999999999
30,4,OracleLift,0.1056,0.25473686,1.89238492,0.62568,0.15839999999999999
33,1,Recall,2.8461539,3.18487332,5.2676786,6.529412300000001,1.5000008
33,5,DiscoveredLabels,1.1212114,11.4848416,63.212158,23.545430999999997,0.6363637
33,5,Easiness,2.8932026000000004,22.106793000000003,58.407769,15.621381,0.970874
33,5,Efficiency,0.0,3.96,38.32,56.64,0.33
33,5,FrequencyRecall,0.666666,1.7518121,8.5743773,20.192992,1.0
33,5,Lift,0.0,0.1820415,0.65284751,3.5751863,0.33990000000000004
33,5,OracleLift,0.0,0.1820415,0.85858238,2.8232377000000004,0.33990000000000004
36,1,Recall,2.8461539,3.28571372,5.4570722,8.2941202,1.714286
36,6,DiscoveredLabels,1.0277786,10.861113499999998,60.02777699999999,27.416673,0.6666667
36,6,Easiness,0.543478,18.309815,60.173919999999995,18.32068,2.6521724
36,6,Efficiency,0.0,3.96,24.75,69.4,0.99
36,6,FrequencyRecall,0.0,1.264707,3.9359822,12.3588565,3.0
36,6,Lift,0.0,0.2164704,0.41122402,3.7887095,0.39468000000000003
