Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.769231,0.38655456,0.585859,0.10084032000000001,0.0
3,3,DiscoveredLabels,3.33333,15.333318000000002,77.33335600000001,3.999996,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,3.3,15.18,76.88,3.96,0.0
3,3,FrequencyRecall,2.5,4.6,33.142824,6.0,0.0
3,3,Lift,0.18975,0.34914,2.5260548,0.45539999999999997,0.0
3,3,OracleLift,0.18975,0.6831,1.08429,3.795,0.0
6,1,Recall,1.0000003,0.6302517000000001,1.222224,0.21848734,0.1428572
6,4,DiscoveredLabels,2.1666709999999996,12.50001,80.666656,4.333341,0.33333399999999996
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,0.99,9.57,83.68,4.62,0.66
6,4,FrequencyRecall,0.999999,1.5263164,10.08,2.333338,2.0
6,4,Lift,0.1782,0.27198955,1.8074880000000002,0.41580000000000006,0.3564
6,4,OracleLift,0.1782,0.9097581499999999,0.7128,2.97,0.0
9,1,Recall,1.3846158,0.74789872,1.8914142,0.35294106,0.1428572
9,5,DiscoveredLabels,1.999998,9.888879000000001,83.222239,4.666662,0.222222
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,1.65,4.62,88.1,5.28,0.0
9,5,FrequencyRecall,1.666665,0.6086962,4.140625,0.8888896,0.0
9,5,Lift,0.5995,0.2189474,1.5004490000000001,0.3197328,0.0
9,5,OracleLift,0.5995,1.4544362999999998,0.57327158,1.99833,0.0
12,1,Recall,1.3846158,0.9075625,2.5378793,0.5546217,0.2142858
12,6,DiscoveredLabels,1.4999994,9.000007499999999,83.750004,5.4999995,0.2499999
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.0,6.27,85.04,7.92,0.33
12,6,FrequencyRecall,0.0,0.5588242,2.2456164000000003,0.6666672,0.2
12,6,Lift,0.0,0.3503828,1.4173352,0.4180008,0.12539999999999998
12,6,OracleLift,0.0,1.84412,0.55,1.74167,0.0
15,1,Recall,1.538462,0.9663860599999999,3.1616155000000004,0.87394898,0.6428574
15,7,DiscoveredLabels,1.3333339999999998,7.666659200000001,83.46666499999999,6.9333266,0.6000002999999999
15,7,Easiness,0.701754,11.5789,65.2632,20.0,2.45614
15,7,Efficiency,0.66,2.31,82.0,12.54,1.98
15,7,FrequencyRecall,1.0,0.212121,1.3279559799999998,0.6666679999999999,0.8571420000000001
15,7,Lift,0.9405,0.19949999999999998,1.2564524,0.627,0.8061420000000001
15,7,OracleLift,0.9405,2.793,0.42474180000000006,1.9139999999999997,0.0
18,1,Recall,1.538462,1.09243652,3.5934332,1.8067217,0.8571432
18,6,DiscoveredLabels,1.1111119999999999,7.2222252000000005,79.05555199999999,11.944447,0.6666672
18,6,Easiness,0.534759,18.080206999999998,59.593568,19.122972,2.6684524
18,6,Efficiency,0.0,4.95,56.49,36.63,0.99
18,6,FrequencyRecall,0.0,1.0000008,3.7456118,3.7500027,0.8
18,6,Lift,0.0,0.27445,0.9480016,1.9144800000000002,0.37026000000000003
18,6,OracleLift,0.0,1.8254499999999998,0.24908362,2.6736098,0.0
21,1,Recall,1.6153851000000001,1.2689073,3.9924221999999996,2.8151247,0.8571432
21,5,DiscoveredLabels,0.999999,7.1904715999999995,75.285739,15.952366999999999,0.5714279999999999
21,5,Easiness,2.78302,21.566024000000002,57.87739,16.830156000000002,0.943396
21,5,Efficiency,0.33,6.93,52.18,39.6,0.0
21,5,FrequencyRecall,1.999998,1.5217403000000003,6.609375,7.555556,0.0
21,5,Lift,0.1166,0.3207653,0.90164136,2.350289,0.0
21,5,OracleLift,0.1166,1.5153395,0.18775635000000002,3.275089,0.0
24,1,Recall,1.7692313,1.5546209400000002,4.3838369,3.7310911,0.8571432
24,4,DiscoveredLabels,0.9583341,7.7083366,72.333336,18.500003200000002,0.5000004
24,4,Easiness,5.8235266,36.686268,44.078436,11.4901908,1.9415644
24,4,Efficiency,0.66,11.22,51.23,35.97,0.0
24,4,FrequencyRecall,1.666665,3.3157900000000002,16.28,20.500014999999998,2.0
24,4,Lift,0.11220000000000001,0.30313670000000004,1.16225583,3.0855,0.0
24,4,OracleLift,0.11220000000000001,0.8813601900000001,0.35821953,4.35897,0.0
27,1,Recall,3.1538456999999998,2.76470514,4.7020208,3.8319315,0.8571432
27,3,DiscoveredLabels,1.5185176999999999,12.1851756,68.962994,16.8888724,0.444444
27,3,Easiness,19.5,47.7,23.4,9.4,1.0
27,3,Efficiency,5.94,47.55,41.6,3.96,0.0
27,3,FrequencyRecall,7.0,19.0,51.142858,12.0,0.0
27,3,Lift,0.3135,0.9928004500000001,1.7696,0.495,0.0
27,3,OracleLift,0.3135,0.69520016,1.1616,3.6959999999999997,0.0
30,1,Recall,3.4615381000000003,3.5546211,5.1590917,4.0084026,0.8571432
30,4,DiscoveredLabels,1.4999992,14.0999959,68.100003,15.9000004,0.3999996
30,4,Easiness,6.1458335,38.270821,43.604168,9.9375228,2.0616634
30,4,Efficiency,1.32,31.03,59.94,6.93,0.0
30,4,FrequencyRecall,2.999997,8.2631546,23.52,24.000007,2.0
30,4,Lift,0.2112,0.80862679,1.36977438,0.6732,0.0
30,4,OracleLift,0.2112,1.2910939099999998,0.34347434,3.3580799999999997,0.0
33,1,Recall,3.6153843,3.7310917,5.474748600000001,5.285713899999999,0.8571432
