Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.6153848,0.4621848,0.5808085000000001,0.05882352,0.0
3,3,DiscoveredLabels,2.666664,18.333315,76.66669,2.333331,0.0
3,3,Easiness,17.3913,43.4783,30.4348,8.69565,1.0
3,3,Efficiency,2.64,18.15,76.2,2.31,0.0
3,3,FrequencyRecall,2.0,5.5,32.857110000000006,3.5,0.0
3,3,Lift,0.1518,0.41745,2.5037119999999997,0.26565,0.0
3,3,OracleLift,0.512325,0.5313,1.7174436,1.32825,3.3
6,1,Recall,0.6923079,0.7142852399999999,1.1919202199999999,0.28571424,0.0
6,4,DiscoveredLabels,1.5000029999999998,14.166677,78.66666500000001,5.666677999999999,0.0
6,4,Easiness,5.555560000000001,35.1852,46.2963,11.1111,1.85185
6,4,Efficiency,0.33,9.9,80.3,8.91,0.0
6,4,FrequencyRecall,0.333333,1.578948,9.68,4.5000089999999995,0.0
6,4,Lift,0.0594,0.2813685,1.73448,0.8019000000000002,0.0
6,4,OracleLift,1.4256,0.43171595,1.237032,1.2177,2.8512
9,1,Recall,0.8461541,0.8235289,1.7626274000000002,0.773109,0.0714286
9,5,DiscoveredLabels,1.2222210000000002,10.888878,77.555576,10.222212,0.111111
9,5,Easiness,2.75229,21.100900000000003,58.7156,16.5138,0.917431
9,5,Efficiency,0.66,4.29,75.03,19.16,0.33
9,5,FrequencyRecall,0.666666,0.5652179,3.53125,3.2222234,1.0
9,5,Lift,0.2398,0.2033083,1.27785137,1.1602436999999999,0.35969999999999996
9,5,OracleLift,2.0383,0.5942862,0.8966934499999999,1.3588662999999999,6.474600000000001
12,1,Recall,0.8461541,0.9159658,2.2828282,1.4705876,0.0714286
12,6,DiscoveredLabels,0.9166662999999999,9.083340999999999,75.333333,14.58334,0.0833333
12,6,Easiness,0.526316,17.8947,60.0,18.9474,2.63158
12,6,Efficiency,0.0,3.63,68.37,27.43,0.0
12,6,FrequencyRecall,0.0,0.32352980000000003,1.8070192900000002,2.305557,0.0
12,6,Lift,0.0,0.20285319999999998,1.1395013,1.4476948,0.0
12,6,OracleLift,5.016,0.5163536,0.8671674,1.465112,2.8841999999999994
15,1,Recall,0.8461541,1.00840268,2.7171717,2.3865542,0.6428574
15,7,DiscoveredLabels,0.7333337,7.9999901,71.73333099999999,18.9333305,0.6000002999999999
15,7,Easiness,0.701754,11.5789,65.2632,20.0,2.45614
15,7,Efficiency,0.0,3.63,56.98,36.04,2.64
15,7,FrequencyRecall,0.0,0.333333,0.92473084,1.9122816,1.142856
15,7,Lift,0.0,0.3135,0.8730809,1.8019999999999998,1.074856
15,7,OracleLift,5.643,0.7979999999999999,0.6941129,1.702,2.68714
18,1,Recall,1.0000003,1.12604952,2.9621206,3.8907559199999997,1.2142857999999999
18,6,DiscoveredLabels,0.7222227999999999,7.4444432,65.166669,25.7222292,0.9444448
18,6,Easiness,0.534759,18.122982999999998,59.86095099999999,18.807474,2.6738
18,6,Efficiency,0.66,4.62,32.04,59.17,2.64
18,6,FrequencyRecall,2.0,0.7352948,2.65789538,7.2777779,1.6
18,6,Lift,1.2342,0.2552,0.534203,3.1366945,0.98736
18,6,OracleLift,6.171,0.36465,0.45745406000000005,2.6660669,4.3197
21,1,Recall,1.3076925,1.30252008,3.2474741,5.2520993,1.2142857999999999
21,5,DiscoveredLabels,0.8095230999999999,7.3809488,61.238114,29.761878000000003,0.8095233999999999
21,5,Easiness,2.811322,21.575457999999998,58.245316,16.433928,0.94396204
21,5,Efficiency,1.32,6.93,37.34,53.53,0.0
21,5,FrequencyRecall,1.999998,1.4782622,5.296875,12.2222264,1.0
21,5,Lift,0.4664,0.3193827,0.6410243099999999,3.2530507,0.0
21,5,OracleLift,1.5158,0.2896566,0.60097563,2.7147929,9.4446
24,1,Recall,1.6153845000000002,1.5378139400000002,3.6767665,6.0672272,1.2857144
24,4,DiscoveredLabels,0.8750004,7.6250024,60.666663,30.083330999999998,0.75
24,4,Easiness,5.8627422000000005,36.66666,44.274508000000004,11.2352894,1.96078
24,4,Efficiency,1.32,9.24,56.2,32.02,0.33
24,4,FrequencyRecall,1.666665,3.0526324,16.48,20.66668,1.0
24,4,Lift,0.22440000000000002,0.2519578,1.26764944,2.8340700000000005,0.16829999999999998
24,4,OracleLift,0.8976000000000001,0.27853147,1.03953332,2.49424,4.880699999999999
27,1,Recall,2.6923075,2.85714112,3.9621201000000004,6.2016822000000005,1.2857144
27,3,DiscoveredLabels,1.2962955,12.592582299999998,58.111133,27.333305999999997,0.6666664
27,3,Easiness,19.6,47.25,23.5,9.65,1.0
27,3,Efficiency,4.62,51.91,37.33,5.28,0.0
27,3,FrequencyRecall,5.5,21.2,48.999995,11.5,0.0
27,3,Lift,0.23099999999999998,1.09695612,1.5625,0.5609999999999999,0.0
27,3,OracleLift,0.748,0.9715782000000001,1.2276,0.825,1.65
30,1,Recall,2.9230768,3.3361330199999997,4.4823232,6.4873946,1.2857144
30,4,DiscoveredLabels,1.2666659,13.233334,59.166668,25.733335999999998,0.6
30,4,Easiness,6.1458335,38.374984,43.500001000000005,9.9166878,2.0724967000000003
30,4,Efficiency,0.99,18.81,68.28,11.22,0.0
30,4,FrequencyRecall,2.666664,6.052628000000001,24.72,26.333337999999998,1.0
30,4,Lift,0.15839999999999999,0.48862486,1.56655408,1.122,0.0
30,4,OracleLift,1.1352000000000002,0.49881425999999995,1.19666088,1.5259200000000002,2.6927999999999996
33,1,Recall,2.9230768,3.4621834799999998,4.9141417999999994,7.4369729,1.3571428
