Time,Layer,Type,Rejected,Uninterested,Unsure,Interested,Accepted
3,1,Recall,0.5384617,0.47058816,0.565657,0.10924368,0.0
3,3,DiscoveredLabels,2.333331,18.666648,74.666692,4.333329,0.0
3,3,Easiness,1.0,1.0,1.0,1.0,100.0
3,3,Efficiency,2.31,18.48,74.16,4.29,0.0
3,3,FrequencyRecall,,,,,0.0
3,3,Lift,2.31,18.48,74.16,4.29,0.0
3,3,OracleLift,2.31,18.48,74.16,4.29,0.0
6,1,Recall,0.6923079,0.67226854,1.207072,0.26890744,0.0714286
6,4,DiscoveredLabels,1.5000029999999998,13.333346999999998,79.666662,5.33334,0.16666699999999998
6,4,Easiness,1.0,1.0,1.0,1.0,100.0
6,4,Efficiency,0.66,7.92,84.36,6.27,0.33
6,4,FrequencyRecall,,,,,0.0185185
6,4,Lift,0.66,7.92,84.36,6.27,0.0033
6,4,OracleLift,0.66,7.92,84.36,6.27,0.0033
9,1,Recall,0.7692308,0.8235288,1.8333344,0.53781472,0.142857
9,5,DiscoveredLabels,1.11111,10.888878,80.666686,7.111104,0.222222
9,5,Easiness,1.0,2.75229,1.0,1.0,97.24769999999998
9,5,Efficiency,0.33,5.94,82.32,10.56,0.33
9,5,FrequencyRecall,,5.999994,,,0.00943396
9,5,Lift,0.33,2.1582,82.32,10.56,0.0033933999999999995
9,5,OracleLift,0.33,2.1582,82.32,8.25,0.027147199999999996
12,1,Recall,0.7692308,0.9915959999999999,2.421717,0.93277272,0.142857
12,6,DiscoveredLabels,0.8333333999999999,9.833342,79.916661,9.2500051,0.16666699999999998
12,6,Easiness,1.0,3.6842100000000007,0.526316,1.0,95.7895
12,6,Efficiency,0.0,6.6,77.35,15.56,0.0
12,6,FrequencyRecall,0.0,2.85714,233.0,,0.0
12,6,Lift,0.0,1.7914280000000002,146.965,15.56,0.0
12,6,OracleLift,0.0,1.7018566000000002,146.965,15.56,0.00344505
15,1,Recall,0.8461539,1.1512598,2.9823223000000003,1.41176432,0.21428560000000002
15,7,DiscoveredLabels,0.7333333000000001,9.133323,78.733343,11.199997900000001,0.19999969999999997
15,7,Easiness,1.0,0.350877,0.350877,1.05263,98.2456
15,7,Efficiency,0.33,6.28,73.73,18.84,0.33
15,7,FrequencyRecall,,19.0,222.0,18.999994,0.00357143
15,7,Lift,0.33,17.898,210.13049999999998,17.898,0.00335893
15,7,OracleLift,0.33,17.898,210.13049999999998,17.898,0.00335893
18,1,Recall,0.8461539,1.25210018,3.1388881000000004,3.1680664000000003,1.4285713999999998
18,6,DiscoveredLabels,0.6111114,8.2777798,69.055561,20.944446,1.1111114
18,6,Easiness,1.0,3.7272772000000005,0.534759,1.0,95.73794400000001
18,6,Efficiency,0.0,3.96,20.46,69.16,5.61
18,6,FrequencyRecall,0.0,2.142855,62.0,,1.725273
18,6,Lift,0.0,1.0578851999999999,38.2602,69.16,0.058607320000000004
18,6,OracleLift,0.0,1.0578851999999999,38.2602,69.16,0.058607320000000004
21,1,Recall,1.0769232,1.33613358,3.4343426,4.596638,1.4285713999999998
21,5,DiscoveredLabels,0.6666660999999999,7.571425,64.761932,26.0475941,0.9523803
21,5,Easiness,1.0,2.8207560000000003,1.0,1.0,97.179234
21,5,Efficiency,0.99,3.3,38.62,56.18,0.0
21,5,FrequencyRecall,,3.6666630000000002,,,2.8207560000000003
21,5,Lift,0.99,1.166,38.62,56.18,0.0
21,5,OracleLift,0.99,1.166,38.62,40.92,0.15622152
24,1,Recall,1.0769232,1.5630243799999999,3.8484831,5.495797700000001,1.5714286
24,4,DiscoveredLabels,0.5833337000000001,7.750001200000001,63.500003,27.250001,0.9166671
24,4,Easiness,1.0,1.0,1.0,1.0,100.0
24,4,Efficiency,0.0,8.91,54.16,35.31,0.66
24,4,FrequencyRecall,0.0,,,,5.592597
24,4,Lift,0.0,8.91,54.16,35.31,0.0066
24,4,OracleLift,0.0,8.91,54.16,35.31,0.0066
27,1,Recall,2.2307691,2.7142844200000003,4.1994939,5.5714279,1.5714286
27,3,DiscoveredLabels,1.0740734,11.9629536,61.592622,24.555531000000002,0.8148143
27,3,Easiness,1.0,1.0,1.0,1.0,100.0
27,3,Efficiency,4.95,45.22,45.87,2.97,0.0
27,3,FrequencyRecall,,,,,13.0435
27,3,Lift,4.95,45.22,45.87,2.97,0.0
27,3,OracleLift,4.95,45.22,45.87,2.97,0.0
30,1,Recall,2.3076922,3.00840202,4.815657,5.739495399999999,1.5714286
30,4,DiscoveredLabels,0.9999994000000001,11.9333259,63.566666000000005,22.766669,0.7333329000000001
